"Estacion","Fecha inicial","Fecha final","NO"
"ALMACÉN GENERAL DE EPM","2025-07-30","","17.49265641"
"ALMACÉN GENERAL DE EPM","2025-07-29","","15.03838329"
"ALMACÉN GENERAL DE EPM","2025-07-28","","16.87311196"
"ALMACÉN GENERAL DE EPM","2025-07-27","","11.73970005"
"ALMACÉN GENERAL DE EPM","2025-07-26","","20.09139856"
"ALMACÉN GENERAL DE EPM","2025-07-25","","23.50131828"
"ALMACÉN GENERAL DE EPM","2025-07-24","","12.51540972"
"ALMACÉN GENERAL DE EPM","2025-07-23","","11.8231361"
"ALMACÉN GENERAL DE EPM","2025-07-22","","12.9213146"
"ALMACÉN GENERAL DE EPM","2025-07-21","","16.69811544"
"ALMACÉN GENERAL DE EPM","2025-07-20","","7.51596165"
"ALMACÉN GENERAL DE EPM","2025-07-19","","13.74715466"
"ALMACÉN GENERAL DE EPM","2025-07-18","","19.58638398"
"ALMACÉN GENERAL DE EPM","2025-07-17","","9.04373659"
"ALMACÉN GENERAL DE EPM","2025-07-16","","10.84266686"
"ALMACÉN GENERAL DE EPM","2025-07-15","","12.4521737"
"ALMACÉN GENERAL DE EPM","2025-07-14","","10.42552302"
"ALMACÉN GENERAL DE EPM","2025-07-13","","4.55359108"
"ALMACÉN GENERAL DE EPM","2025-07-12","","15.55314918"
"ALMACÉN GENERAL DE EPM","2025-07-11","","13.36657432"
"ALMACÉN GENERAL DE EPM","2025-07-10","","17.63191114"
"ALMACÉN GENERAL DE EPM","2025-07-09","","19.61921294"
"ALMACÉN GENERAL DE EPM","2025-07-08","","13.06042488"
"ALMACÉN GENERAL DE EPM","2025-07-07","","14.14159898"
"ALMACÉN GENERAL DE EPM","2025-07-06","","4.21856712"
"ALMACÉN GENERAL DE EPM","2025-07-05","","8.54619386"
"ALMACÉN GENERAL DE EPM","2025-07-04","","12.98207708"
"ALMACÉN GENERAL DE EPM","2025-07-03","","24.48448243"
"ALMACÉN GENERAL DE EPM","2025-07-02","","11.6939481"
"ALMACÉN GENERAL DE EPM","2025-07-01","","12.88471378"
"ALMACÉN GENERAL DE EPM","2025-06-30","","8.10310486"
"ALMACÉN GENERAL DE EPM","2025-06-29","","13.08098778"
"ALMACÉN GENERAL DE EPM","2025-06-28","","12.26241936"
"ALMACÉN GENERAL DE EPM","2025-06-27","","14.70054764"
"ALMACÉN GENERAL DE EPM","2025-06-26","","34.0549964"
"ALMACÉN GENERAL DE EPM","2025-06-25","","46.41204909"
"ALMACÉN GENERAL DE EPM","2025-06-24","","37.03040811"
"ALMACÉN GENERAL DE EPM","2025-06-23","","10.44850534"
"ALMACÉN GENERAL DE EPM","2025-06-22","","9.25243526"
"ALMACÉN GENERAL DE EPM","2025-06-21","","13.28303889"
"ALMACÉN GENERAL DE EPM","2025-06-20","","13.82963105"
"ALMACÉN GENERAL DE EPM","2025-06-19","","16.49488888"
"ALMACÉN GENERAL DE EPM","2025-06-18","","19.6685914"
"ALMACÉN GENERAL DE EPM","2025-06-17","","14.48783849"
"ALMACÉN GENERAL DE EPM","2025-06-16","","35.53757088"
"ALMACÉN GENERAL DE EPM","2025-06-15","","34.83176565"
"ALMACÉN GENERAL DE EPM","2025-06-14","","29.27718396"
"ALMACÉN GENERAL DE EPM","2025-06-13","","15.83715306"
"ALMACÉN GENERAL DE EPM","2025-06-12","","50.89738031"
"ALMACÉN GENERAL DE EPM","2025-06-11","","31.10211079"
"ALMACÉN GENERAL DE EPM","2025-06-10","","17.52792214"
"ALMACÉN GENERAL DE EPM","2025-06-09","","22.37102302"
"ALMACÉN GENERAL DE EPM","2025-06-08","","7.98406446"
"ALMACÉN GENERAL DE EPM","2025-06-07","","17.17086844"
"ALMACÉN GENERAL DE EPM","2025-06-06","","21.72690743"
"ALMACÉN GENERAL DE EPM","2025-06-05","","16.27449182"
"ALMACÉN GENERAL DE EPM","2025-06-04","","17.93904366"
"ALMACÉN GENERAL DE EPM","2025-06-03","","14.72173979"
"ALMACÉN GENERAL DE EPM","2025-06-02","","7.66730296"
"ALMACÉN GENERAL DE EPM","2025-06-01","","3.77117982"
"ALMACÉN GENERAL DE EPM","2025-05-31","","10.57687878"
"ALMACÉN GENERAL DE EPM","2025-05-30","","14.69770024"
"ALMACÉN GENERAL DE EPM","2025-05-29","","19.12986732"
"ALMACÉN GENERAL DE EPM","2025-05-28","","28.66478353"
"ALMACÉN GENERAL DE EPM","2025-05-27","","15.06728557"
"ALMACÉN GENERAL DE EPM","2025-05-26","","12.9350055"
"ALMACÉN GENERAL DE EPM","2025-05-25","","10.28785729"
"ALMACÉN GENERAL DE EPM","2025-05-24","","14.61360811"
"ALMACÉN GENERAL DE EPM","2025-05-23","","14.85863821"
"ALMACÉN GENERAL DE EPM","2025-05-22","","21.67682083"
"ALMACÉN GENERAL DE EPM","2025-05-21","","24.35021073"
"ALMACÉN GENERAL DE EPM","2025-05-20","","18.63547415"
"ALMACÉN GENERAL DE EPM","2025-05-19","","16.7076652"
"ALMACÉN GENERAL DE EPM","2025-05-18","","14.49420972"
"ALMACÉN GENERAL DE EPM","2025-05-17","","13.19134002"
"ALMACÉN GENERAL DE EPM","2025-05-16","","31.34954291"
"ALMACÉN GENERAL DE EPM","2025-05-15","","26.30673268"
"ALMACÉN GENERAL DE EPM","2025-05-14","","14.15316456"
"ALMACÉN GENERAL DE EPM","2025-05-13","","29.68966572"
"ALMACÉN GENERAL DE EPM","2025-05-12","","19.76079949"
"ALMACÉN GENERAL DE EPM","2025-05-11","","14.51577236"
"ALMACÉN GENERAL DE EPM","2025-05-10","","17.62390744"
"ALMACÉN GENERAL DE EPM","2025-05-09","","27.69495598"
"ALMACÉN GENERAL DE EPM","2025-05-08","","23.9061355"
"ALMACÉN GENERAL DE EPM","2025-05-07","","25.54450098"
"ALMACÉN GENERAL DE EPM","2025-05-06","","12.56820168"
"ALMACÉN GENERAL DE EPM","2025-05-05","","13.70030805"
"ALMACÉN GENERAL DE EPM","2025-05-04","","7.30244935"
"ALMACÉN GENERAL DE EPM","2025-05-03","","27.84262956"
"ALMACÉN GENERAL DE EPM","2025-05-02","","21.2610078"
"ALMACÉN GENERAL DE EPM","2025-05-01","","17.66879987"
"ALMACÉN GENERAL DE EPM","2025-04-30","","11.19856931"
"ALMACÉN GENERAL DE EPM","2025-04-29","","20.43960332"
"ALMACÉN GENERAL DE EPM","2025-04-28","","28.1866108"
"ALMACÉN GENERAL DE EPM","2025-04-27","","8.76699928"
"ALMACÉN GENERAL DE EPM","2025-04-26","","12.05976246"
"ALMACÉN GENERAL DE EPM","2025-04-25","","18.91520696"
"ALMACÉN GENERAL DE EPM","2025-04-24","","14.41126899"
"ALMACÉN GENERAL DE EPM","2025-04-23","","20.70429112"
"ALMACÉN GENERAL DE EPM","2025-04-22","","14.65806824"
"ALMACÉN GENERAL DE EPM","2025-04-21","","24.58861322"
"ALMACÉN GENERAL DE EPM","2025-04-20","","13.61819272"
"ALMACÉN GENERAL DE EPM","2025-04-19","","6.12943837"
"ALMACÉN GENERAL DE EPM","2025-04-18","","3.44398818"
"ALMACÉN GENERAL DE EPM","2025-04-17","","4.07792358"
"ALMACÉN GENERAL DE EPM","2025-04-16","","17.90204422"
"ALMACÉN GENERAL DE EPM","2025-04-15","","17.52855908"
"ALMACÉN GENERAL DE EPM","2025-04-14","","10.75532812"
"ALMACÉN GENERAL DE EPM","2025-04-13","","8.4521578"
"ALMACÉN GENERAL DE EPM","2025-04-12","","17.95635745"
"ALMACÉN GENERAL DE EPM","2025-04-11","","11.5924402"
"ALMACÉN GENERAL DE EPM","2025-04-10","","22.04444899"
"ALMACÉN GENERAL DE EPM","2025-04-09","","27.35391569"
"ALMACÉN GENERAL DE EPM","2025-04-08","","12.88063256"
"ALMACÉN GENERAL DE EPM","2025-04-07","","22.9238877"
"ALMACÉN GENERAL DE EPM","2025-04-06","","19.36800342"
"ALMACÉN GENERAL DE EPM","2025-04-05","","13.79929351"
"ALMACÉN GENERAL DE EPM","2025-04-04","","19.73574269"
"ALMACÉN GENERAL DE EPM","2025-04-03","","24.7791928"
"ALMACÉN GENERAL DE EPM","2025-04-02","","20.17494277"
"ALMACÉN GENERAL DE EPM","2025-04-01","","11.05504354"
"ALMACÉN GENERAL DE EPM","2025-03-31","","21.74829203"
"ALMACÉN GENERAL DE EPM","2025-03-30","","23.87662459"
"ALMACÉN GENERAL DE EPM","2025-03-29","","27.64008571"
"ALMACÉN GENERAL DE EPM","2025-03-28","","18.27161452"
"ALMACÉN GENERAL DE EPM","2025-03-27","","33.09215757"
"ALMACÉN GENERAL DE EPM","2025-03-26","","33.20724214"
"ALMACÉN GENERAL DE EPM","2025-03-25","","13.48167299"
"ALMACÉN GENERAL DE EPM","2025-03-24","","4.18550145"
"ALMACÉN GENERAL DE EPM","2025-03-23","","11.41644471"
"ALMACÉN GENERAL DE EPM","2025-03-22","","14.02187853"
"ALMACÉN GENERAL DE EPM","2025-03-21","","11.60753686"
"ALMACÉN GENERAL DE EPM","2025-03-20","","10.26584541"
"ALMACÉN GENERAL DE EPM","2025-03-19","","16.38191445"
"ALMACÉN GENERAL DE EPM","2025-03-18","","13.33668218"
"ALMACÉN GENERAL DE EPM","2025-03-17","","16.88590019"
"ALMACÉN GENERAL DE EPM","2025-03-16","","2.66525291"
"ALMACÉN GENERAL DE EPM","2025-03-15","","17.13235116"
"ALMACÉN GENERAL DE EPM","2025-03-14","","18.51024665"
"ALMACÉN GENERAL DE EPM","2025-03-13","","27.32527387"
"ALMACÉN GENERAL DE EPM","2025-03-12","","15.58795934"
"ALMACÉN GENERAL DE EPM","2025-03-11","","25.06027822"
"ALMACÉN GENERAL DE EPM","2025-03-10","","30.85128269"
"ALMACÉN GENERAL DE EPM","2025-03-09","","16.5105166"
"ALMACÉN GENERAL DE EPM","2025-03-08","","28.70734408"
"ALMACÉN GENERAL DE EPM","2025-03-07","","23.71562118"
"ALMACÉN GENERAL DE EPM","2025-03-06","","21.06007337"
"ALMACÉN GENERAL DE EPM","2025-03-05","","20.35103642"
"ALMACÉN GENERAL DE EPM","2025-03-04","","21.1911705"
"ALMACÉN GENERAL DE EPM","2025-03-03","","20.77184556"
"ALMACÉN GENERAL DE EPM","2025-03-02","","10.98635645"
"ALMACÉN GENERAL DE EPM","2025-03-01","","37.7538358"
"ALMACÉN GENERAL DE EPM","2025-02-28","","29.03534148"
"ALMACÉN GENERAL DE EPM","2025-02-27","","15.61794995"
"ALMACÉN GENERAL DE EPM","2025-02-26","","19.48656172"
"ALMACÉN GENERAL DE EPM","2025-02-25","","32.55925011"
"ALMACÉN GENERAL DE EPM","2025-02-24","","29.69987675"
"ALMACÉN GENERAL DE EPM","2025-02-23","","3.30383614"
"ALMACÉN GENERAL DE EPM","2025-02-22","","12.81741435"
"ALMACÉN GENERAL DE EPM","2025-02-21","","13.5062006"
"ALMACÉN GENERAL DE EPM","2025-02-20","","13.55699844"
"ALMACÉN GENERAL DE EPM","2025-02-19","","17.42515303"
"ALMACÉN GENERAL DE EPM","2025-02-18","","10.96162245"
"ALMACÉN GENERAL DE EPM","2025-02-17","","17.6088701"
"ALMACÉN GENERAL DE EPM","2025-02-16","","2.29481533"
"ALMACÉN GENERAL DE EPM","2025-02-15","","14.04746347"
"ALMACÉN GENERAL DE EPM","2025-02-14","","13.94220785"
"ALMACÉN GENERAL DE EPM","2025-02-13","","24.05792525"
"ALMACÉN GENERAL DE EPM","2025-02-12","","14.89110914"
"ALMACÉN GENERAL DE EPM","2025-02-11","","20.47171637"
"ALMACÉN GENERAL DE EPM","2025-02-10","","26.58945593"
"ALMACÉN GENERAL DE EPM","2025-02-09","","9.54908974"
"ALMACÉN GENERAL DE EPM","2025-02-08","","10.37406339"
"ALMACÉN GENERAL DE EPM","2025-02-07","","20.02856496"
"ALMACÉN GENERAL DE EPM","2025-02-06","","10.30666146"
"ALMACÉN GENERAL DE EPM","2025-02-05","","16.73275059"
"ALMACÉN GENERAL DE EPM","2025-02-04","","10.85182649"
"ALMACÉN GENERAL DE EPM","2025-02-03","","8.80616459"
"ALMACÉN GENERAL DE EPM","2025-02-02","","3.13689864"
"ALMACÉN GENERAL DE EPM","2025-02-01","","6.88281213"
"ALMACÉN GENERAL DE EPM","2025-01-31","","10.82106509"
"ALMACÉN GENERAL DE EPM","2025-01-30","","10.31726736"
"ALMACÉN GENERAL DE EPM","2025-01-29","","12.27958535"
"ALMACÉN GENERAL DE EPM","2025-01-28","","9.95705456"
"ALMACÉN GENERAL DE EPM","2025-01-27","","11.54597947"
"ALMACÉN GENERAL DE EPM","2025-01-26","","2.5859739"
"ALMACÉN GENERAL DE EPM","2025-01-25","","6.94117931"
"ALMACÉN GENERAL DE EPM","2025-01-24","","14.3991784"
"ALMACÉN GENERAL DE EPM","2025-01-23","","16.0950268"
"ALMACÉN GENERAL DE EPM","2025-01-22","","14.16634431"
"ALMACÉN GENERAL DE EPM","2025-01-21","","11.46528992"
"ALMACÉN GENERAL DE EPM","2025-01-20","","17.43810965"
"ALMACÉN GENERAL DE EPM","2025-01-19","","4.48875129"
"ALMACÉN GENERAL DE EPM","2025-01-18","","10.36825403"
"ALMACÉN GENERAL DE EPM","2025-01-17","","13.47276976"
"ALMACÉN GENERAL DE EPM","2025-01-16","","14.70765957"
"ALMACÉN GENERAL DE EPM","2025-01-15","","15.16075044"
"ALMACÉN GENERAL DE EPM","2025-01-14","","17.02163657"
"ALMACÉN GENERAL DE EPM","2025-01-13","","15.42157992"
"ALMACÉN GENERAL DE EPM","2025-01-12","","3.99141668"
"ALMACÉN GENERAL DE EPM","2025-01-11","","5.35070513"
"ALMACÉN GENERAL DE EPM","2025-01-10","","10.26926594"
"ALMACÉN GENERAL DE EPM","2025-01-09","","16.40389397"
"ALMACÉN GENERAL DE EPM","2025-01-08","","9.89150205"
"ALMACÉN GENERAL DE EPM","2025-01-07","","23.57707462"
"ALMACÉN GENERAL DE EPM","2025-01-06","","10.11026846"
"ALMACÉN GENERAL DE EPM","2025-01-05","","13.22328908"
"ALMACÉN GENERAL DE EPM","2025-01-04","","17.48993434"
"ALMACÉN GENERAL DE EPM","2025-01-03","","22.08617203"
"ALMACÉN GENERAL DE EPM","2025-01-02","","18.01517874"
"ALMACÉN GENERAL DE EPM","2025-01-01","","2.94281904"
"ALMACÉN GENERAL DE EPM","2024-12-31","","14.0652289"
"ALMACÉN GENERAL DE EPM","2024-12-30","","24.69980385"
"ALMACÉN GENERAL DE EPM","2024-12-29","","7.67374544"
