"Estacion","Fecha inicial","Fecha final","CO"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-28","","1931.86648969"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-27","","1688.70008498"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-26","","1733.25534649"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-25","","2109.13798936"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-24","","1352.89609056"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-23","","2101.94841683"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-22","","2691.73454157"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-21","","2131.97940661"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-20","","2265.43725313"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-19","","2209.79511302"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-18","","1553.14511291"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-17","","1792.77360549"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-16","","1781.43986317"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-15","","2316.86696683"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-14","","2377.41065283"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-13","","1922.92195094"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-12","","1766.23706188"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-11","","1823.24589698"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-10","","1819.90763098"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-09","","1749.70129166"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-08","","1681.55983065"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-07","","1473.33546263"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-06","","1684.78713919"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-05","","1978.9017816"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-04","","1755.01413389"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-03","","1296.97922797"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-02","","1810.46164523"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-01","","1553.5011214"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-31","","1444.49454817"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-30","","1507.41396209"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-29","","1693.49100707"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-28","","1551.24924683"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-27","","1407.62991514"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-26","","1873.88879532"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-25","","1967.99269265"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-24","","1274.90884365"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-23","","1261.87577215"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-22","","1644.88441301"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-21","","1466.67658087"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-20","","1072.22576835"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-19","","1531.71261484"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-18","","1547.99417513"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-17","","1392.31189025"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-16","","1255.1599327"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-15","","1414.85627347"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-14","","1586.25672396"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-13","","1277.26404336"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-12","","1399.16131894"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-11","","1656.88289868"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-10","","1538.5018695"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-09","","1534.73036343"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-08","","1295.61119732"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-07","","1261.55711511"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-06","","1034.67881436"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-05","","1719.81760933"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-04","","1786.31746203"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-03","","1297.81222035"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-02","","928.67311606"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-01","","1367.069458"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-30","","1062.33113653"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-29","","1539.83388433"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-28","","1618.72543979"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-27","","2208.6311729"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-26","","1986.23723713"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-25","","2414.23084946"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-24","","2434.83023115"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-23","","1658.73692905"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-22","","1981.30062963"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-21","","2026.11902171"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-20","","1879.51433172"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-19","","1620.20557301"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-18","","2178.99648426"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-17","","2034.539676"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-16","","2310.45122796"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-15","","2149.44758238"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-14","","2174.30445055"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-13","","2347.13337163"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-12","","2974.56343092"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-11","","2597.19916233"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-10","","2293.5411312"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-09","","2427.31047911"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-08","","1332.7175174"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-07","","1638.71506084"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-06","","2096.28600595"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-05","","2234.97135373"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-04","","2344.69273578"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-03","","1899.52312938"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-02","","1212.8135176"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-01","","1504.29799943"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-31","","1898.12442136"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-30","","1961.31243971"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-29","","1746.16376953"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-28","","2812.30005447"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-27","","2220.42318266"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-26","","2155.87634434"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-25","","1314.96550778"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-24","","1666.72191069"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-23","","2311.37380675"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-22","","2241.29268826"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-21","","2225.81864687"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-20","","2383.81675583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-19","","2282.0479649"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-18","","1678.67851305"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-17","","2093.31429086"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-16","","2725.09220542"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-15","","2623.80335593"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-14","","2039.95135929"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-13","","2299.7874492"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-12","","1444.27027081"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-11","","1484.11651657"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-10","","1876.46595776"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-09","","2744.4427475"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-08","","2758.41046645"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-07","","2362.87073432"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-06","","2498.11062729"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-05","","2047.4589278"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-04","","1507.59209238"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-03","","1646.47951088"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-02","","2104.6934465"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-05-01","","1815.94917642"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-30","","2183.82072597"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-29","","2317.80243513"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-28","","2506.9677178"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-27","","1872.05279662"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-26","","2245.07774183"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-25","","2549.96251396"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-24","","2202.22839258"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-23","","2189.16731925"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-22","","2373.41880599"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-21","","2258.87220333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-20","","1516.79150069"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-19","","1414.77527369"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-18","","1129.56819158"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-17","","1567.4374043"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-16","","1692.60735409"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-15","","1753.51735246"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-14","","1871.05153623"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-13","","1257.73886003"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-12","","1713.20185093"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-11","","1929.84401114"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-10","","2419.16564438"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-09","","2379.83230296"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-08","","2538.07379324"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-07","","2014.42922295"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-06","","1725.32555733"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-05","","2040.15710296"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-04","","2229.46788975"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-03","","2768.92357163"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-02","","2524.71068296"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-04-01","","2002.92560981"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-31","","2190.29081547"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-30","","1615.08993545"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-29","","2363.07476067"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-28","","2623.33185808"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-27","","2548.70687189"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-26","","2264.90059274"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-25","","1898.32310899"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-24","","1153.14766505"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-23","","1132.6309243"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-22","","1485.90457335"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-21","","1720.07716212"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-20","","1543.86002979"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-19","","1764.07119609"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-18","","4200.32596705"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-17","","5276.181468"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-14","","4277.89436591"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-13","","2675.23411933"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-12","","2522.96906963"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-11","","2527.4117589"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-10","","2000.10463667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-09","","1725.96892967"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-08","","1846.28575254"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-07","","2147.78827628"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-06","","2129.64968042"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-05","","2705.40034742"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-04","","2623.88828107"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-03","","2317.8314292"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-02","","1330.58795364"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-03-01","","2260.28102017"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-28","","2493.50421255"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-27","","2155.37178823"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-26","","2363.57182754"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-25","","2736.93982643"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-24","","2432.30685886"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-23","","1323.75371494"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-22","","1739.17067946"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-21","","2225.603553"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-13","","2458.99375403"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-12","","2278.34185983"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-11","","2620.0690856"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-10","","2560.88740095"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-09","","1400.26909892"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-08","","1684.85505892"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-07","","1661.37915855"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-06","","1606.34530722"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-05","","2372.79713867"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-04","","2448.05776243"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-03","","1508.7201285"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-02","","1565.49156019"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-01","","1695.1497681"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-31","","1575.66676284"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-30","","1463.26780959"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-29","","1551.13347127"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-28","","1648.61961699"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-27","","1750.54153476"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-26","","1589.3612446"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-25","","1707.86014829"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-24","","2028.77007619"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-23","","1541.43546972"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-22","","1539.32102793"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-21","","1295.48817085"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-20","","1400.92528579"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-19","","1555.17655129"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-18","","1509.11544458"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-17","","1532.74300275"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-16","","1536.77425238"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-15","","1672.22298957"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-14","","1334.78726142"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-13","","1593.98639832"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-12","","1130.06659413"
