"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-30","","22.47213065"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-29","","23.08463194"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-28","","23.20082639"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-27","","22.54756944"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-26","","20.383875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-25","","22.19609028"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-24","","25.16536806"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-23","","24.563375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-22","","24.69059722"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-21","","24.37998611"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-20","","24.60097222"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-19","","24.22497222"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-18","","24.25246528"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-17","","24.83453472"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-16","","24.56322222"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-15","","24.29419444"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-14","","23.64659028"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-13","","23.23084722"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-12","","23.75243056"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-11","","23.12013194"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-10","","23.79551389"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-09","","22.93819444"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-08","","24.10469444"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-07","","23.56655556"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-06","","22.42820833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-05","","22.10824306"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-04","","22.70549306"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-03","","23.50999306"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-02","","24.19129861"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-01","","24.12040278"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-30","","24.33969148"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-29","","22.70896751"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-28","","22.92141667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-27","","22.70174306"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-26","","23.1035625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-25","","21.38550694"
