"Estacion","Fecha inicial","Fecha final","NOx"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-26","","87.23996917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-25","","54.16029042"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-24","","45.28559333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-23","","41.82096083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-22","","29.95894217"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-21","","39.12906792"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-20","","44.04188542"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-19","","49.45867154"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-18","","57.88362292"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-17","","53.29625333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-16","","43.69055617"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-15","","30.88965746"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-14","","58.99051042"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-13","","79.25802"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-12","","74.49830458"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-11","","61.52633292"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-10","","57.47794333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-09","","57.00431417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-08","","48.32441667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-07","","78.00431625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-06","","86.38482417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-05","","107.70390143"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-02","","46.538"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-09-01","","24.83197908"
