"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-28","","24.37207639"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-27","","24.26120139"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-26","","24.64944444"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-25","","23.5966875"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-24","","23.69804861"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-23","","22.4984375"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-22","","20.79776389"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-21","","23.16675"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-20","","23.81390278"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-19","","23.45991667"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-18","","21.90176389"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-17","","20.93588889"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-16","","20.82711111"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-15","","20.95669445"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-14","","22.72609722"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-13","","22.9960625"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-12","","23.32322222"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-11","","23.02636805"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-10","","20.44127083"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-09","","21.54622222"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-08","","20.95621528"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-07","","20.26613889"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-06","","23.39201389"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-05","","22.9329375"
"FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE","2025-08-04","","23.86745139"
