"Estacion","Fecha inicial","Fecha final","O3"
"P_Poblado","2010-10-28","","7.70420682"
"P_Poblado","2010-10-27","","15.17017942"
"P_Poblado","2010-10-26","","22.251229"
"P_Poblado","2010-10-23","","23.89419557"
"P_Poblado","2010-10-22","","15.59409129"
"P_Poblado","2010-10-21","","17.54175363"
"P_Poblado","2010-10-20","","17.68096054"
"P_Poblado","2010-10-19","","15.13952533"
"P_Poblado","2010-10-18","","16.28341404"
"P_Poblado","2010-10-17","","10.8890335"
"P_Poblado","2010-10-16","","18.82919567"
"P_Poblado","2010-10-15","","17.616539"
"P_Poblado","2010-10-14","","19.137182"
"P_Poblado","2010-10-13","","25.71420704"
"P_Poblado","2010-10-12","","24.49920046"
"P_Poblado","2010-10-11","","21.99123933"
"P_Poblado","2010-10-10","","20.95856596"
"P_Poblado","2010-10-09","","26.29276071"
"P_Poblado","2010-10-08","","30.63033371"
"P_Poblado","2010-10-07","","23.01085342"
"P_Poblado","2010-10-06","","11.42621008"
"P_Poblado","2010-10-05","","15.167349"
"P_Poblado","2010-10-04","","16.32436883"
"P_Poblado","2010-10-03","","18.27714138"
"P_Poblado","2010-10-02","","12.45677071"
"P_Poblado","2010-10-01","","26.49480358"
"P_Poblado","2010-09-30","","16.65761588"
"P_Poblado","2010-09-29","","12.71366892"
"P_Poblado","2010-09-28","","15.93285333"
"P_Poblado","2010-09-27","","16.83811938"
"P_Poblado","2010-09-26","","16.172251"
"P_Poblado","2010-09-25","","16.46445601"
"P_Poblado","2010-09-24","","11.3682058"
"P_Poblado","2010-09-21","","22.44794593"
"P_Poblado","2010-09-20","","18.00754663"
"P_Poblado","2010-09-19","","20.17467629"
"P_Poblado","2010-09-18","","20.94973898"
"P_Poblado","2010-09-17","","14.20974192"
"P_Poblado","2010-09-16","","16.33574983"
"P_Poblado","2010-09-15","","21.20686986"
"P_Poblado","2010-09-04","","19.71650067"
"P_Poblado","2010-09-03","","19.31425167"
"P_Poblado","2010-09-02","","4.5272688"
"P_Poblado","2010-08-31","","8.51344811"
"P_Poblado","2010-08-30","","20.87398704"
"P_Poblado","2010-08-29","","23.44405071"
"P_Poblado","2010-08-28","","30.69704713"
"P_Poblado","2010-08-27","","22.00074629"
"P_Poblado","2010-08-26","","13.03232746"
"P_Poblado","2010-08-25","","21.66645421"
"P_Poblado","2010-08-24","","17.49215979"
"P_Poblado","2010-08-23","","28.84298242"
"P_Poblado","2010-08-22","","26.37806092"
"P_Poblado","2010-08-21","","18.61079475"
"P_Poblado","2010-08-20","","20.25194029"
"P_Poblado","2010-08-19","","16.97521013"
"P_Poblado","2010-08-18","","23.89057025"
"P_Poblado","2010-08-17","","24.81625071"
"P_Poblado","2010-08-16","","13.69691754"
"P_Poblado","2010-08-15","","19.75535204"
"P_Poblado","2010-08-14","","17.48883267"
"P_Poblado","2010-08-13","","10.66589442"
"P_Poblado","2010-08-12","","12.37492417"
"P_Poblado","2010-08-11","","22.836296"
"P_Poblado","2010-08-10","","18.11680088"
"P_Poblado","2010-08-09","","15.69606513"
"P_Poblado","2010-08-08","","17.67702508"
"P_Poblado","2010-08-07","","20.81229758"
"P_Poblado","2010-08-06","","14.84952004"
"P_Poblado","2010-08-05","","23.01435375"
"P_Poblado","2010-08-04","","26.97942125"
"P_Poblado","2010-08-03","","12.55633733"
"P_Poblado","2010-08-02","","16.34366267"
"P_Poblado","2010-08-01","","10.60486141"
"P_Poblado","2010-07-31","","10.41639454"
"P_Poblado","2010-07-30","","16.68692158"
"P_Poblado","2010-07-29","","15.33708892"
"P_Poblado","2010-07-28","","8.21601242"
"P_Poblado","2010-07-27","","13.80690321"
"P_Poblado","2010-07-26","","19.53907421"
"P_Poblado","2010-07-25","","21.51778938"
"P_Poblado","2010-07-24","","22.73236654"
"P_Poblado","2010-07-23","","19.05755921"
"P_Poblado","2010-07-22","","16.02114567"
"P_Poblado","2010-07-21","","15.33614612"
"P_Poblado","2010-07-20","","16.00504686"
"P_Poblado","2010-07-19","","18.105329"
"P_Poblado","2010-07-18","","15.86563083"
