"Estacion","Fecha inicial","Fecha final","PM10"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-08-21","","104.1"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-08-18","","29.7"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-08-15","","30.3"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-08-12","","43.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-08-09","","34.3"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-08-06","","48.3"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-08-03","","34.4"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-07-31","","36.8"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-07-28","","53.6"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-07-25","","42.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-07-22","","60.2"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-07-19","","23.8"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-07-16","","35.4"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-07-13","","48.9"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-07-10","","52.7"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-07-07","","45.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-07-04","","42.7"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-07-01","","45.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-06-28","","25.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-06-25","","43.2"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-06-22","","25.3"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-06-19","","45.9"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-06-16","","30.8"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-06-13","","31.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-06-10","","43.1"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-06-07","","18.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-06-04","","26.4"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-06-01","","26.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-05-29","","53.2"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-05-26","","44.8"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-05-23","","36.6"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-05-20","","28.2"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-05-17","","21.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-05-14","","35.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-05-08","","41.8"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-05-05","","50.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-05-02","","31.9"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-04-29","","51.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-04-26","","26.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-04-23","","43.1"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-04-20","","48.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-04-14","","53.7"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-04-11","","32.4"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-04-05","","27.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-04-02","","33.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-03-30","","62.8"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-03-27","","64.9"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-03-24","","47.3"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-03-21","","42.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-03-18","","74.2"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-03-15","","65.3"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-03-12","","47.3"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-03-09","","49.8"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-03-06","","61.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-03-03","","37.1"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-02-28","","24.4"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-02-25","","21.8"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-02-22","","13.7"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-02-19","","24.1"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-02-16","","22.3"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-02-13","","15.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-02-10","","17.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-02-07","","19.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-02-04","","21.6"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-02-01","","23.3"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-01-29","","36.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-01-26","","34.1"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-01-23","","47.6"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2015-01-20","","47.9"
