"Estacion","Fecha inicial","Fecha final","RGlobal"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-23","","159.45833333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-22","","212.41666667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-21","","217.125"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-20","","222.79166667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-19","","159.33333333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-18","","119.16666667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-17","","152.625"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-16","","177.625"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-15","","226.33333333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-14","","134.70833333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-13","","187.25"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-12","","174.91666667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-11","","146.5"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-10","","212.875"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-09","","193.75"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-08","","216.54166667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-07","","240.0"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-06","","239.79166667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-05","","193.95833333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-04","","226.83333333"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-03","","115.54166667"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-02","","139.125"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2012-12-01","","143.125"
