"Estacion","Fecha inicial","Fecha final","PST"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-06-23","","102.81768859"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-06-20","","159.54453057"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-06-17","","95.38902344"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-05-30","","122.38028426"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-05-24","","110.67575201"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-05-18","","118.67408221"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-05-03","","97.27280821"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-04-30","","149.35340141"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-04-27","","190.13795556"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-04-24","","221.92334944"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-04-21","","184.20690869"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-04-18","","93.10647402"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-04-15","","99.45040082"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-04-12","","122.73334694"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-04-09","","114.95823072"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-04-06","","113.56230285"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-04-03","","164.87284486"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-03-31","","137.64943308"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-03-28","","145.97589089"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-03-25","","104.91212236"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-03-22","","135.72291997"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-03-19","","75.32319056"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-03-16","","145.80323744"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-03-13","","121.83982953"
"UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S)","2007-03-10","","167.12431905"
