"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"UNIVERSIDAD DE MEDELLÍN","2025-07-07","","22.72802778"
"UNIVERSIDAD DE MEDELLÍN","2025-07-06","","21.38744444"
"UNIVERSIDAD DE MEDELLÍN","2025-07-05","","20.97669444"
"UNIVERSIDAD DE MEDELLÍN","2025-07-04","","21.60677083"
"UNIVERSIDAD DE MEDELLÍN","2025-07-03","","22.12071528"
"UNIVERSIDAD DE MEDELLÍN","2025-07-02","","23.2756875"
"UNIVERSIDAD DE MEDELLÍN","2025-07-01","","23.20261111"
"UNIVERSIDAD DE MEDELLÍN","2025-06-30","","23.36195652"
"UNIVERSIDAD DE MEDELLÍN","2025-06-29","","21.8699375"
"UNIVERSIDAD DE MEDELLÍN","2025-06-28","","21.79713194"
"UNIVERSIDAD DE MEDELLÍN","2025-06-27","","21.86025"
"UNIVERSIDAD DE MEDELLÍN","2025-06-26","","22.35786111"
"UNIVERSIDAD DE MEDELLÍN","2025-06-25","","20.7682232"
"UNIVERSIDAD DE MEDELLÍN","2025-06-24","","19.08380556"
"UNIVERSIDAD DE MEDELLÍN","2025-06-23","","20.08118056"
"UNIVERSIDAD DE MEDELLÍN","2025-06-22","","19.84493056"
"UNIVERSIDAD DE MEDELLÍN","2025-06-21","","22.87644445"
"UNIVERSIDAD DE MEDELLÍN","2025-06-20","","23.00509028"
"UNIVERSIDAD DE MEDELLÍN","2025-06-19","","23.30386805"
"UNIVERSIDAD DE MEDELLÍN","2025-06-18","","21.51421528"
"UNIVERSIDAD DE MEDELLÍN","2025-06-17","","20.91756945"
"UNIVERSIDAD DE MEDELLÍN","2025-06-16","","19.800438"
"UNIVERSIDAD DE MEDELLÍN","2025-05-22","","17.54927778"
"UNIVERSIDAD DE MEDELLÍN","2025-05-21","","21.16708333"
"UNIVERSIDAD DE MEDELLÍN","2025-05-20","","20.75197222"
"UNIVERSIDAD DE MEDELLÍN","2025-05-19","","20.78016667"
"UNIVERSIDAD DE MEDELLÍN","2025-05-18","","20.13513889"
"UNIVERSIDAD DE MEDELLÍN","2025-05-17","","20.49107639"
"UNIVERSIDAD DE MEDELLÍN","2025-05-16","","20.22870833"
"UNIVERSIDAD DE MEDELLÍN","2025-05-15","","19.76236111"
"UNIVERSIDAD DE MEDELLÍN","2025-05-14","","21.79574306"
"UNIVERSIDAD DE MEDELLÍN","2025-05-13","","22.02970139"
"UNIVERSIDAD DE MEDELLÍN","2025-05-12","","24.02979861"
"UNIVERSIDAD DE MEDELLÍN","2025-05-11","","22.28147917"
"UNIVERSIDAD DE MEDELLÍN","2025-05-10","","22.63020139"
"UNIVERSIDAD DE MEDELLÍN","2025-05-09","","20.56631944"
"UNIVERSIDAD DE MEDELLÍN","2025-05-08","","19.85083333"
"UNIVERSIDAD DE MEDELLÍN","2025-05-07","","19.71857639"
"UNIVERSIDAD DE MEDELLÍN","2025-05-06","","19.31568056"
"UNIVERSIDAD DE MEDELLÍN","2025-05-05","","19.83552083"
"UNIVERSIDAD DE MEDELLÍN","2025-05-04","","20.88893056"
"UNIVERSIDAD DE MEDELLÍN","2025-05-03","","21.62833333"
"UNIVERSIDAD DE MEDELLÍN","2025-05-02","","20.64714583"
"UNIVERSIDAD DE MEDELLÍN","2025-05-01","","19.65947222"
"UNIVERSIDAD DE MEDELLÍN","2025-04-30","","20.64144927"
"UNIVERSIDAD DE MEDELLÍN","2025-04-29","","19.93134028"
"UNIVERSIDAD DE MEDELLÍN","2025-04-28","","20.32502778"
"UNIVERSIDAD DE MEDELLÍN","2025-04-27","","20.56607863"
"UNIVERSIDAD DE MEDELLÍN","2025-04-26","","20.117375"
"UNIVERSIDAD DE MEDELLÍN","2025-04-25","","19.95242361"
"UNIVERSIDAD DE MEDELLÍN","2025-04-24","","20.76827083"
"UNIVERSIDAD DE MEDELLÍN","2025-04-23","","22.00923611"
"UNIVERSIDAD DE MEDELLÍN","2025-04-22","","20.52065972"
"UNIVERSIDAD DE MEDELLÍN","2025-04-21","","22.14146296"
"UNIVERSIDAD DE MEDELLÍN","2025-03-13","","21.35633435"
"UNIVERSIDAD DE MEDELLÍN","2025-03-12","","20.92451389"
"UNIVERSIDAD DE MEDELLÍN","2025-03-11","","20.47820833"
"UNIVERSIDAD DE MEDELLÍN","2025-03-10","","22.36659028"
"UNIVERSIDAD DE MEDELLÍN","2025-03-09","","23.01069445"
"UNIVERSIDAD DE MEDELLÍN","2025-03-08","","22.14971528"
"UNIVERSIDAD DE MEDELLÍN","2025-03-07","","20.84697917"
"UNIVERSIDAD DE MEDELLÍN","2025-03-06","","21.48424305"
"UNIVERSIDAD DE MEDELLÍN","2025-03-05","","21.29154861"
"UNIVERSIDAD DE MEDELLÍN","2025-03-04","","20.02106944"
"UNIVERSIDAD DE MEDELLÍN","2025-03-03","","21.16529167"
"UNIVERSIDAD DE MEDELLÍN","2025-03-02","","22.07777083"
"UNIVERSIDAD DE MEDELLÍN","2025-03-01","","20.71076389"
"UNIVERSIDAD DE MEDELLÍN","2025-02-28","","20.27648894"
"UNIVERSIDAD DE MEDELLÍN","2025-02-27","","22.27775694"
"UNIVERSIDAD DE MEDELLÍN","2025-02-26","","22.10122222"
"UNIVERSIDAD DE MEDELLÍN","2025-02-25","","20.43159028"
"UNIVERSIDAD DE MEDELLÍN","2025-02-24","","20.72415278"
"UNIVERSIDAD DE MEDELLÍN","2025-02-23","","21.82795139"
"UNIVERSIDAD DE MEDELLÍN","2025-02-22","","21.15877778"
"UNIVERSIDAD DE MEDELLÍN","2025-02-21","","21.71665278"
"UNIVERSIDAD DE MEDELLÍN","2025-02-20","","24.92560119"
"UNIVERSIDAD DE MEDELLÍN","2025-02-19","","24.86378889"
"UNIVERSIDAD DE MEDELLÍN","2025-02-18","","22.79736947"
"UNIVERSIDAD DE MEDELLÍN","2025-02-16","","17.53275606"
"UNIVERSIDAD DE MEDELLÍN","2025-02-15","","20.36330534"
"UNIVERSIDAD DE MEDELLÍN","2025-02-14","","20.59027452"
"UNIVERSIDAD DE MEDELLÍN","2025-02-13","","20.41957452"
"UNIVERSIDAD DE MEDELLÍN","2025-02-12","","22.23996429"
"UNIVERSIDAD DE MEDELLÍN","2025-02-11","","19.45089079"
"UNIVERSIDAD DE MEDELLÍN","2025-02-10","","20.87148209"
"UNIVERSIDAD DE MEDELLÍN","2025-02-09","","19.84022657"
"UNIVERSIDAD DE MEDELLÍN","2025-02-08","","22.26719697"
"UNIVERSIDAD DE MEDELLÍN","2025-02-07","","21.53724563"
"UNIVERSIDAD DE MEDELLÍN","2025-02-06","","21.71858333"
"UNIVERSIDAD DE MEDELLÍN","2025-02-05","","19.62869444"
"UNIVERSIDAD DE MEDELLÍN","2025-02-04","","21.63825097"
"UNIVERSIDAD DE MEDELLÍN","2025-02-03","","22.76717589"
"UNIVERSIDAD DE MEDELLÍN","2025-02-01","","22.55104695"
"UNIVERSIDAD DE MEDELLÍN","2025-01-31","","24.99865898"
"UNIVERSIDAD DE MEDELLÍN","2025-01-30","","25.79748093"
"UNIVERSIDAD DE MEDELLÍN","2025-01-29","","23.56140463"
"UNIVERSIDAD DE MEDELLÍN","2025-01-28","","23.3970266"
"UNIVERSIDAD DE MEDELLÍN","2025-01-27","","22.92245675"
"UNIVERSIDAD DE MEDELLÍN","2025-01-26","","22.00158689"
"UNIVERSIDAD DE MEDELLÍN","2025-01-25","","22.03044981"
"UNIVERSIDAD DE MEDELLÍN","2025-01-24","","21.18237494"
"UNIVERSIDAD DE MEDELLÍN","2025-01-23","","21.59067112"
"UNIVERSIDAD DE MEDELLÍN","2025-01-22","","21.8109423"
"UNIVERSIDAD DE MEDELLÍN","2025-01-21","","19.62321878"
"UNIVERSIDAD DE MEDELLÍN","2025-01-20","","20.33329646"
"UNIVERSIDAD DE MEDELLÍN","2025-01-18","","21.86716959"
"UNIVERSIDAD DE MEDELLÍN","2025-01-17","","21.91808044"
"UNIVERSIDAD DE MEDELLÍN","2025-01-16","","21.73522372"
"UNIVERSIDAD DE MEDELLÍN","2025-01-15","","21.41878807"
"UNIVERSIDAD DE MEDELLÍN","2025-01-14","","21.8293125"
"UNIVERSIDAD DE MEDELLÍN","2025-01-13","","24.67568277"
"UNIVERSIDAD DE MEDELLÍN","2025-01-11","","21.75086576"
"UNIVERSIDAD DE MEDELLÍN","2025-01-10","","22.02717508"
"UNIVERSIDAD DE MEDELLÍN","2025-01-09","","21.49850092"
"UNIVERSIDAD DE MEDELLÍN","2025-01-08","","22.51235348"
"UNIVERSIDAD DE MEDELLÍN","2025-01-07","","22.83470417"
"UNIVERSIDAD DE MEDELLÍN","2025-01-04","","20.00772925"
"UNIVERSIDAD DE MEDELLÍN","2025-01-03","","19.86646528"
"UNIVERSIDAD DE MEDELLÍN","2025-01-02","","21.86868056"
"UNIVERSIDAD DE MEDELLÍN","2024-11-30","","22.89287547"
"UNIVERSIDAD DE MEDELLÍN","2024-11-29","","23.36047613"
"UNIVERSIDAD DE MEDELLÍN","2024-11-28","","20.37463578"
"UNIVERSIDAD DE MEDELLÍN","2024-11-27","","20.75330861"
"UNIVERSIDAD DE MEDELLÍN","2024-11-26","","22.84285036"
"UNIVERSIDAD DE MEDELLÍN","2024-11-25","","22.40345913"
"UNIVERSIDAD DE MEDELLÍN","2024-11-24","","21.71795068"
"UNIVERSIDAD DE MEDELLÍN","2024-11-23","","20.1845762"
"UNIVERSIDAD DE MEDELLÍN","2024-11-22","","20.29199376"
"UNIVERSIDAD DE MEDELLÍN","2024-11-21","","20.24198031"
"UNIVERSIDAD DE MEDELLÍN","2024-11-20","","19.78115349"
"UNIVERSIDAD DE MEDELLÍN","2024-11-19","","19.48604167"
"UNIVERSIDAD DE MEDELLÍN","2024-11-18","","20.31272222"
"UNIVERSIDAD DE MEDELLÍN","2024-11-17","","21.00179861"
"UNIVERSIDAD DE MEDELLÍN","2024-11-16","","19.91663194"
"UNIVERSIDAD DE MEDELLÍN","2024-11-15","","20.24118056"
"UNIVERSIDAD DE MEDELLÍN","2024-11-14","","19.48561806"
"UNIVERSIDAD DE MEDELLÍN","2024-11-13","","20.52091667"
"UNIVERSIDAD DE MEDELLÍN","2024-11-12","","20.82241667"
"UNIVERSIDAD DE MEDELLÍN","2024-11-11","","19.24070139"
"UNIVERSIDAD DE MEDELLÍN","2024-11-10","","19.48794444"
"UNIVERSIDAD DE MEDELLÍN","2024-11-09","","19.62166667"
"UNIVERSIDAD DE MEDELLÍN","2024-11-08","","18.10188889"
"UNIVERSIDAD DE MEDELLÍN","2024-11-07","","19.90897222"
"UNIVERSIDAD DE MEDELLÍN","2024-11-06","","22.20115278"
"UNIVERSIDAD DE MEDELLÍN","2024-11-05","","20.95009722"
"UNIVERSIDAD DE MEDELLÍN","2024-11-04","","19.28717361"
"UNIVERSIDAD DE MEDELLÍN","2024-11-03","","20.99641667"
"UNIVERSIDAD DE MEDELLÍN","2024-11-02","","21.52123611"
"UNIVERSIDAD DE MEDELLÍN","2024-11-01","","19.47217361"
"UNIVERSIDAD DE MEDELLÍN","2024-10-31","","20.99556108"
"UNIVERSIDAD DE MEDELLÍN","2024-10-30","","20.67712724"
"UNIVERSIDAD DE MEDELLÍN","2024-10-29","","22.61908741"
"UNIVERSIDAD DE MEDELLÍN","2024-10-28","","22.89277006"
"UNIVERSIDAD DE MEDELLÍN","2024-10-27","","23.15009028"
"UNIVERSIDAD DE MEDELLÍN","2024-10-26","","23.45240167"
"UNIVERSIDAD DE MEDELLÍN","2024-10-25","","24.06253607"
"UNIVERSIDAD DE MEDELLÍN","2024-10-24","","21.7150625"
"UNIVERSIDAD DE MEDELLÍN","2024-10-23","","22.38440228"
"UNIVERSIDAD DE MEDELLÍN","2024-10-22","","20.27190509"
"UNIVERSIDAD DE MEDELLÍN","2024-10-21","","20.13063889"
"UNIVERSIDAD DE MEDELLÍN","2024-10-20","","20.42721528"
"UNIVERSIDAD DE MEDELLÍN","2024-10-19","","20.92722222"
"UNIVERSIDAD DE MEDELLÍN","2024-10-18","","23.54901485"
"UNIVERSIDAD DE MEDELLÍN","2024-10-17","","22.31249306"
"UNIVERSIDAD DE MEDELLÍN","2024-10-16","","20.8029076"
"UNIVERSIDAD DE MEDELLÍN","2024-10-15","","21.17316368"
"UNIVERSIDAD DE MEDELLÍN","2024-10-14","","22.07536806"
"UNIVERSIDAD DE MEDELLÍN","2024-10-13","","22.5856974"
"UNIVERSIDAD DE MEDELLÍN","2024-10-12","","23.40985028"
"UNIVERSIDAD DE MEDELLÍN","2024-10-11","","22.42873988"
"UNIVERSIDAD DE MEDELLÍN","2024-10-10","","19.30327083"
"UNIVERSIDAD DE MEDELLÍN","2024-10-09","","21.1994545"
"UNIVERSIDAD DE MEDELLÍN","2024-10-08","","19.17256043"
"UNIVERSIDAD DE MEDELLÍN","2024-10-07","","20.72678209"
"UNIVERSIDAD DE MEDELLÍN","2024-10-06","","21.39190972"
"UNIVERSIDAD DE MEDELLÍN","2024-10-05","","21.12754861"
"UNIVERSIDAD DE MEDELLÍN","2024-10-04","","21.63475694"
"UNIVERSIDAD DE MEDELLÍN","2024-10-03","","22.89600694"
"UNIVERSIDAD DE MEDELLÍN","2024-10-02","","21.04552083"
"UNIVERSIDAD DE MEDELLÍN","2024-10-01","","20.76723206"
"UNIVERSIDAD DE MEDELLÍN","2024-09-30","","19.58218733"
"UNIVERSIDAD DE MEDELLÍN","2024-09-29","","19.0397803"
"UNIVERSIDAD DE MEDELLÍN","2024-09-28","","20.19113182"
"UNIVERSIDAD DE MEDELLÍN","2024-09-27","","19.97210978"
"UNIVERSIDAD DE MEDELLÍN","2024-09-26","","20.23454636"
"UNIVERSIDAD DE MEDELLÍN","2024-09-25","","22.57945238"
"UNIVERSIDAD DE MEDELLÍN","2024-09-05","","20.03375"
"UNIVERSIDAD DE MEDELLÍN","2024-09-04","","23.94700694"
"UNIVERSIDAD DE MEDELLÍN","2024-09-03","","22.337"
"UNIVERSIDAD DE MEDELLÍN","2024-09-02","","22.05159191"
"UNIVERSIDAD DE MEDELLÍN","2024-09-01","","20.09125"
"UNIVERSIDAD DE MEDELLÍN","2024-08-31","","22.48927536"
"UNIVERSIDAD DE MEDELLÍN","2024-08-30","","22.69422222"
"UNIVERSIDAD DE MEDELLÍN","2024-08-29","","20.41424306"
"UNIVERSIDAD DE MEDELLÍN","2024-08-28","","23.76800833"
"UNIVERSIDAD DE MEDELLÍN","2024-08-27","","22.91734722"
"UNIVERSIDAD DE MEDELLÍN","2024-08-26","","21.83779167"
"UNIVERSIDAD DE MEDELLÍN","2024-08-25","","21.26644444"
"UNIVERSIDAD DE MEDELLÍN","2024-08-24","","20.36715278"
"UNIVERSIDAD DE MEDELLÍN","2024-08-23","","22.36157639"
"UNIVERSIDAD DE MEDELLÍN","2024-08-22","","23.19014583"
"UNIVERSIDAD DE MEDELLÍN","2024-08-21","","23.69847917"
"UNIVERSIDAD DE MEDELLÍN","2024-08-20","","23.37182639"
"UNIVERSIDAD DE MEDELLÍN","2024-08-19","","23.13778472"
"UNIVERSIDAD DE MEDELLÍN","2024-08-18","","23.22670833"
"UNIVERSIDAD DE MEDELLÍN","2024-08-17","","23.07394444"
"UNIVERSIDAD DE MEDELLÍN","2024-08-16","","22.98849306"
"UNIVERSIDAD DE MEDELLÍN","2024-08-15","","23.58893056"
"UNIVERSIDAD DE MEDELLÍN","2024-08-14","","23.55984028"
"UNIVERSIDAD DE MEDELLÍN","2024-08-13","","21.42535417"
"UNIVERSIDAD DE MEDELLÍN","2024-08-12","","22.54161806"
"UNIVERSIDAD DE MEDELLÍN","2024-08-11","","20.0894375"
"UNIVERSIDAD DE MEDELLÍN","2024-08-10","","20.96075906"
"UNIVERSIDAD DE MEDELLÍN","2024-08-09","","20.87639583"
"UNIVERSIDAD DE MEDELLÍN","2024-08-08","","22.05343056"
"UNIVERSIDAD DE MEDELLÍN","2024-08-07","","20.77010417"
"UNIVERSIDAD DE MEDELLÍN","2024-08-06","","20.32075694"
"UNIVERSIDAD DE MEDELLÍN","2024-08-05","","20.58452778"
"UNIVERSIDAD DE MEDELLÍN","2024-08-04","","23.10384028"
"UNIVERSIDAD DE MEDELLÍN","2024-08-03","","22.47091248"
"UNIVERSIDAD DE MEDELLÍN","2024-08-02","","23.94204502"
"UNIVERSIDAD DE MEDELLÍN","2024-08-01","","23.04849694"
"UNIVERSIDAD DE MEDELLÍN","2024-07-31","","23.40895652"
"UNIVERSIDAD DE MEDELLÍN","2024-07-30","","23.07884722"
