"Estacion","Fecha inicial","Fecha final","SO2"
"P_Colegio El Rosario - Itagüí (S)","2008-05-12","","0.55087524"
"P_Colegio El Rosario - Itagüí (S)","2008-04-30","","0.76932029"
"P_Colegio El Rosario - Itagüí (S)","2008-04-24","","1.25378152"
"P_Colegio El Rosario - Itagüí (S)","2008-04-18","","0.57281853"
"P_Colegio El Rosario - Itagüí (S)","2007-12-20","","10.72858877"
"P_Colegio El Rosario - Itagüí (S)","2007-12-14","","10.55591318"
"P_Colegio El Rosario - Itagüí (S)","2007-12-08","","6.13957375"
"P_Colegio El Rosario - Itagüí (S)","2007-12-02","","2.30813232"
"P_Colegio El Rosario - Itagüí (S)","2007-11-26","","1.22451076"
"P_Colegio El Rosario - Itagüí (S)","2007-11-20","","1.77863059"
"P_Colegio El Rosario - Itagüí (S)","2007-11-14","","10.80711571"
"P_Colegio El Rosario - Itagüí (S)","2007-11-08","","12.94982073"
"P_Colegio El Rosario - Itagüí (S)","2007-11-02","","10.43862651"
"P_Colegio El Rosario - Itagüí (S)","2007-10-27","","0.5018254"
"P_Colegio El Rosario - Itagüí (S)","2007-10-21","","1.6844615"
"P_Colegio El Rosario - Itagüí (S)","2007-10-15","","1.42845029"
"P_Colegio El Rosario - Itagüí (S)","2007-10-09","","1.81174455"
"P_Colegio El Rosario - Itagüí (S)","2007-10-03","","1.51943156"
"P_Colegio El Rosario - Itagüí (S)","2007-09-27","","4.52824045"
"P_Colegio El Rosario - Itagüí (S)","2007-09-21","","2.02916168"
"P_Colegio El Rosario - Itagüí (S)","2007-09-15","","1.43895357"
"P_Colegio El Rosario - Itagüí (S)","2007-09-09","","1.00593877"
"P_Colegio El Rosario - Itagüí (S)","2007-09-03","","3.03084789"
"P_Colegio El Rosario - Itagüí (S)","2007-08-28","","2.27526154"
"P_Colegio El Rosario - Itagüí (S)","2007-08-22","","0.85993139"
"P_Colegio El Rosario - Itagüí (S)","2007-08-16","","3.23746955"
"P_Colegio El Rosario - Itagüí (S)","2007-08-10","","6.72783321"
"P_Colegio El Rosario - Itagüí (S)","2007-08-04","","5.61936905"
"P_Colegio El Rosario - Itagüí (S)","2007-07-29","","1.04946029"
"P_Colegio El Rosario - Itagüí (S)","2007-07-23","","2.83109618"
"P_Colegio El Rosario - Itagüí (S)","2007-07-17","","4.84974278"
"P_Colegio El Rosario - Itagüí (S)","2007-07-11","","5.19948709"
"P_Colegio El Rosario - Itagüí (S)","2007-07-05","","5.5270477"
"P_Colegio El Rosario - Itagüí (S)","2007-06-29","","3.67267359"
"P_Colegio El Rosario - Itagüí (S)","2007-06-23","","1.32732348"
"P_Colegio El Rosario - Itagüí (S)","2007-06-17","","0.97236061"
"P_Colegio El Rosario - Itagüí (S)","2007-06-05","","7.39575782"
"P_Colegio El Rosario - Itagüí (S)","2007-05-30","","4.12917384"
"P_Colegio El Rosario - Itagüí (S)","2007-05-24","","7.44420774"
"P_Colegio El Rosario - Itagüí (S)","2007-05-18","","3.63576235"
"P_Colegio El Rosario - Itagüí (S)","2007-05-12","","7.28313125"
"P_Colegio El Rosario - Itagüí (S)","2007-05-06","","1.48380038"
"P_Colegio El Rosario - Itagüí (S)","2007-04-30","","2.20953532"
"P_Colegio El Rosario - Itagüí (S)","2007-04-24","","4.38617433"
"P_Colegio El Rosario - Itagüí (S)","2007-04-18","","2.19645859"
"P_Colegio El Rosario - Itagüí (S)","2007-04-12","","1.02214055"
"P_Colegio El Rosario - Itagüí (S)","2007-03-13","","1.95950398"
"P_Colegio El Rosario - Itagüí (S)","2007-03-07","","3.7248082"
"P_Colegio El Rosario - Itagüí (S)","2007-03-01","","11.38170746"
"P_Colegio El Rosario - Itagüí (S)","2007-02-23","","2.33434537"
"P_Colegio El Rosario - Itagüí (S)","2007-02-17","","1.90023511"
"P_Colegio El Rosario - Itagüí (S)","2007-02-05","","1.02100242"
"P_Colegio El Rosario - Itagüí (S)","2007-01-24","","0.726895"
"P_Colegio El Rosario - Itagüí (S)","2007-01-12","","1.15976025"
"P_Colegio El Rosario - Itagüí (S)","2006-09-08","","0.8299"
"P_Colegio El Rosario - Itagüí (S)","2006-08-21","","2.39527648"
"P_Colegio El Rosario - Itagüí (S)","2006-07-10","","0.95084377"
"P_Colegio El Rosario - Itagüí (S)","2006-07-04","","3.52859055"
"P_Colegio El Rosario - Itagüí (S)","2006-06-28","","4.22414324"
"P_Colegio El Rosario - Itagüí (S)","2006-06-22","","4.81553962"
"P_Colegio El Rosario - Itagüí (S)","2006-06-16","","2.39564428"
"P_Colegio El Rosario - Itagüí (S)","2006-06-10","","4.76016643"
"P_Colegio El Rosario - Itagüí (S)","2006-06-04","","1.57114683"
"P_Colegio El Rosario - Itagüí (S)","2006-05-29","","4.66500867"
"P_Colegio El Rosario - Itagüí (S)","2006-05-17","","0.95629427"
"P_Colegio El Rosario - Itagüí (S)","2006-05-05","","10.38093978"
"P_Colegio El Rosario - Itagüí (S)","2006-04-29","","4.33283386"
"P_Colegio El Rosario - Itagüí (S)","2006-04-23","","4.0943957"
"P_Colegio El Rosario - Itagüí (S)","2006-04-17","","4.19688172"
"P_Colegio El Rosario - Itagüí (S)","2006-04-11","","4.80584179"
"P_Colegio El Rosario - Itagüí (S)","2006-04-05","","6.5737716"
"P_Colegio El Rosario - Itagüí (S)","2006-03-30","","4.31092801"
"P_Colegio El Rosario - Itagüí (S)","2006-03-18","","3.34667526"
"P_Colegio El Rosario - Itagüí (S)","2006-03-06","","1.04878973"
"P_Colegio El Rosario - Itagüí (S)","2006-02-28","","1.3248386"
"P_Colegio El Rosario - Itagüí (S)","2006-02-16","","1.05617225"
"P_Colegio El Rosario - Itagüí (S)","2006-02-10","","2.14530446"
"P_Colegio El Rosario - Itagüí (S)","2006-01-29","","1.28660817"
"P_Colegio El Rosario - Itagüí (S)","2006-01-23","","3.24886656"
"P_Colegio El Rosario - Itagüí (S)","2006-01-17","","4.16122802"
"P_Colegio El Rosario - Itagüí (S)","2006-01-11","","4.39862355"
"P_Colegio El Rosario - Itagüí (S)","2006-01-05","","4.16296114"
"P_Colegio El Rosario - Itagüí (S)","2005-12-30","","5.63570632"
"P_Colegio El Rosario - Itagüí (S)","2005-12-24","","0.81164948"
"P_Colegio El Rosario - Itagüí (S)","2005-12-18","","0.97354525"
"P_Colegio El Rosario - Itagüí (S)","2005-06-24","","0.5716249"
"P_Colegio El Rosario - Itagüí (S)","2005-06-18","","1.76124088"
"P_Colegio El Rosario - Itagüí (S)","2005-05-25","","1.42118271"
"P_Colegio El Rosario - Itagüí (S)","2005-05-19","","3.85949454"
"P_Colegio El Rosario - Itagüí (S)","2005-05-13","","1.40054944"
"P_Colegio El Rosario - Itagüí (S)","2005-04-19","","7.99402082"
"P_Colegio El Rosario - Itagüí (S)","2005-04-13","","7.69966551"
"P_Colegio El Rosario - Itagüí (S)","2005-04-07","","3.8617645"
"P_Colegio El Rosario - Itagüí (S)","2005-04-01","","5.69285216"
"P_Colegio El Rosario - Itagüí (S)","2005-03-20","","24.44537751"
"P_Colegio El Rosario - Itagüí (S)","2005-03-14","","24.81858365"
"P_Colegio El Rosario - Itagüí (S)","2005-03-02","","19.82769609"
"P_Colegio El Rosario - Itagüí (S)","2005-02-24","","20.20183959"
"P_Colegio El Rosario - Itagüí (S)","2005-02-18","","2.78775079"
"P_Colegio El Rosario - Itagüí (S)","2005-02-12","","6.80050646"
"P_Colegio El Rosario - Itagüí (S)","2005-01-31","","6.98439032"
"P_Colegio El Rosario - Itagüí (S)","2005-01-25","","8.24552857"
"P_Colegio El Rosario - Itagüí (S)","2004-12-10","","5.03832193"
"P_Colegio El Rosario - Itagüí (S)","2004-12-04","","3.25133741"
"P_Colegio El Rosario - Itagüí (S)","2004-11-28","","4.62871003"
"P_Colegio El Rosario - Itagüí (S)","2004-11-22","","10.94355053"
"P_Colegio El Rosario - Itagüí (S)","2004-11-16","","8.9649892"
"P_Colegio El Rosario - Itagüí (S)","2004-11-10","","6.04181537"
"P_Colegio El Rosario - Itagüí (S)","2004-11-04","","8.32083388"
"P_Colegio El Rosario - Itagüí (S)","2004-10-29","","6.13023286"
"P_Colegio El Rosario - Itagüí (S)","2004-10-23","","4.3689044"
"P_Colegio El Rosario - Itagüí (S)","2004-10-17","","4.01261795"
"P_Colegio El Rosario - Itagüí (S)","2004-10-11","","9.33132371"
"P_Colegio El Rosario - Itagüí (S)","2004-10-05","","1.37129639"
"P_Colegio El Rosario - Itagüí (S)","2004-09-29","","7.41453495"
"P_Colegio El Rosario - Itagüí (S)","2004-09-23","","3.66713885"
"P_Colegio El Rosario - Itagüí (S)","2002-01-30","","13.52863303"
"P_Colegio El Rosario - Itagüí (S)","2002-01-27","","8.02062195"
"P_Colegio El Rosario - Itagüí (S)","2002-01-24","","7.01501903"
"P_Colegio El Rosario - Itagüí (S)","2002-01-21","","9.09026334"
"P_Colegio El Rosario - Itagüí (S)","2002-01-18","","9.64320819"
"P_Colegio El Rosario - Itagüí (S)","2002-01-15","","12.00467545"
"P_Colegio El Rosario - Itagüí (S)","2002-01-09","","14.26587012"
"P_Colegio El Rosario - Itagüí (S)","2002-01-06","","9.496535"
"P_Colegio El Rosario - Itagüí (S)","2001-11-22","","3.19134243"
"P_Colegio El Rosario - Itagüí (S)","2001-11-16","","2.03403472"
"P_Colegio El Rosario - Itagüí (S)","2001-11-13","","0.98364532"
"P_Colegio El Rosario - Itagüí (S)","2001-11-04","","6.84604815"
"P_Colegio El Rosario - Itagüí (S)","2001-11-01","","14.02062322"
"P_Colegio El Rosario - Itagüí (S)","2001-10-26","","12.90913639"
"P_Colegio El Rosario - Itagüí (S)","2001-10-23","","16.45893574"
"P_Colegio El Rosario - Itagüí (S)","2001-10-20","","31.36279491"
"P_Colegio El Rosario - Itagüí (S)","2001-10-17","","0.98569886"
"P_Colegio El Rosario - Itagüí (S)","2001-10-14","","2.14626332"
"P_Colegio El Rosario - Itagüí (S)","2001-10-11","","30.61389631"
"P_Colegio El Rosario - Itagüí (S)","2001-10-08","","7.36595941"
"P_Colegio El Rosario - Itagüí (S)","2001-10-05","","39.6758321"
"P_Colegio El Rosario - Itagüí (S)","2001-10-02","","30.33604741"
"P_Colegio El Rosario - Itagüí (S)","2001-09-29","","14.56722528"
"P_Colegio El Rosario - Itagüí (S)","2001-09-26","","21.54766313"
"P_Colegio El Rosario - Itagüí (S)","2001-09-23","","16.50290868"
"P_Colegio El Rosario - Itagüí (S)","2001-09-20","","6.52952603"
"P_Colegio El Rosario - Itagüí (S)","2001-09-17","","6.27572796"
"P_Colegio El Rosario - Itagüí (S)","2001-09-14","","7.0440908"
"P_Colegio El Rosario - Itagüí (S)","2001-09-11","","6.52408476"
"P_Colegio El Rosario - Itagüí (S)","2001-09-08","","2.92348539"
"P_Colegio El Rosario - Itagüí (S)","2001-09-05","","4.86332546"
"P_Colegio El Rosario - Itagüí (S)","2001-09-02","","4.03065826"
"P_Colegio El Rosario - Itagüí (S)","2001-08-27","","12.34818006"
"P_Colegio El Rosario - Itagüí (S)","2001-08-24","","6.52408476"
"P_Colegio El Rosario - Itagüí (S)","2001-08-18","","12.0690993"
"P_Colegio El Rosario - Itagüí (S)","2001-08-15","","12.0690993"
"P_Colegio El Rosario - Itagüí (S)","2001-08-12","","24.26630124"
"P_Colegio El Rosario - Itagüí (S)","2001-08-09","","15.395193"
"P_Colegio El Rosario - Itagüí (S)","2001-08-06","","19.55395391"
"P_Colegio El Rosario - Itagüí (S)","2001-08-03","","17.33503307"
"P_Colegio El Rosario - Itagüí (S)","2001-07-31","","19.53565353"
"P_Colegio El Rosario - Itagüí (S)","2001-07-28","","14.82330619"
"P_Colegio El Rosario - Itagüí (S)","2001-07-25","","15.41806848"
"P_Colegio El Rosario - Itagüí (S)","2001-07-22","","14.82330619"
"P_Colegio El Rosario - Itagüí (S)","2001-07-19","","17.0651025"
"P_Colegio El Rosario - Itagüí (S)","2001-07-16","","15.41806848"
"P_Colegio El Rosario - Itagüí (S)","2001-07-13","","15.09781186"
"P_Colegio El Rosario - Itagüí (S)","2001-07-10","","20.40492148"
"P_Colegio El Rosario - Itagüí (S)","2001-07-07","","24.24800087"
"P_Colegio El Rosario - Itagüí (S)","2001-07-04","","20.40492148"
"P_Colegio El Rosario - Itagüí (S)","2001-07-01","","20.95393282"
"P_Colegio El Rosario - Itagüí (S)","2001-06-28","","15.09781186"
"P_Colegio El Rosario - Itagüí (S)","2001-06-25","","19.26114786"
"P_Colegio El Rosario - Itagüí (S)","2001-06-22","","23.42448386"
"P_Colegio El Rosario - Itagüí (S)","2001-06-19","","13.72528351"
"P_Colegio El Rosario - Itagüí (S)","2001-06-16","","15.96707982"
"P_Colegio El Rosario - Itagüí (S)","2001-06-13","","20.13041581"
"P_Colegio El Rosario - Itagüí (S)","2001-06-10","","17.88861951"
"P_Colegio El Rosario - Itagüí (S)","2001-06-07","","23.28723102"
"P_Colegio El Rosario - Itagüí (S)","2001-06-04","","29.14335199"
"P_Colegio El Rosario - Itagüí (S)","2001-06-01","","22.78397063"
"P_Colegio El Rosario - Itagüí (S)","2001-05-29","","17.93437045"
"P_Colegio El Rosario - Itagüí (S)","2001-05-26","","17.24810628"
"P_Colegio El Rosario - Itagüí (S)","2001-05-23","","17.24810628"
