"Estacion","Fecha inicial","Fecha final","TAire2"
"ESTACIÓN TRÁFICO CENTRO","2012-12-03","","22.69466667"
"ESTACIÓN TRÁFICO CENTRO","2012-12-01","","21.28823529"
"ESTACIÓN TRÁFICO CENTRO","2012-11-30","","20.63041667"
"ESTACIÓN TRÁFICO CENTRO","2012-11-29","","21.48125"
"ESTACIÓN TRÁFICO CENTRO","2012-11-28","","22.98541667"
"ESTACIÓN TRÁFICO CENTRO","2012-11-27","","22.85333333"
"ESTACIÓN TRÁFICO CENTRO","2012-11-26","","23.46708333"
"ESTACIÓN TRÁFICO CENTRO","2012-11-25","","23.77625"
"ESTACIÓN TRÁFICO CENTRO","2012-11-24","","23.19125"
"ESTACIÓN TRÁFICO CENTRO","2012-11-23","","22.02583333"
"ESTACIÓN TRÁFICO CENTRO","2012-11-22","","20.80916667"
"ESTACIÓN TRÁFICO CENTRO","2012-11-21","","21.74416667"
"ESTACIÓN TRÁFICO CENTRO","2012-11-20","","22.94130435"
"ESTACIÓN TRÁFICO CENTRO","2012-11-19","","21.96833333"
"ESTACIÓN TRÁFICO CENTRO","2012-11-18","","19.285"
"ESTACIÓN TRÁFICO CENTRO","2012-11-17","","20.5975"
"ESTACIÓN TRÁFICO CENTRO","2012-11-16","","21.19833333"
"ESTACIÓN TRÁFICO CENTRO","2012-11-15","","21.31833333"
"ESTACIÓN TRÁFICO CENTRO","2012-11-14","","21.60083333"
"ESTACIÓN TRÁFICO CENTRO","2012-11-13","","21.03"
"ESTACIÓN TRÁFICO CENTRO","2012-11-12","","21.60458333"
"ESTACIÓN TRÁFICO CENTRO","2012-11-11","","21.9875"
"ESTACIÓN TRÁFICO CENTRO","2012-11-10","","22.40458333"
"ESTACIÓN TRÁFICO CENTRO","2012-11-09","","23.52333333"
"ESTACIÓN TRÁFICO CENTRO","2012-11-08","","23.00333333"
"ESTACIÓN TRÁFICO CENTRO","2012-11-07","","22.50791667"
"ESTACIÓN TRÁFICO CENTRO","2012-11-06","","23.085"
"ESTACIÓN TRÁFICO CENTRO","2012-11-05","","22.2075"
"ESTACIÓN TRÁFICO CENTRO","2012-11-04","","22.72875"
"ESTACIÓN TRÁFICO CENTRO","2012-11-03","","23.00416667"
"ESTACIÓN TRÁFICO CENTRO","2012-11-02","","21.9575"
"ESTACIÓN TRÁFICO CENTRO","2012-11-01","","22.27375"
"ESTACIÓN TRÁFICO CENTRO","2012-10-31","","21.38416667"
"ESTACIÓN TRÁFICO CENTRO","2012-10-30","","20.43173913"
"ESTACIÓN TRÁFICO CENTRO","2012-10-29","","23.42333333"
"ESTACIÓN TRÁFICO CENTRO","2012-10-28","","23.44375"
"ESTACIÓN TRÁFICO CENTRO","2012-10-27","","22.90583333"
"ESTACIÓN TRÁFICO CENTRO","2012-10-26","","21.49291667"
"ESTACIÓN TRÁFICO CENTRO","2012-10-25","","22.03666667"
"ESTACIÓN TRÁFICO CENTRO","2012-10-24","","21.85125"
"ESTACIÓN TRÁFICO CENTRO","2012-10-23","","22.92791667"
"ESTACIÓN TRÁFICO CENTRO","2012-10-22","","21.69208333"
"ESTACIÓN TRÁFICO CENTRO","2012-10-21","","21.28291667"
"ESTACIÓN TRÁFICO CENTRO","2012-10-20","","21.79083333"
"ESTACIÓN TRÁFICO CENTRO","2012-10-19","","20.65375"
"ESTACIÓN TRÁFICO CENTRO","2012-10-18","","19.59333333"
"ESTACIÓN TRÁFICO CENTRO","2012-10-17","","21.09"
