municipio,nombre_estacion,latitud,longitud,parametro
MEDELLÍN,INSTITUCIÓN EDUCATIVA CIRO MENDIA,6.29014,-75.555779,PM2.5
MEDELLÍN,ITM ROBLEDO - MEDELLÍN,6.275564,-75.588289,NO
MEDELLÍN,ITM ROBLEDO - MEDELLÍN,6.275564,-75.588289,NO2
MEDELLÍN,ITM ROBLEDO - MEDELLÍN,6.275564,-75.588289,PM10
MEDELLÍN,MED-UNE Poblado,6.189528,-75.559833,O3
MEDELLÍN,MED-UNE Poblado,6.189528,-75.559833,HAire2
MEDELLÍN,MED-UNE Poblado,6.189528,-75.559833,P
MEDELLÍN,MED-UNE Poblado,6.189528,-75.559833,PM2.5
MEDELLÍN,MED-UNE Poblado,6.189528,-75.559833,VViento
MEDELLÍN,MED-UNE Poblado,6.189528,-75.559833,HAire10
MEDELLÍN,MED-UNE Poblado,6.189528,-75.559833,TAire2
MEDELLÍN,MED-UNE Poblado,6.189528,-75.559833,CO
MEDELLÍN,P_EST-Secretaria,6.252719,-75.569683,NO2
MEDELLÍN,P_EST-Secretaria,6.252719,-75.569683,PM2.5
MEDELLÍN,P_EST-Secretaria,6.252719,-75.569683,NO
MEDELLÍN,P_EST-Secretaria,6.252719,-75.569683,O3
MEDELLÍN,P_EST-Secretaria,6.252719,-75.569683,PLiquida
MEDELLÍN,P_EST-Secretaria,6.252719,-75.569683,P
MEDELLÍN,P_EST-Secretaria,6.252719,-75.569683,HAire10
MEDELLÍN,P_EST-Secretaria,6.252719,-75.569683,DViento
MEDELLÍN,P_EST-Secretaria,6.252719,-75.569683,RGlobal
MEDELLÍN,P_MED-Aguinaga,6.2531,-75.568636,PM2.5
MEDELLÍN,P_Poblado,6.212091,-75.557018,CO
MEDELLÍN,P_Poblado,6.212091,-75.557018,O3
MEDELLÍN,P_Poblado,6.212091,-75.557018,PM2.5
MEDELLÍN,SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO,6.277838,-75.636363,PM2.5
MEDELLÍN,UDEA (S),6.268405,-75.568188,PST
MEDELLÍN,UDEA (S),6.268405,-75.568188,PM10
MEDELLÍN,UNIVERSIDAD CES,6.207386,-75.551851,HAire10
MEDELLÍN,UNIVERSIDAD CES,6.207386,-75.551851,O3
MEDELLÍN,UNIVERSIDAD CES,6.207386,-75.551851,P
MEDELLÍN,UNIVERSIDAD CES,6.207386,-75.551851,PLiquida
MEDELLÍN,UNIVERSIDAD CES,6.207386,-75.551851,TMPR_AIR_10CM
MEDELLÍN,UNIVERSIDAD CES,6.207386,-75.551851,DViento
MEDELLÍN,UNIVERSIDAD CES,6.207386,-75.551851,PM2.5
MEDELLÍN,UNIVERSIDAD CES,6.207386,-75.551851,VViento
MEDELLÍN,UNIVERSIDAD DE MEDELLÍN,6.230184,-75.609962,P
MEDELLÍN,UNIVERSIDAD DE MEDELLÍN,6.230184,-75.609962,PLiquida
MEDELLÍN,UNIVERSIDAD DE MEDELLÍN,6.230184,-75.609962,O3
MEDELLÍN,UNIVERSIDAD DE MEDELLÍN,6.230184,-75.609962,RGlobal
MEDELLÍN,UNIVERSIDAD DE MEDELLÍN,6.230184,-75.609962,VViento
MEDELLÍN,UNIVERSIDAD DE MEDELLÍN,6.230184,-75.609962,DViento
MEDELLÍN,UNIVERSIDAD DE MEDELLÍN,6.230184,-75.609962,TAire10
MEDELLÍN,UNIVERSIDAD DE MEDELLÍN,6.230184,-75.609962,TMPR_AIR_10CM
MEDELLÍN,UNIVERSIDAD DE MEDELLÍN,6.230184,-75.609962,HAire10
MEDELLÍN,UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR,6.263361,-75.576944,TMPR_AIR_10CM
MEDELLÍN,UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR,6.263361,-75.576944,TAire10
MEDELLÍN,UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR,6.263361,-75.576944,HAire10
MEDELLÍN,UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR,6.263361,-75.576944,PLiquida
MEDELLÍN,UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR,6.263361,-75.576944,VViento
MEDELLÍN,UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR,6.263361,-75.576944,NOx
MEDELLÍN,UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR,6.263361,-75.576944,NO
MEDELLÍN,UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR,6.263361,-75.576944,NO2
MEDELLÍN,UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR,6.263361,-75.576944,PM2.5
MEDELLÍN,UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR,6.263361,-75.576944,HAire2
MEDELLÍN,UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR,6.263361,-75.576944,DViento
MEDELLÍN,UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR,6.263361,-75.576944,O3
MEDELLÍN,UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR,6.263361,-75.576944,TAire2
MEDELLÍN,UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR,6.263361,-75.576944,P
MEDELLÍN,UNIVERSIDAD NACIONAL - NÚCLEO EL VOLADOR,6.263361,-75.576944,RGlobal
MEDELLÍN,UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S),6.2764,-75.596066,SO2
MEDELLÍN,UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S),6.2764,-75.596066,PM10
MEDELLÍN,UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S),6.2764,-75.596066,PST
MEDELLÍN,UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S),6.2764,-75.596066,VViento
MEDELLÍN,UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S),6.2764,-75.596066,RGlobal
MEDELLÍN,UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S),6.2764,-75.596066,PLiquida
MEDELLÍN,UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S),6.2764,-75.596066,HAire2
MEDELLÍN,UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S),6.2764,-75.596066,TAire?h
MEDELLÍN,UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S),6.2764,-75.596066,PM2.5
MEDELLÍN,UNIVERSIDAD NACIONAL DE COLOMBIA M2 (S),6.2764,-75.596066,P
MEDELLÍN,Universidad Nacional de Colombia M2,6.2764,-75.596066,PM10
MEDELLÍN,Universidad Nacional de Colombia M2,6.2764,-75.596066,NO
MEDELLÍN,Universidad Nacional de Colombia M2,6.2764,-75.596066,CO
MEDELLÍN,Universidad Nacional de Colombia M2,6.2764,-75.596066,NOx
MEDELLÍN,Universidad Nacional de Colombia M2,6.2764,-75.596066,NO2
SABANETA,Centro Administrativo Municipal - Sabaneta,6.150586,-75.616363,PM10
SABANETA,Centro Administrativo Municipal - Sabaneta,6.150586,-75.616363,TAire10
SABANETA,Centro Administrativo Municipal - Sabaneta,6.150586,-75.616363,HAire?h
SABANETA,Centro Administrativo Municipal - Sabaneta,6.150586,-75.616363,P
