municipio,nombre_estacion,latitud,longitud,parametro
ITAGÜÍ,Planta de Tratamiento de Aguas Residuales San Fernando - Cuarto de Control de Biodigestores,6.193766,-75.59125,O3
LA ESTRELLA,CORPORACIÓN UNIVERSITARIA LASALLISTA,6.099026,-75.638391,P
LA ESTRELLA,CORPORACIÓN UNIVERSITARIA LASALLISTA,6.099026,-75.638391,TAire2
LA ESTRELLA,CORPORACIÓN UNIVERSITARIA LASALLISTA,6.099026,-75.638391,TMPR_AIR_10CM
LA ESTRELLA,CORPORACIÓN UNIVERSITARIA LASALLISTA,6.099026,-75.638391,O3
LA ESTRELLA,CORPORACIÓN UNIVERSITARIA LASALLISTA,6.099026,-75.638391,RGlobal
LA ESTRELLA,CORPORACIÓN UNIVERSITARIA LASALLISTA,6.099026,-75.638391,HAire10
LA ESTRELLA,CORPORACIÓN UNIVERSITARIA LASALLISTA,6.099026,-75.638391,TAire10
LA ESTRELLA,CORPORACIÓN UNIVERSITARIA LASALLISTA,6.099026,-75.638391,PLiquida
LA ESTRELLA,CORPORACIÓN UNIVERSITARIA LASALLISTA,6.099026,-75.638391,DViento
LA ESTRELLA,CORPORACIÓN UNIVERSITARIA LASALLISTA,6.099026,-75.638391,HAire2
LA ESTRELLA,CORPORACIÓN UNIVERSITARIA LASALLISTA,6.099026,-75.638391,VViento
LA ESTRELLA,CORPORACIÓN UNIVERSITARIA LASALLISTA,6.099026,-75.638391,PM2.5
LA ESTRELLA,ESTRELLA - MARIA GORETTI,6.152261,-75.635876,PM10
LA ESTRELLA,LA ESTRELLA - HOSPITAL,6.155528,-75.644167,PM2.5
LA ESTRELLA,LA TABLAZA I.E JOSE ANTONIO GALAN,6.118056,-75.631944,PM2.5
LA ESTRELLA,P_EST-Centro Adtvo,6.158139,-75.641583,PST
LA ESTRELLA,P_EST-Centro Adtvo,6.158139,-75.641583,PM10
MEDELLÍN,ALMACÉN GENERAL DE EPM,6.229773,-75.586061,TMPR_AIR_10CM
MEDELLÍN,ALMACÉN GENERAL DE EPM,6.229773,-75.586061,NO
MEDELLÍN,ALMACÉN GENERAL DE EPM,6.229773,-75.586061,PM2.5
MEDELLÍN,ALMACÉN GENERAL DE EPM,6.229773,-75.586061,HAire10
MEDELLÍN,ALMACÉN GENERAL DE EPM,6.229773,-75.586061,PLiquida
MEDELLÍN,ALMACÉN GENERAL DE EPM,6.229773,-75.586061,NO2
MEDELLÍN,ALMACÉN GENERAL DE EPM,6.229773,-75.586061,P
MEDELLÍN,ALMACÉN GENERAL DE EPM,6.229773,-75.586061,DViento
MEDELLÍN,ALMACÉN GENERAL DE EPM,6.229773,-75.586061,VViento
MEDELLÍN,ALMACÉN GENERAL DE EPM,6.229773,-75.586061,PM10
MEDELLÍN,CORANTIOQUIA - MEDELLÍN,6.249646,-75.582735,PM10
MEDELLÍN,CORANTIOQUIA - MEDELLÍN,6.249646,-75.582735,PST
MEDELLÍN,ESTACIÓN TRÁFICO CENTRO,6.252709,-75.569656,RGlobal
MEDELLÍN,ESTACIÓN TRÁFICO CENTRO,6.252709,-75.569656,TAire2
MEDELLÍN,ESTACIÓN TRÁFICO CENTRO,6.252709,-75.569656,HAire10
MEDELLÍN,ESTACIÓN TRÁFICO CENTRO,6.252709,-75.569656,PM10
MEDELLÍN,ESTACIÓN TRÁFICO CENTRO,6.252709,-75.569656,NO2
MEDELLÍN,ESTACIÓN TRÁFICO CENTRO,6.252709,-75.569656,SO2
MEDELLÍN,ESTACIÓN TRÁFICO CENTRO,6.252709,-75.569656,TAire10
MEDELLÍN,ESTACIÓN TRÁFICO CENTRO,6.252709,-75.569656,DViento
MEDELLÍN,ESTACIÓN TRÁFICO CENTRO,6.252709,-75.569656,VViento
MEDELLÍN,ESTACIÓN TRÁFICO CENTRO,6.252709,-75.569656,P
MEDELLÍN,ESTACIÓN TRÁFICO CENTRO,6.252709,-75.569656,HAire2
MEDELLÍN,ESTACIÓN TRÁFICO CENTRO,6.252709,-75.569656,CO
MEDELLÍN,ESTACIÓN TRÁFICO CENTRO,6.252709,-75.569656,PLiquida
MEDELLÍN,ESTACIÓN TRÁFICO CENTRO,6.252709,-75.569656,PM2.5
MEDELLÍN,ESTACIÓN TRÁFICO CENTRO,6.252709,-75.569656,NOx
MEDELLÍN,ESTACIÓN TRÁFICO CENTRO,6.252709,-75.569656,NO
MEDELLÍN,EXITO SAN ANTONIO - MEDELLÍN,6.246473,-75.566891,CO
MEDELLÍN,EXITO SAN ANTONIO - MEDELLÍN,6.246473,-75.566891,PM10
MEDELLÍN,FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE,6.268792,-75.573653,VViento
MEDELLÍN,FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE,6.268792,-75.573653,P
MEDELLÍN,FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE,6.268792,-75.573653,NO2
MEDELLÍN,FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE,6.268792,-75.573653,DViento
MEDELLÍN,FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE,6.268792,-75.573653,TMPR_AIR_10CM
MEDELLÍN,FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE,6.268792,-75.573653,HAire10
MEDELLÍN,FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE,6.268792,-75.573653,PLiquida
MEDELLÍN,FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE,6.268792,-75.573653,O3
MEDELLÍN,FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE,6.268792,-75.573653,NO
MEDELLÍN,FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE,6.268792,-75.573653,PM2.5
MEDELLÍN,FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE,6.268792,-75.573653,RGlobal
MEDELLÍN,FISCALÍA GENERAL DE LA NACIÓN - SECTOR CARIBE,6.268792,-75.573653,SO2
ITAGÜÍ,CASA DE JUSTICIA ITAGÜÍ,6.185667,-75.597206,NO2
ITAGÜÍ,CASA DE JUSTICIA ITAGÜÍ,6.185667,-75.597206,HAire2
ITAGÜÍ,Colegio el Rosario - Itagüí,6.175185,-75.611278,PM10
ITAGÜÍ,Colegio el Rosario - Itagüí,6.175185,-75.611278,O3
ITAGÜÍ,Colegio el Rosario - Itagüí,6.175185,-75.611278,PM2.5
ITAGÜÍ,Colegio el Rosario - Itagüí,6.175185,-75.611278,CO
ITAGÜÍ,DITAIRES,6.171942,-75.631398,VViento
ITAGÜÍ,DITAIRES,6.171942,-75.631398,CO
ITAGÜÍ,DITAIRES,6.171942,-75.631398,TAire2
MEDELLÍN,MED-UNE Poblado,6.189528,-75.559833,TAire10
MEDELLÍN,MED-UNE Poblado,6.189528,-75.559833,RGlobal
MEDELLÍN,MED-UNE Poblado,6.189528,-75.559833,PLiquida
MEDELLÍN,MED-UNE Poblado,6.189528,-75.559833,DViento
MEDELLÍN,MED-Univ. Medellín (S),6.230184,-75.609962,PM10
MEDELLÍN,MED-Univ. Medellín (S),6.230184,-75.609962,O3
MEDELLÍN,MED-Univ. Medellín (S),6.230184,-75.609962,PST
MEDELLÍN,MED-Villahermosa,6.256222,-75.558833,O3
MEDELLÍN,MED-Villahermosa,6.256222,-75.558833,PM10
MEDELLÍN,MEDELLIN - I.E INEM JOSÉ FÉLIX DE RESTREPO SEDE SANTA CATALINA,6.199869,-75.560835,PM2.5
MEDELLÍN,MEDELLIN -TANQUE MIRAFLORES,6.229972,-75.549194,VViento
MEDELLÍN,MEDELLIN -TANQUE MIRAFLORES,6.229972,-75.549194,DViento
MEDELLÍN,MEDELLIN -TANQUE MIRAFLORES,6.229972,-75.549194,O3
MEDELLÍN,MEDELLIN -TANQUE MIRAFLORES,6.229972,-75.549194,P
MEDELLÍN,MEDELLIN -TANQUE MIRAFLORES,6.229972,-75.549194,HAire10
MEDELLÍN,MEDELLIN -TANQUE MIRAFLORES,6.229972,-75.549194,PLiquida
MEDELLÍN,MEDELLIN -TANQUE MIRAFLORES,6.229972,-75.549194,TMPR_AIR_10CM
MEDELLÍN,MEDELLIN -TANQUE MIRAFLORES (S),6.229915,-75.549172,PM10
MEDELLÍN,MEDELLÍN - ALTAVISTA,6.221932,-75.610456,NO2
MEDELLÍN,MEDELLÍN - ALTAVISTA,6.221932,-75.610456,PM2.5
MEDELLÍN,MEDELLÍN - ALTAVISTA,6.221932,-75.610456,O3
MEDELLÍN,MEDELLÍN - ALTAVISTA,6.221932,-75.610456,NO
MEDELLÍN,MEDELLÍN - ALTAVISTA,6.221932,-75.610456,PM10
MEDELLÍN,MEDELLÍN - I.E PEDRO JUSTO BERRÍO,6.237246,-75.611161,PM2.5
MEDELLÍN,MEDELLÍN - SANTA ELENA,6.236365,-75.498347,VViento
MEDELLÍN,MEDELLÍN - SANTA ELENA,6.236365,-75.498347,DViento
MEDELLÍN,MEDELLÍN - SANTA ELENA,6.236365,-75.498347,TMPR_AIR_10CM
