Fecha,NO,NO2,O3,PM10,PM2.5
2019-01-01,,,,,25.2375
2019-01-02,,,,,15.88333333
2019-01-03,,,,,16.60833333
2019-01-04,,,,,16.80833333
2019-01-05,,,,,25.03478261
2019-01-06,,,,,24.39583333
2019-01-07,,,,,20.46666667
2019-01-08,,,,,21.27083333
2019-01-09,,,,,16.13333333
2019-01-10,,,,,21.4125
2019-01-11,,,,,17.325
2019-01-12,,,,,18.81666667
2019-01-13,,,,,17.08333333
2019-01-14,,,,,21.05238095
2019-01-15,,,,,25.25652174
2019-01-16,,,,,25.79166667
2019-01-17,,,,,25.48333333
2019-01-18,,,,,23.9375
2019-01-19,,,,,20.475
2019-01-20,,,,,20.32916667
2019-01-21,,,,,16.90833333
2019-01-22,,,,,22.18333333
2019-01-23,,,,,26.70416667
2019-01-24,,,,,24.425
2019-01-25,,,,,26.34166667
2019-01-26,,,,,26.20833333
2019-01-27,,,,,24.90416667
2019-01-28,,,,,26.79583333
2019-01-29,,,,,25.1
2019-01-30,,,,,24.57083333
2019-01-31,,,,,25.49166667
2019-02-01,,,,,28.7125
2019-02-02,,,,,24.92916667
2019-02-03,,,,,19.91666667
2019-02-04,,,,,26.12083333
2019-02-05,,,,,31.725
2019-02-06,,,,,30.61666667
2019-02-07,,,,,38.00416667
2019-02-08,,,,,38.75416667
2019-02-09,,,,,33.2375
2019-02-10,,,,,28.075
2019-02-11,,,,,29.10909091
2019-02-12,,,,,39.4
2019-02-13,,,,,33.70833333
2019-02-14,,,,,25.25
2019-02-15,,,,,29.46666667
2019-02-16,,,,,34.07916667
2019-02-17,,,,,30.81666667
2019-02-18,,,,,31.47083333
2019-02-19,,,,,34.045
2019-02-20,,,,,25.34782609
2019-02-21,,,,,26.225
2019-02-22,,,,,26.4875
2019-02-23,,,,,23.85
2019-02-24,,,,,34.55833333
2019-02-25,,,,,37.005
2019-02-26,,,,,48.4625
2019-02-27,,,,,39.6625
2019-02-28,,,,,29.85714286
2019-03-01,,,,,35.39583333
2019-03-02,,,,,31.32
2019-03-03,,,,,29.9875
2019-03-04,,,,,31.10833333
2019-03-05,,,,,43.85652174
2019-03-06,,,,,38.73333333
2019-03-07,,,,,36.40833333
2019-03-08,,,,,36.525
2019-03-09,,,,,30.68333333
2019-03-10,,,,,24.56818182
2019-03-11,,,,,25.24782609
2019-03-12,,,,,29.2826087
2019-03-13,,,,,30.78333333
2019-03-14,,,,,44.94090909
2019-03-15,,,,,48.33043478
2019-03-16,,,,,54.82727273
2019-03-17,,,,,51.50416667
2019-03-18,,,,,40.35833333
2019-03-19,,,,,25.35294118
2019-03-20,,,,,27.28571429
2019-03-21,,,,,27.64285714
2019-03-22,,,,,33.46666667
2019-03-23,,,,,26.87083333
2019-03-24,,,,,27.78695652
2019-03-25,,,,,25.31818182
2019-03-26,,,,,37.34166667
2019-03-27,,,,,44.44166667
2019-03-28,,,,,43.63333333
2019-03-29,,,,,25.14583333
2019-03-30,,,,,25.79583333
2019-03-31,,,,,28.17083333
2019-04-01,,,,,18.77083333
2019-04-02,,,,,18.62916667
2019-04-03,,,,,25.34347826
2019-04-04,,,,,24.82083333
2019-04-05,,,,,23.30416667
2019-04-06,,,,,24.88695652
2019-04-07,,,,,37.4625
2019-04-08,,,,,38.18181818
2019-04-09,,,,,40.16666667
2019-04-10,,,,,39.15833333
2019-04-11,,,,,25.7125
2019-04-12,,,,,26.88333333
2019-04-13,,,,,30.3875
2019-04-14,,,,,27.125
2019-04-15,,,,,21.35416667
2019-04-16,,,,,25.09583333
2019-04-17,,,,,28.70869565
2019-04-18,,,,,12.37391304
2019-04-19,,,,,14.54090909
2019-04-20,,,,,20.12
2019-04-21,,,,,20.91666667
2019-04-22,,,,,16.18695652
2019-04-23,,,,,21.35652174
2019-04-24,,,,,22.825
2019-04-25,,,,,24.40833333
2019-04-26,,,,,20.34347826
2019-04-27,,,,,21.07083333
2019-04-28,,,,,15.16666667
2019-04-29,,,,,20.31666667
2019-04-30,,,,,22.96190476
2019-05-01,,,,,21.325
2019-05-02,,,,,26.7375
2019-05-03,,,,,30.57083333
2019-05-04,,,,,31.2875
2019-05-05,,,,,22.95
2019-05-06,,,,,19.44166667
2019-05-07,,,,,21.85416667
2019-05-08,,,,,23.3375
2019-05-09,,,,,31.6375
2019-05-10,,,,,19.27826087
2019-05-11,,,,,14.58333333
2019-05-12,,,,,13.42608696
2019-05-13,,,,,18.49166667
2019-05-14,,,,,13.6
2019-05-15,,,,,24.56818182
2019-05-16,,,,,26.00416667
2019-05-17,,,,,23.0375
2019-05-18,,,,,27.98695652
2019-05-19,,,,,15.775
2019-05-20,,,,,19.46521739
2019-05-21,,,,,25.93333333
2019-05-22,,,,,21.86086957
2019-05-23,,,,,21.78333333
2019-05-24,,,,,23.00434783
2019-05-25,,,,,21.70833333
2019-05-26,,,,,17.54090909
2019-05-27,,,,,18.89166667
2019-05-28,,,,,20.45416667
2019-05-29,,,,,27.8826087
2019-05-30,,,,,20.8625
2019-05-31,,,,,31.40869565
2019-06-01,,,,,19.775
2019-06-02,,,,,17.4375
2019-06-03,,,,,11.09
2019-06-04,,,,,16.92608696
2019-06-05,,,,,22.28181818
2019-06-06,,,,,27.55217391
2019-06-07,,,,,22.68695652
2019-06-08,,,,,24.56521739
2019-06-09,,,,,13.77916667
