Fecha,DViento,HAire10,O3,P,PLiquida,PM2.5,TMPR_AIR_10CM,VViento
2024-07-03,179.61772253,89.15636806,19.07989525,18.5078125,0.2475,10.39093739,18.5078125,0.84045318
2024-07-04,191.00897407,89.49989128,17.73923423,18.935375,0.07125,9.9655975,18.935375,0.72860518
2024-07-05,152.76601793,91.71416667,7.66792705,17.36375694,0.21083333,5.41867822,17.36375694,0.74412398
2024-07-06,181.72844321,75.22214583,33.36120502,20.22150694,0.00208333,7.09693996,20.22150694,1.00263035
2024-07-07,183.24609249,72.87784028,32.20038877,21.24877778,0.0,7.12229042,21.24877778,1.03046528
2024-07-08,168.21134428,67.20016667,39.71299535,21.60844444,0.00208333,6.44931817,21.60844444,0.94344317
2024-07-09,198.17816436,68.58243056,36.64745947,21.35319444,0.0025,9.12247188,21.35319444,0.95260818
2024-07-10,172.39341528,71.47334028,21.01731392,21.33874306,0.0,10.40863385,21.33874306,0.91402205
2024-07-11,182.99502379,70.41361111,28.26015334,21.327875,0.01541667,13.59116583,21.327875,1.07023566
2024-07-12,186.31161005,83.89450695,27.74514331,18.88004861,0.10833333,13.2412775,18.88004861,1.02072939
2024-07-13,165.19878485,72.54607926,28.85691099,20.33302395,0.0,9.21277174,20.33302395,1.15816026
2024-07-14,129.97797492,67.793125,33.02603977,21.74838889,0.0,5.175279,21.74838889,0.89428738
2024-07-15,190.88003348,72.25341631,38.2905867,21.64247352,0.0,9.78442524,21.64247352,0.84461049
2024-07-16,133.72513803,68.45639583,33.54104979,21.5263125,0.0,7.25572421,21.5263125,1.1381752
2024-07-17,180.69516649,69.06388889,21.40301407,21.60756944,0.0,10.56281708,21.60756944,0.78177103
2024-07-18,204.4374954,71.67874306,66.03339437,21.36861806,0.0,12.13880727,21.36861806,0.8146301
2024-07-19,195.04367969,73.32199856,31.97967019,20.97588889,0.0,10.62581636,20.97588889,0.70078085
2024-07-20,151.71681366,67.42286806,30.3937663,21.36743056,0.0,8.17732474,21.36743056,0.99583128
2024-07-21,152.33097524,70.39665972,31.39108731,21.53734028,0.02416667,6.92903708,21.53734028,0.81193831
2024-07-22,141.38602259,67.53770139,34.54654556,22.19470833,0.0,6.90391833,22.19470833,0.90812581
2024-07-23,169.12008394,69.54838195,30.9578249,21.0155625,0.0,9.67651708,21.0155625,0.9692568
2024-07-24,142.67335442,66.39215972,37.91454764,21.72284028,0.0,10.6445395,21.72284028,1.00405153
2024-07-25,169.27970155,69.92424306,35.06155559,22.24526389,0.0,12.43035708,22.24526389,0.75888964
2024-07-26,186.61686314,72.50189583,39.70482058,21.67113194,0.07,14.54394304,21.67113194,0.74262835
2024-07-27,217.17971476,80.08749306,34.4075746,20.70534722,0.23791667,9.30962958,20.70534722,0.59175792
2024-07-28,170.64133813,76.9321875,25.22731652,20.50958333,0.0,7.00265792,20.50958333,1.05015192
2024-07-29,172.58931399,66.45349306,33.4102536,22.53158333,0.0,7.39900792,22.53158333,0.94577785
2024-07-30,187.59343326,65.37652778,18.72565555,21.20497222,0.0,8.47256926,21.20497222,1.15660359
2024-07-31,161.50553204,66.07120833,31.57910684,21.12694444,0.0,8.46940042,21.12694444,1.10787912
2024-08-01,163.69162083,64.53525,37.06437235,21.08723611,0.0,9.48692792,21.08723611,1.03603074
2024-08-02,154.66718801,62.92327083,55.17147089,21.85071528,0.0,11.0502705,21.85071528,1.08399151
2024-08-03,156.93146687,74.83890972,36.88452758,20.35272917,0.04166667,9.80142719,20.35272917,0.90199139
2024-08-04,163.72527196,76.71556816,33.30398169,20.70060366,0.2175,9.6057125,20.70060366,0.75352412
2024-08-05,194.9778367,85.38886401,33.22223407,18.95276793,0.40958333,7.50450404,18.95276793,0.84918712
2024-08-06,163.41861822,88.71285417,24.49976267,18.45122222,0.18041667,8.9711525,18.45122222,0.57351399
2024-08-07,181.36110972,82.011125,37.80010096,18.90427083,0.0425,7.3899265,18.90427083,0.87496488
