Fecha,PM10
2015-03-11,
2015-03-12,58.5
2015-03-13,
2015-03-14,
2015-03-15,68.3
2015-03-16,
2015-03-17,
2015-03-18,77.4
2015-03-19,
2015-03-20,
2015-03-21,36.5
2015-03-22,
2015-03-23,
2015-03-24,57.5
2015-03-25,
2015-03-26,
2015-03-27,74.0
2015-03-28,
2015-03-29,
2015-03-30,62.3
2015-03-31,
2015-04-01,
2015-04-02,48.0
2015-04-03,
2015-04-04,
2015-04-05,32.5
2015-04-06,
2015-04-07,
2015-04-08,59.6
2015-04-09,
2015-04-10,
2015-04-11,45.6
2015-04-12,
2015-04-13,
2015-04-14,81.3
2015-04-15,
2015-04-16,
2015-04-17,59.6
2015-04-18,
2015-04-19,
2015-04-20,52.8
2015-04-21,
2015-04-22,
2015-04-23,57.3
2015-04-24,
2015-04-25,
2015-04-26,28.0
2015-04-27,
2015-04-28,
2015-04-29,51.9
2015-04-30,
2015-05-01,
2015-05-02,39.2
2015-05-03,
2015-05-04,
2015-05-05,62.5
2015-05-06,
2015-05-07,
2015-05-08,55.9
2015-05-09,
2015-05-10,
2015-05-11,52.5
2015-05-12,
2015-05-13,
2015-05-14,53.6
2015-05-15,
2015-05-16,
2015-05-17,21.3
2015-05-18,
2015-05-19,
2015-05-20,42.3
2015-05-21,
2015-05-22,
2015-05-23,40.4
2015-05-24,
2015-05-25,
2015-05-26,54.6
2015-05-27,
2015-05-28,
2015-05-29,51.5
2015-05-30,
2015-05-31,
2015-06-01,33.3
2015-06-02,
2015-06-03,
2015-06-04,43.3
2015-06-05,
2015-06-06,
2015-06-07,27.3
2015-06-08,
2015-06-09,
2015-06-10,52.2
2015-06-11,
2015-06-12,
2015-06-13,46.9
2015-06-14,
2015-06-15,
2015-06-16,40.5
2015-06-17,
2015-06-18,
2015-06-19,47.2
2015-06-20,
2015-06-21,
2015-06-22,34.9
2015-06-23,
2015-06-24,
2015-06-25,42.5
2015-06-26,
2015-06-27,
2015-06-28,27.5
2015-06-29,
2015-06-30,
2015-07-01,54.8
2015-07-02,
2015-07-03,
2015-07-04,47.8
2015-07-05,
2015-07-06,
2015-07-07,53.4
2015-07-08,
2015-07-09,
2015-07-10,48.1
2015-07-11,
