Fecha,DViento,HAire10,NO,NO2,P,PLiquida,PM10,PM2.5,VViento
2019-03-08,180.16666667,89.20673611,25.82926751,30.10712746,18.85967361,0.2175,45.1343,44.33333333,1.6575
2019-03-09,160.08333333,60.89331944,25.08341818,30.46951608,24.30155556,0.0,54.903825,38.66666667,1.63708333
2019-03-10,131.83333333,80.59006945,21.25474097,16.73515049,19.93250694,0.0175,46.49683913,30.875,1.31458333
2019-03-11,152.91666667,85.04913195,47.34055436,27.39674236,20.29195833,0.00916667,38.44484167,34.54166667,1.36458333
2019-03-12,237.16666667,85.18840972,61.90951607,29.6641471,20.08478472,0.01625,78.50806087,45.65217391,1.88083333
2019-03-13,,,37.84923059,28.01509556,,,,44.25,
2019-03-14,,,19.15987689,35.05436828,,,,57.625,
2019-03-15,,,23.36716613,36.37369682,,,,59.70833333,
2019-03-16,,,19.97847605,39.75836088,,,,64.5,
2019-03-17,,,10.42388711,30.29750449,,,,66.29166667,
2019-03-18,,,27.09192377,38.74697602,,,,47.54166667,
2019-03-19,,,36.54465802,34.14736536,,,,30.29166667,
2019-03-20,,,41.84200375,23.24868863,,,,30.25,
2019-03-21,,,46.14558877,39.63731656,,,,34.20833333,
2019-03-22,,,57.35884429,48.61800724,,,,43.33333333,
2019-03-23,,,39.9668456,38.62294654,,,,38.08333333,
2019-03-24,,,23.31141598,29.89627733,,,,34.0,
2019-03-25,,,23.1547657,26.64426025,,,,27.625,
2019-03-26,,,38.59186156,43.78171301,,,,46.26086957,
2019-03-27,,,25.17490694,43.03616665,,,,52.33333333,
2019-03-28,,,28.85029176,49.67470242,,,,56.375,
2019-03-29,,,31.63760793,43.94234633,,,,37.125,
2019-03-30,,,32.61518255,37.85378352,,,,36.13636364,
2019-03-31,,,23.42612115,27.57380758,,,,33.70833333,
2019-04-01,189.875,61.56882639,31.74964554,44.01511866,22.64997917,0.0,46.68383913,29.08333333,1.51458333
2019-04-02,140.27272727,61.90006944,42.51658011,37.95317948,24.92013611,0.0,55.44888333,27.625,1.63727273
2019-04-03,134.54545455,74.62385129,59.39459274,41.27699734,22.78667378,0.05416667,54.98416364,41.39130435,1.60272727
2019-04-04,215.29166667,85.32226389,36.51176505,28.42129016,20.24345139,0.25333333,46.39268696,29.83333333,1.40375
2019-04-05,148.36363636,73.84469063,28.52687796,44.05376916,22.97106555,0.0,54.03235455,31.25,1.71818182
2019-04-06,231.33333333,53.01818333,31.83789483,37.9290474,28.14908333,0.0,43.06255,26.41666667,1.06333333
2019-04-07,198.75,81.06527778,37.15880727,28.6861319,21.41086111,0.14666667,54.18865,37.79166667,1.50333333
2019-04-08,227.91666667,74.98041667,42.83137798,43.03031827,22.06429861,0.0,40.14608333,51.04166667,1.28958333
2019-04-09,217.0,65.95090996,52.00265052,40.73418225,23.58533142,0.00166667,60.06568571,51.25,1.53708333
2019-04-10,213.20833333,75.70608333,44.23919575,41.96758836,20.54358333,0.0,70.37985,42.90909091,1.65375
2019-04-11,171.45833333,81.24602778,51.46742385,43.88899293,21.291625,0.02333333,40.2425875,33.79166667,1.58416667
2019-04-12,222.0,83.15993056,65.25870883,47.72620468,20.38692361,0.02,74.3141125,35.04347826,1.48791667
2019-04-13,,,38.70020333,53.03186643,,,,40.125,
2019-04-14,,,24.09235244,38.08159661,,,,25.75,
2019-04-15,,,47.20322091,47.64351783,,,,30.17391304,
2019-04-16,,,59.42660348,51.97253865,,,,37.79166667,
2019-04-17,,,47.51431383,65.08268256,,,,34.25,
2019-04-18,,,19.53522127,30.96166947,,,,13.20833333,
2019-04-19,,,11.41838695,25.85725672,,,,10.375,
2019-04-20,,,24.88879858,42.53621394,,,,19.91666667,
2019-04-21,,,28.55778489,40.29835533,,,,22.08333333,
2019-04-22,,,51.29843969,41.58123391,,,,22.79166667,
2019-04-23,,,51.48355419,37.67872408,,,,24.83333333,
2019-04-24,,,58.89243185,57.25712714,,,,26.45833333,
2019-04-25,,,60.0099206,63.55654009,,,,35.20833333,
2019-04-26,,,65.31337636,56.46897969,,,,29.875,
2019-04-27,,,74.8378198,45.3129936,,,,30.95833333,
2019-04-28,,,43.26603729,34.53943828,,,,21.54166667,
2019-04-29,,,77.47158518,50.87811411,,,,38.04545455,
2019-04-30,,,56.984987,46.72137466,,,,32.70833333,
2019-05-01,201.83333333,70.74023611,32.50574096,37.89953261,22.78567361,0.00083333,54.03513913,29.91666667,1.29791667
2019-05-02,99.0,72.31685417,58.08934747,49.83976428,22.66234722,0.00375,62.49004348,41.75,1.45333333
2019-05-03,156.625,76.55189583,56.05810117,53.18404739,22.16788889,0.00375,67.85408636,40.20833333,1.54416667
2019-05-04,166.73684211,85.91731579,37.72564888,43.67853099,19.92900877,0.12666667,48.19466316,37.375,1.21210526
