Fecha,CO,O3,PM10,PM2.5
2008-01-01,,,62.76026043,
2008-01-02,,,54.59503542,
2008-01-03,,,49.41595625,
2008-01-04,,,49.10053042,
2008-01-05,,,49.01913042,
2008-01-06,,,41.8660975,
2008-01-07,,,44.93895167,
2008-01-08,,,68.50427292,
2008-01-09,,,63.84412208,
2008-01-10,,,69.14529708,
2008-01-11,,,59.42816708,
2008-01-12,,,50.06715708,
2008-01-13,,,38.54904542,
2008-01-14,,,50.63695792,
2008-01-15,,,67.92429833,
2008-01-16,,,76.05413042,
2008-01-17,,,72.56410333,
2008-01-18,,,68.92144833,
2008-01-19,,,78.882785,
2008-01-20,,,,
2008-01-21,,,,
2008-01-22,,,,
2008-01-23,,,,
2008-01-24,,,,
2008-01-25,,,,
2008-01-26,,,,
2008-01-27,,,,
2008-01-28,,,,
2008-01-29,,,,
2008-01-30,,,,
2008-01-31,,,,
2008-02-01,,,,
2008-02-02,,,,
2008-02-03,,,,
2008-02-04,,,,
2008-02-05,,,,
2008-02-06,,,,
2008-02-07,,,,
2008-02-08,,,,
2008-02-09,,,,
2008-02-10,,,,
2008-02-11,,,,
2008-02-12,,,,
2008-02-13,,,,
2008-02-14,,,,
2008-02-15,,,,
2008-02-16,,,,
2008-02-17,,,,
2008-02-18,,,,
2008-02-19,,,,
2008-02-20,,,,
2008-02-21,,,,
2008-02-22,,,,
2008-02-23,,,,
2008-02-24,,,,
2008-02-25,,,,
2008-02-26,,,,
2008-02-27,,,,
2008-02-28,,,,
2008-02-29,,,,
2008-03-01,,,,
2008-03-02,,,,
2008-03-03,,,,
2008-03-04,,,,
2008-03-05,,,,
2008-03-06,,,,
2008-03-07,,,,
2008-03-08,,,,
2008-03-09,,,,
2008-03-10,,,,
2008-03-11,,,,
2008-03-12,,,,
2008-03-13,,,,
2008-03-14,,,,
2008-03-15,,,,
2008-03-16,,,,
2008-03-17,,,,
2008-03-18,,,,
2008-03-19,,,,
2008-03-20,,,,
2008-03-21,,,,
2008-03-22,,,,
2008-03-23,,,,
2008-03-24,,,,
2008-03-25,,,,
2008-03-26,,,,
2008-03-27,,,,
2008-03-28,,,,
2008-03-29,,,,
2008-03-30,,,,
2008-03-31,,,58.67991262,
2008-04-01,,,49.49735704,
2008-04-02,,,51.95970821,
2008-04-03,,,79.85958388,
2008-04-04,,,84.84534246,
2008-04-05,,,88.66096708,
2008-04-06,,,72.98127883,
2008-04-07,,,71.71957963,
2008-04-08,,,78.86243783,
2008-04-09,,,118.99267579,
2008-04-10,,,130.75498992,
2008-04-11,,,87.99959613,
2008-04-12,,,85.27269267,
2008-04-13,,,94.145294,
2008-04-14,,,86.67684325,
2008-04-15,,,59.50956771,
2008-04-16,,,60.91371938,
2008-04-17,,,80.33781525,
2008-04-18,,,85.54741929,
2008-04-19,,,127.10216008,
2008-04-20,,,52.38706054,
2008-04-21,,,87.68417208,
2008-04-22,,,120.66138113,
2008-04-23,,,131.57916383,
2008-04-24,,,109.60114317,
2008-04-25,,,108.63451708,
2008-04-26,,,79.23891179,
2008-04-27,,,53.59788625,
2008-04-28,,,87.7655725,
2008-04-29,,,66.62189942,
2008-04-30,,,103.54701063,
2008-05-01,,,47.42165471,
2008-05-02,,,54.45258729,
2008-05-03,,,56.30443879,
2008-05-04,,,39.81074792,
2008-05-05,,,43.50427604,
2008-05-06,,,50.78958392,
2008-05-07,,,95.14245271,
2008-05-08,,,74.2328065,
2008-05-09,,,71.01750463,
2008-05-10,,,115.68579792,
2008-05-11,,,52.173386,
2008-05-12,,,48.49003058,
2008-05-13,,,48.0728565,
2008-05-14,,,67.01872429,
2008-05-15,,,60.52706813,
2008-05-16,,,58.78714171,
2008-05-17,,,57.52544033,
2008-05-18,,,41.57102367,
2008-05-19,,,70.64102892,
2008-05-20,,,52.64143475,
2008-05-21,,,76.59341079,
2008-05-22,,,125.15873358,
2008-05-23,,,71.38380479,
2008-05-24,,,68.08710029,
2008-05-25,,,33.31909046,
2008-05-26,,,48.11355538,
2008-05-27,,,57.65771488,
2008-05-28,,,42.13065,
2008-05-29,,,71.52625267,
2008-05-30,,,79.54416121,
2008-05-31,,,131.95564029,
2008-06-01,,,75.47415433,
2008-06-02,,,79.00488,
2008-06-03,,,110.29304058,
2008-06-04,,,103.70981179,
2008-06-05,,,62.37891925,
2008-06-06,,,79.5034625,
2008-06-07,,,60.68986858,
2008-06-08,,,38.83394642,
2008-06-09,,,62.20594513,
2008-06-10,,,66.48962325,
2008-06-11,,,77.1632105,
2008-06-12,,,81.93528996,
2008-06-13,,,70.14245321,
2008-06-14,,,66.86609938,
2008-06-15,,,53.32316154,
2008-06-16,,,53.84208621,
2008-06-17,,,57.51526525,
2008-06-18,,,97.75742996,
2008-06-19,,,56.53846392,
2008-06-20,,,62.09401892,
2008-06-21,,,99.3447325,
2008-06-22,,,47.14692958,
2008-06-23,,,57.61701317,
2008-06-24,,,45.48840321,
2008-06-25,,,52.36670983,
2008-06-26,,,71.86203125,
2008-06-27,,,70.66137971,
2008-06-28,,,60.1302435,
2008-06-29,,,45.22385325,
2008-06-30,,,42.65975,
2008-07-01,,,58.72609188,
2008-07-02,,,68.55515175,
2008-07-03,,,56.36549004,
2008-07-04,,,52.99756029,
2008-07-05,,,50.29100813,
2008-07-06,,,45.79365367,
2008-07-07,,,58.736267,
2008-07-08,,,107.89174175,
2008-07-09,,,55.50061354,
2008-07-10,,,55.92796308,
2008-07-11,,,82.80016717,
2008-07-12,,,49.84330867,
2008-07-13,,,38.55922108,
2008-07-14,,,53.99471167,
2008-07-15,,,62.47049533,
2008-07-16,,,53.50631133,
2008-07-17,,,52.905985,
2008-07-18,,,67.35450058,
2008-07-19,,,59.79446713,
2008-07-20,,,46.51607883,
2008-07-21,,,86.30036842,
2008-07-22,,,71.06837896,
2008-07-23,,,68.32112692,
2008-07-24,,,111.20879588,
2008-07-25,,,56.65038971,
2008-07-26,,,51.81725913,
2008-07-27,,,39.24094742,
2008-07-28,,,72.69814926,
2008-07-29,,,73.9580815,
2008-07-30,,,139.83109783,
2008-07-31,,,44.05372758,
2008-08-01,,,47.77778071,
2008-08-02,,,44.89825179,
2008-08-03,,,31.11111283,
2008-08-04,,,44.46072796,
2008-08-05,,,79.67643717,
2008-08-06,,,89.53602208,
2008-08-07,,,53.852264,
2008-08-08,,,43.71795046,
2008-08-09,,,53.18071046,
2008-08-10,,,40.53317308,
2008-08-11,,,33.09524025,
2008-08-12,,,55.948314,
2008-08-13,,,60.35409217,
2008-08-14,,,49.91453263,
2008-08-15,,,54.07611083,
2008-08-16,,,45.81400396,
2008-08-17,,,47.8490055,
2008-08-18,,,40.92999858,
2008-08-19,,,55.40903779,
2008-08-20,,,52.37688533,
2008-08-21,,,56.18233846,
2008-08-22,,,62.23646988,
2008-08-23,,,48.80545629,
2008-08-24,,,40.004073,
2008-08-25,,,51.06430746,
2008-08-26,,,134.19414258,
2008-08-27,,,,
2008-08-28,,,,
2008-08-29,,,,
2008-08-30,,,,
2008-08-31,,,,
2008-09-01,,,,
2008-09-02,,,,
2008-09-03,,,,
2008-09-04,,,,
2008-09-05,,,,
2008-09-06,,,,
2008-09-07,,,,
2008-09-08,,,,
2008-09-09,,,,
2008-09-10,,,,
2008-09-11,,,,
2008-09-12,,,,
2008-09-13,,,,
2008-09-14,,,,
2008-09-15,,,,
2008-09-16,,,,
2008-09-17,,,,
2008-09-18,,,,
2008-09-19,,,,
2008-09-20,,,,
2008-09-21,,,,
2008-09-22,,,,
2008-09-23,,,,
2008-09-24,,,,
2008-09-25,,,,
2008-09-26,,,,
2008-09-27,,,,
2008-09-28,,,,
2008-09-29,,,,
2008-09-30,,,,
2008-10-01,,,,
2008-10-02,,,,
2008-10-03,,,,
2008-10-04,,,,
2008-10-05,,,,
2008-10-06,,,,
2008-10-07,,,,
2008-10-08,,,,
2008-10-09,,,,
2008-10-10,,,,
2008-10-11,,,,
2008-10-12,,,,
2008-10-13,,,,
2008-10-14,,,,
2008-10-15,,,,
2008-10-16,,,,
2008-10-17,,,,
2008-10-18,,,,
