Fecha,DViento,HAire10,O3,P,PLiquida,RGlobal,TAire10,TMPR_AIR_10CM,VViento
2012-09-12,,,29.35081966,,,120.6,,,
2012-09-13,,,37.5819672,,,174.55,,,
2012-09-14,,,53.46721309,,,294.15833333,,,
2012-09-15,,,42.03278687,,,271.93333333,,,
2012-09-16,,,37.8114754,,,230.20416667,,,
2012-09-17,,,35.63934425,,,150.25416667,,,
2012-09-18,,,35.95081966,,,208.5125,,,
2012-09-19,,,50.10655736,,,219.55416667,,,
2012-09-20,,,33.00819671,,,133.58333333,,,
2012-09-21,,,58.77049178,,,221.95833333,,,
2012-09-22,,,49.87704916,,,168.36666667,,,
2012-09-23,,,54.352459,,,183.39583333,,,
2012-09-24,,,22.09016393,,,84.13333333,,,
2012-09-25,,,32.70491802,,,124.54583333,,,
2012-09-26,,,31.34426228,,,190.32083333,,,
2012-09-27,,,45.51639343,,,181.47916667,,,
2012-09-28,,,32.40163933,,,165.32083333,,,
2012-09-29,,,40.82786884,,,164.175,,,
2012-09-30,,,47.28688523,,,242.95416667,,,
2012-10-01,,,39.59016392,,,,,,
2012-10-02,,,38.60655736,,,,,,
2012-10-03,,,34.51564827,,,,,,
2012-10-04,,,37.86885244,,,,,,
2012-10-05,,,34.01639343,,,,,,
2012-10-06,,,29.67213114,,,,,,
2012-10-07,,,31.80327868,,,,,,
2012-10-08,,,19.34426229,,,,,,
2012-10-09,,,32.04918032,,,,,,
2012-10-10,,,34.4262295,,,,,,
2012-10-11,,,37.54098359,,,,,,
2012-10-12,,,35.65573769,,,,,,
2012-10-13,,,45.40983605,,,,,,
2012-10-14,,,29.91803278,,,,,,
2012-10-15,,,27.62295081,,,,,,
2012-10-16,,,13.85245901,,,,,,
2012-10-17,,,22.29508196,,,,,,
2012-10-18,,,13.11475409,,,,,,
2012-10-19,,,22.70491802,,,,,,
2012-10-20,,,31.80327868,,,,,,
2012-10-21,,,29.59016392,,,,,,
2012-10-22,,,23.17890234,,,,,,
2012-10-23,,,21.55737704,,,,,,
2012-10-24,,,15.57377049,,,,,,
2012-10-25,,,30.40983605,,,,,,
2012-10-26,,,29.59016392,,,,,,
2012-10-27,,,30.24590163,,,,,,
2012-10-28,,,40.24590162,,,,,,
2012-10-29,,,34.91803277,,,,,,
2012-10-30,,,26.80327868,,,,,,
2012-10-31,,,32.13114753,,,,,,
2012-11-01,,,36.88524589,,,,,,
2012-11-02,,,11.39344262,,,,,,
2012-11-03,,,35.32786884,,,,,,
2012-11-04,,,32.95081966,,,,,,
2012-11-05,,,28.11475409,,,,,,
2012-11-06,,,28.27868851,,,,,,
2012-11-07,,,25.81967212,,,,,,
2012-11-08,,,24.01639343,,,,,,
