Fecha,CO,DViento,HAire10,HAire2,O3,P,PLiquida,PM10,PM2.5,RGlobal,TAire10,TAire2,VViento
2012-05-18,,,,,,,,,,,,,
2012-05-19,,,,,,,,,,,,,
2012-05-20,,,,,,,,,,,,,
2012-05-21,,,,,,,,,,,,,
2012-05-22,,,,,,,,,,,,,
2012-05-23,,,,,,,,,,,,,
2012-05-24,,,,,,,,,,,,,
2012-05-25,,,,,,,,,,,,,
2012-05-26,,,,,,,,,,,,,
2012-05-27,,,,,,,,,,,,,
2012-05-28,,,,,,,,,,,,,
2012-05-29,,,,,,,,,,,,,
2012-05-30,,,,,,,,,,,,,
2012-05-31,,,,,,,,,,,,,
2012-06-01,,,,,,,,,,,,,
2012-06-02,,,,,,,,,,,,,
2012-06-03,,,,,,,,,,,,,
2012-06-04,,,,,,,,35.90909091,,,,,
2012-06-05,,,,,,,,50.5,,,,,
2012-06-06,,,,,,,,55.125,,,,,
2012-06-07,,,,,,,,54.58333333,,334.86666667,,,
2012-06-08,,,,,,,,51.79166667,,235.74166667,,,
2012-06-09,,,,,,,,37.20833333,,233.07083333,,,
2012-06-10,,,,,,,,31.375,,120.65416667,,,
2012-06-11,,,,,,,,33.91666667,,198.94583333,,,
2012-06-12,,,,,,,,57.79166667,,219.9125,,,
2012-06-13,,,,,,,,51.66666667,,,,,
2012-06-14,,,,,,,,,,,,,
2012-06-15,,,,,,,,,,,,,
2012-06-16,,,,,,,,,,,,,
2012-06-17,,,,,,,,,,,,,
2012-06-18,,,,,,,,,,,,,
2012-06-19,,,,,,,,35.61538462,,,,,
2012-06-20,,,,,,,,39.45833333,,,,,
2012-06-21,,,,,,,,39.27272727,,,,,
2012-06-22,,,,,,,,40.25,,,,,
2012-06-23,,,,,,,,34.20833333,,,,,
2012-06-24,,,,,,,,41.79166667,,,,,
2012-06-25,,,,,,,,43.04347826,,,,,
2012-06-26,,,,,,,,45.375,,,,,
2012-06-27,,,,,,,,37.54545455,,,,,
2012-06-28,,,,,,,,36.75,,,,,
2012-06-29,,,,,,,,45.625,,,,,
2012-06-30,,,,,,,,41.625,,,,,
2012-07-01,,,,,32.33071987,,,21.875,,,,,
2012-07-02,,,,,33.87027796,,,25.58333333,,,,,
2012-07-03,,,,,38.91660726,,,37.125,,,,,
2012-07-04,,,,,39.85744831,,,42.45833333,,,,,
2012-07-05,,,,,37.63364218,,,37.45833333,,,,,
2012-07-06,,,,58.26666667,37.03492515,,,38.3,20.78571429,,,22.36,
2012-07-07,,,,62.49583333,38.66001424,,,39.2,21.42857143,186.05833333,,20.65,
2012-07-08,,,,55.22083333,35.23877404,,,,14.625,202.625,,21.4125,
2012-07-09,,,,57.19166667,43.63636362,,,,20.39130435,209.83333333,,21.36666667,
2012-07-10,,,,61.4125,40.88382037,,,,22.79166667,168.75,,21.0375,
2012-07-11,,,,79.41666667,33.44262294,,,,28.75,190.0125,,18.50833333,
2012-07-12,,,,77.28333333,35.66642907,,,43.05882353,22.33333333,209.97083333,,18.07083333,
2012-07-13,,,,82.5875,22.15253028,,,,28.625,,,16.57916667,
2012-07-14,,,,71.5625,34.468995,,,,28.33333333,,,18.95416667,
2012-07-15,,,,66.71666667,36.1796151,,,,19.25,,,19.92083333,
2012-07-16,,,,62.2125,43.1076265,,,35.07692308,23.25,,,20.30833333,
2012-07-17,,,,70.9125,31.90306485,,,39.73913043,27.73913043,,,19.96666667,
2012-07-18,,,,60.62083333,40.54169635,,,29.9047619,21.85714286,,,21.37083333,
2012-07-19,,,,60.40833333,46.35780469,,,34.08333333,19.79166667,,,21.49166667,
2012-07-20,,,,64.75,36.86386314,,,31.77272727,21.0,,,20.2875,
2012-07-21,,,,57.59166667,43.8251366,,,31.91304348,20.26086957,,,20.6,
2012-07-22,,,,54.77916667,,,,25.66666667,18.66666667,,,21.19166667,
2012-07-23,,,,54.0375,,,,32.1,20.3,,,20.93333333,
2012-07-24,,,,61.11666667,12.78688524,,,,32.6,,,20.5875,
2012-07-25,,,,54.00833333,,,,,,,,20.42083333,
2012-07-26,,,,54.29583333,,,,,,,,20.79166667,
2012-07-27,,,,55.77083333,,,,,,,,21.275,
2012-07-28,,,,60.58333333,,,,,,,,21.175,
2012-07-29,,,,61.48333333,,,,,,,,21.23333333,
2012-07-30,,,,74.9875,,,,,,,,18.7375,
2012-07-31,,,,74.14166667,,,,,,,,19.10833333,
2012-08-01,,,,66.45416667,38.87384175,,,40.16666667,24.72727273,,,20.18333333,
