Fecha,PM2.5
2019-01-01,25.2125
2019-01-02,9.87083333
2019-01-03,9.64166667
2019-01-04,12.25416667
2019-01-05,19.04583333
2019-01-06,21.54583333
2019-01-07,16.45
2019-01-08,16.2
2019-01-09,9.83333333
2019-01-10,12.8125
2019-01-11,15.54583333
2019-01-12,13.7375
2019-01-13,12.30833333
2019-01-14,15.95833333
2019-01-15,14.4
2019-01-16,16.14166667
2019-01-17,15.34166667
2019-01-18,17.17916667
2019-01-19,16.7875
2019-01-20,15.2125
2019-01-21,11.37142857
2019-01-22,13.07916667
2019-01-23,13.5
2019-01-24,15.8826087
2019-01-25,15.27083333
2019-01-26,16.6
2019-01-27,20.45833333
2019-01-28,17.89166667
2019-01-29,15.56666667
2019-01-30,17.92083333
2019-01-31,19.31666667
2019-02-01,21.75833333
2019-02-02,20.775
2019-02-03,17.2
2019-02-04,23.97083333
2019-02-05,26.47916667
2019-02-06,25.355
2019-02-07,31.87083333
2019-02-08,33.12857143
2019-02-09,27.42083333
2019-02-10,26.42083333
2019-02-11,24.13333333
2019-02-12,31.86923077
2019-02-13,26.57916667
2019-02-14,21.4
2019-02-15,24.67916667
2019-02-16,29.90416667
2019-02-17,27.20416667
2019-02-18,25.47916667
2019-02-19,23.8625
2019-02-20,14.85416667
2019-02-21,19.29166667
2019-02-22,18.16363636
2019-02-23,18.8625
2019-02-24,27.05833333
2019-02-25,27.29166667
2019-02-26,38.15416667
2019-02-27,33.49583333
2019-02-28,25.74166667
2019-03-01,31.02916667
2019-03-02,23.92083333
2019-03-03,32.325
2019-03-04,28.15416667
2019-03-05,35.68333333
2019-03-06,33.2875
2019-03-07,34.39583333
2019-03-08,33.10416667
2019-03-09,24.17083333
2019-03-10,18.29583333
2019-03-11,16.39
2019-03-12,20.02083333
2019-03-13,25.025
2019-03-14,32.2375
2019-03-15,41.30833333
2019-03-16,49.82083333
2019-03-17,45.1125
2019-03-18,36.775
2019-03-19,19.09166667
2019-03-20,18.8875
2019-03-21,20.13913043
2019-03-22,25.32916667
2019-03-23,24.04166667
2019-03-24,23.51666667
2019-03-25,18.91666667
2019-03-26,29.62916667
2019-03-27,37.87916667
2019-03-28,37.3
2019-03-29,21.69583333
2019-03-30,20.75
2019-03-31,19.8
2019-04-01,13.725
2019-04-02,11.43913043
2019-04-03,15.50833333
2019-04-04,17.31666667
2019-04-05,17.13043478
2019-04-06,16.45
2019-04-07,28.5625
2019-04-08,25.885
2019-04-09,29.42916667
2019-04-10,29.175
2019-04-11,17.2875
2019-04-12,19.26666667
2019-04-13,24.92
2019-04-14,17.43043478
2019-04-15,14.50833333
2019-04-16,16.9
2019-04-17,21.8375
2019-04-18,8.15217391
2019-04-19,10.23913043
2019-04-20,10.12727273
2019-04-21,12.5875
2019-04-22,12.17083333
2019-04-23,14.5173913
2019-04-24,
2019-04-25,19.20833333
2019-04-26,11.78333333
2019-04-27,12.625
2019-04-28,9.89583333
2019-04-29,10.4875
2019-04-30,13.15416667
2019-05-01,13.46666667
2019-05-02,19.22083333
2019-05-03,20.54166667
2019-05-04,22.10833333
2019-05-05,15.65416667
2019-05-06,11.06956522
2019-05-07,14.12083333
2019-05-08,15.77083333
2019-05-09,19.45416667
