Fecha,DViento,HAire10,P,PLiquida,PM2.5,VViento
2019-04-22,166.0,93.72593209,13.63318303,0.37958333,5.3952381,1.71958333
2019-04-23,201.8125,90.18508036,14.33380655,0.15666667,9.02,1.558125
2019-04-24,73.42857143,99.07226935,13.64804167,0.12958333,3.975,3.10571429
2019-04-25,96.04166667,95.73376389,14.079,0.05083333,7.32608696,2.62375
2019-04-26,100.29166667,92.29172222,14.67502778,0.5075,5.03333333,2.71916667
2019-04-27,77.54166667,92.61419445,14.52775,0.00125,4.55416667,2.70291667
2019-04-28,82.75,87.93973611,15.06138195,0.0,3.41363636,2.99916667
2019-04-29,75.54166667,81.44774394,15.11507639,0.0,4.47391304,3.00458333
2019-04-30,81.75,75.90031087,15.13329167,0.0,6.6826087,3.24541667
2019-05-01,73.875,65.94974563,15.26313194,0.0,9.12083333,4.02291667
2019-05-02,79.125,75.61378888,14.75615278,0.0,15.03636364,4.05333333
2019-05-03,89.91666667,83.65459988,15.05579861,0.0,15.36666667,3.06
2019-05-04,83.0,86.74601708,14.98807639,0.0,15.15416667,2.91916667
2019-05-05,79.375,76.84826948,16.21008333,0.0,10.28333333,3.83666667
2019-05-06,88.83333333,76.74103699,16.42008451,0.0,6.70869565,2.89041667
2019-05-07,79.125,80.11593518,15.89095833,0.00541667,7.89545455,3.24083333
2019-05-08,97.29166667,93.78759156,13.57367361,0.49958333,4.34166667,1.64166667
2019-05-09,126.95833333,93.82492236,14.05984722,1.30916667,10.51,2.01958333
2019-05-10,233.58333333,93.57590052,13.9329375,0.13416667,3.35789474,3.18333333
2019-05-11,155.70833333,95.99912549,13.85251389,0.98666667,7.68,1.66041667
2019-05-12,82.25,85.3399219,15.034625,0.09458333,,3.16
2019-05-13,124.5,93.49750265,14.22765972,0.58041667,,2.62625
2019-05-14,91.375,82.85218056,14.85682639,0.365,4.87777778,3.20333333
2019-05-15,112.16666667,88.93255556,14.56279861,0.04916667,4.62380952,2.22041667
2019-05-16,90.375,90.05235862,14.70019444,0.0775,6.57894737,2.545
2019-05-17,90.45833333,94.00057435,13.68672222,0.205,6.45238095,2.15625
2019-05-18,201.125,95.64990393,13.72059028,0.14333333,8.69583333,1.42041667
2019-05-19,154.95833333,96.19607246,13.4451875,1.16708333,6.88181818,1.24333333
2019-05-20,122.75,88.92452495,14.60558475,0.495,3.22857143,2.34291667
2019-05-21,99.20833333,91.01970358,14.54778613,0.4475,5.79565217,2.28375
2019-05-22,147.08333333,91.66842361,14.49457639,0.81125,4.7,2.70125
2019-05-23,120.125,95.90027778,13.32856944,0.49416667,6.8952381,1.9875
2019-05-24,109.5,88.661375,14.60394444,0.52208333,4.44444444,2.7425
2019-05-25,131.875,95.02277922,13.29011111,0.63541667,9.545,1.86625
2019-05-26,102.41666667,87.67245139,14.94875695,0.09916667,6.15,2.37208333
2019-05-27,102.625,88.7173125,14.38564583,0.50458333,6.29,2.11166667
2019-05-28,153.875,96.06545176,13.42133333,0.85291667,5.52608696,1.56666667
2019-05-29,87.79166667,90.64537725,14.52486806,0.23666667,4.25,2.72625
2019-05-30,139.45833333,98.37950455,13.01928472,0.25333333,12.56190476,1.77541667
2019-05-31,180.66666667,95.42165849,13.61735417,0.32458333,13.4173913,1.58458333
2019-06-01,155.58333333,95.80036805,12.91386806,0.51375,7.3952381,1.65
2019-06-02,135.875,94.58854348,13.83303472,0.00541667,4.34285714,2.09916667
2019-06-03,88.25,89.58867361,14.90236111,0.00416667,5.225,3.33291667
2019-06-04,81.91666667,84.56413889,15.44345139,0.11666667,3.36190476,3.88375
2019-06-05,94.625,79.85763309,15.34940278,0.02125,3.875,2.94625
2019-06-06,114.95652174,87.88395765,14.64494216,0.37833333,6.53181818,2.07130435
2019-06-07,118.81818182,93.9464697,12.45716667,2.02041667,6.85,1.97454545
2019-06-08,,,,0.0,3.925,
2019-06-09,,,,0.0,3.8125,
2019-06-10,,,,0.0,4.88181818,
2019-06-11,,,,0.0,4.56363636,
2019-06-12,75.11764706,83.35000132,15.46871296,0.0,4.89565217,2.64176471
2019-06-13,81.16666667,94.14631944,14.1974375,0.19875,4.62083333,2.66416667
2019-06-14,91.04166667,90.01096528,14.70418056,0.04375,4.22272727,3.15791667
2019-06-15,74.5,90.4813125,14.91052778,0.17583333,6.40909091,2.59625
2019-06-16,85.5,86.19725328,14.63054861,0.21166667,3.73181818,3.63583333
2019-06-17,77.85,83.68977048,14.75175094,0.0,3.21538462,3.5935
2019-06-18,86.125,79.53797222,15.7235625,0.0,4.07368421,3.50083333
2019-06-19,79.5,81.62029714,14.85557639,0.0,4.84782609,3.38291667
2019-06-20,83.33333333,81.55856313,14.83447917,0.0,4.92380952,3.22291667
2019-06-21,75.95833333,79.67220542,14.89726389,0.0,4.77,3.76416667
2019-06-22,69.625,80.83530631,14.75672917,0.0,7.76190476,4.31
2019-06-23,81.25,85.22866171,14.44641667,0.00958333,4.88695652,2.59291667
2019-06-24,94.04347826,81.82388889,15.11725494,0.03958333,4.77058824,2.63086957
2019-06-25,106.25,88.21289116,14.36631448,0.06166667,6.51818182,2.27333333
2019-06-26,76.41666667,74.62602914,15.19884722,0.0,8.00869565,4.52583333
2019-06-27,91.75,86.26758011,15.12035417,0.00666667,8.84166667,3.71416667
