Fecha,PM2.5
2019-01-01,22.0826087
2019-01-02,11.07272727
2019-01-03,10.89565217
2019-01-04,14.14090909
2019-01-05,23.82916667
2019-01-06,21.04583333
2019-01-07,17.76666667
2019-01-08,19.4
2019-01-09,10.725
2019-01-10,19.09583333
2019-01-11,14.20833333
2019-01-12,15.325
2019-01-13,15.21363636
2019-01-14,20.89565217
2019-01-15,22.16666667
2019-01-16,19.21666667
2019-01-17,21.7375
2019-01-18,23.0875
2019-01-19,19.515
2019-01-20,16.17083333
2019-01-21,15.22083333
2019-01-22,16.07916667
2019-01-23,14.575
2019-01-24,15.52083333
2019-01-25,16.22083333
2019-01-26,18.1625
2019-01-27,20.47083333
2019-01-28,22.51666667
2019-01-29,20.35833333
2019-01-30,19.95416667
2019-01-31,24.5875
2019-02-01,24.625
2019-02-02,
2019-02-03,19.2
2019-02-04,26.575
2019-02-05,31.05416667
2019-02-06,30.50833333
2019-02-07,37.05909091
2019-02-08,36.98333333
2019-02-09,31.42083333
2019-02-10,29.03333333
2019-02-11,30.47083333
2019-02-12,41.54583333
2019-02-13,33.36666667
2019-02-14,27.2375
2019-02-15,29.73333333
2019-02-16,34.0125
2019-02-17,31.25416667
2019-02-18,28.6125
2019-02-19,32.8125
2019-02-20,19.39130435
2019-02-21,22.74583333
2019-02-22,17.4875
2019-02-23,18.34583333
2019-02-24,22.42631579
2019-02-25,28.325
2019-02-26,45.04583333
2019-02-27,34.49583333
2019-02-28,27.55
2019-03-01,27.63333333
2019-03-02,21.2125
2019-03-03,23.39166667
2019-03-04,26.1
2019-03-05,43.49166667
2019-03-06,35.65833333
2019-03-07,37.3625
2019-03-08,32.94166667
2019-03-09,27.42083333
2019-03-10,20.2625
2019-03-11,21.65
2019-03-12,20.3875
2019-03-13,25.47916667
2019-03-14,42.18333333
2019-03-15,42.22083333
2019-03-16,52.55833333
2019-03-17,45.8625
2019-03-18,34.01666667
2019-03-19,20.38333333
2019-03-20,15.38695652
2019-03-21,20.36363636
2019-03-22,26.64583333
2019-03-23,30.90416667
2019-03-24,25.78333333
2019-03-25,19.09166667
2019-03-26,38.12916667
2019-03-27,44.84166667
2019-03-28,43.375
2019-03-29,23.775
2019-03-30,25.84583333
2019-03-31,24.70909091
2019-04-01,15.9875
2019-04-02,15.2875
2019-04-03,21.36666667
2019-04-04,20.9952381
2019-04-05,20.3625
2019-04-06,18.0375
2019-04-07,29.12272727
2019-04-08,33.01666667
2019-04-09,30.325
2019-04-10,23.57083333
2019-04-11,21.31363636
2019-04-12,22.20833333
2019-04-13,27.46666667
2019-04-14,17.22916667
2019-04-15,16.325
2019-04-16,23.32083333
2019-04-17,21.57916667
2019-04-18,8.90869565
2019-04-19,7.80416667
2019-04-20,12.25416667
2019-04-21,11.75
2019-04-22,11.24166667
2019-04-23,12.67083333
2019-04-24,17.24166667
2019-04-25,20.08571429
2019-04-26,16.06666667
2019-04-27,21.25416667
2019-04-28,12.55
2019-04-29,17.07083333
2019-04-30,19.85416667
2019-05-01,17.58333333
2019-05-02,23.7
2019-05-03,23.62916667
2019-05-04,22.57916667
2019-05-05,16.5125
2019-05-06,17.70833333
2019-05-07,17.65
2019-05-08,13.79166667
2019-05-09,20.8875
2019-05-10,
2019-05-11,17.08333333
2019-05-12,8.39565217
2019-05-13,16.24761905
2019-05-14,10.46956522
2019-05-15,16.07916667
2019-05-16,20.66666667
2019-05-17,16.19583333
2019-05-18,11.50833333
2019-05-19,10.70869565
2019-05-20,13.2625
2019-05-21,18.86666667
2019-05-22,15.62083333
2019-05-23,15.8875
2019-05-24,17.23333333
2019-05-25,17.05833333
2019-05-26,6.92083333
2019-05-27,13.85416667
2019-05-28,12.74090909
2019-05-29,16.76956522
2019-05-30,14.9
2019-05-31,19.0826087
2019-06-01,10.54166667
2019-06-02,11.44782609
2019-06-03,10.2125
2019-06-04,13.06956522
2019-06-05,14.0
2019-06-06,15.38333333
2019-06-07,12.16956522
2019-06-08,13.075
2019-06-09,9.45
2019-06-10,14.9
2019-06-11,13.14166667
2019-06-12,13.075
2019-06-13,16.30833333
2019-06-14,15.74583333
2019-06-15,14.825
2019-06-16,8.32916667
2019-06-17,9.24782609
2019-06-18,7.68095238
2019-06-19,12.29130435
2019-06-20,11.4875
2019-06-21,10.255
2019-06-22,9.69583333
2019-06-23,9.87916667
2019-06-24,10.23333333
2019-06-25,18.96666667
2019-06-26,13.45
2019-06-27,17.4625
2019-06-28,15.85217391
2019-06-29,10.38333333
2019-06-30,8.73478261
2019-07-01,10.1
2019-07-02,14.18333333
2019-07-03,13.17083333
2019-07-04,18.32083333
2019-07-05,14.27083333
2019-07-06,10.56666667
2019-07-07,6.94166667
2019-07-08,12.125
2019-07-09,12.95
2019-07-10,11.64166667
2019-07-11,14.80833333
2019-07-12,12.31304348
2019-07-13,10.69166667
2019-07-14,7.37916667
2019-07-15,13.52916667
2019-07-16,11.61428571
2019-07-17,12.77916667
2019-07-18,9.41304348
2019-07-19,10.64347826
2019-07-20,7.81304348
2019-07-21,7.1125
2019-07-22,16.4625
2019-07-23,10.07826087
2019-07-24,14.525
2019-07-25,14.08333333
2019-07-26,12.33333333
2019-07-27,13.14583333
2019-07-28,11.4375
2019-07-29,14.74583333
2019-07-30,13.5625
2019-07-31,9.97083333
2019-08-01,17.5625
2019-08-02,14.7375
2019-08-03,15.03333333
2019-08-04,12.71304348
2019-08-05,16.25
2019-08-06,28.41666667
2019-08-07,24.95833333
2019-08-08,17.02083333
2019-08-09,13.39583333
2019-08-10,13.1125
2019-08-11,10.55833333
2019-08-12,15.10833333
2019-08-13,15.92916667
2019-08-14,15.34166667
2019-08-15,23.925
2019-08-16,
2019-08-17,29.27916667
2019-08-18,
2019-08-19,14.96666667
2019-08-20,13.09166667
2019-08-21,14.95
2019-08-22,20.62380952
2019-08-23,19.585
2019-08-24,13.9125
2019-08-25,11.60434783
2019-08-26,14.40833333
2019-08-27,13.14166667
2019-08-28,20.07916667
2019-08-29,15.72173913
2019-08-30,18.775
2019-08-31,17.12916667
2019-09-01,11.775
2019-09-02,16.24545455
2019-09-03,13.27368421
2019-09-04,15.67916667
2019-09-05,11.45
2019-09-06,
2019-09-07,
2019-09-08,
2019-09-09,
2019-09-10,14.475
2019-09-11,14.9875
2019-09-12,16.38333333
2019-09-13,14.0875
2019-09-14,11.84583333
2019-09-15,10.8375
2019-09-16,12.18571429
2019-09-17,15.81666667
2019-09-18,12.50416667
2019-09-19,7.86956522
2019-09-20,15.09583333
2019-09-21,14.38333333
2019-09-22,13.625
2019-09-23,9.24166667
2019-09-24,19.14166667
2019-09-25,19.11904762
2019-09-26,10.33181818
2019-09-27,18.31666667
2019-09-28,14.06666667
2019-09-29,11.66666667
2019-09-30,13.38333333
2019-10-01,8.62083333
2019-10-02,16.57083333
2019-10-03,14.7375
2019-10-04,15.45416667
2019-10-05,13.02083333
2019-10-06,10.25416667
2019-10-07,9.56956522
2019-10-08,13.93333333
2019-10-09,17.52916667
2019-10-10,19.70833333
2019-10-11,19.46666667
2019-10-12,16.15833333
2019-10-13,12.67916667
2019-10-14,11.10833333
2019-10-15,12.3
2019-10-16,16.02777778
2019-10-17,16.02608696
2019-10-18,19.12083333
2019-10-19,12.72916667
2019-10-20,12.35833333
2019-10-21,13.61363636
2019-10-22,16.97916667
2019-10-23,9.84166667
2019-10-24,15.05
2019-10-25,21.51666667
2019-10-26,12.34583333
2019-10-27,10.14166667
2019-10-28,13.54583333
2019-10-29,12.8125
2019-10-30,13.24583333
2019-10-31,13.10952381
2019-11-01,16.29166667
2019-11-02,16.52083333
2019-11-03,13.40434783
2019-11-04,14.5047619
2019-11-05,20.73333333
2019-11-06,14.08333333
2019-11-07,16.89583333
2019-11-08,20.0
2019-11-09,12.91666667
2019-11-10,15.0625
2019-11-11,10.03333333
2019-11-12,10.96666667
2019-11-13,17.56956522
2019-11-14,22.35416667
2019-11-15,17.24583333
2019-11-16,13.22380952
2019-11-17,12.80434783
2019-11-18,12.21666667
2019-11-19,15.64347826
2019-11-20,21.59047619
2019-11-21,12.55416667
2019-11-22,21.13809524
2019-11-23,19.425
2019-11-24,14.04166667
2019-11-25,20.60416667
2019-11-26,15.83333333
2019-11-27,13.04166667
2019-11-28,13.59583333
2019-11-29,16.2625
2019-11-30,15.67083333
2019-12-01,15.08333333
2019-12-02,16.4
2019-12-03,20.95
2019-12-04,18.4
2019-12-05,14.55
2019-12-06,16.16363636
2019-12-07,19.25416667
2019-12-08,13.0125
2019-12-09,12.99583333
2019-12-10,18.35
2019-12-11,20.66666667
2019-12-12,15.33333333
2019-12-13,16.15833333
2019-12-14,15.52916667
2019-12-15,11.2625
2019-12-16,19.64166667
2019-12-17,22.33333333
2019-12-18,16.57916667
2019-12-19,14.47083333
2019-12-20,
2019-12-21,13.02916667
2019-12-22,14.54583333
2019-12-23,
2019-12-24,15.92083333
2019-12-25,18.85833333
2019-12-26,9.37083333
2019-12-27,18.59583333
2019-12-28,14.79166667
2019-12-29,13.59565217
2019-12-30,18.72083333
2019-12-31,9.95217391
2020-01-01,18.54545455
2020-01-02,10.69166667
2020-01-03,13.12083333
2020-01-04,13.2375
2020-01-05,12.6625
2020-01-06,13.6875
2020-01-07,13.3625
2020-01-08,12.09583333
2020-01-09,14.18333333
2020-01-10,15.1875
2020-01-11,12.11666667
2020-01-12,11.00416667
2020-01-13,16.02083333
2020-01-14,15.57083333
2020-01-15,23.55833333
2020-01-16,13.3173913
2020-01-17,9.57916667
2020-01-18,9.35416667
2020-01-19,9.65833333
2020-01-20,17.50833333
2020-01-21,18.45833333
2020-01-22,8.47727273
2020-01-23,14.89583333
2020-01-24,16.525
2020-01-25,11.16818182
2020-01-26,11.84166667
2020-01-27,15.47083333
2020-01-28,18.72083333
2020-01-29,17.72083333
2020-01-30,22.5
2020-01-31,26.03333333
2020-02-01,19.96666667
2020-02-02,13.82916667
2020-02-03,15.45
2020-02-04,17.26666667
2020-02-05,18.675
2020-02-06,21.40952381
2020-02-07,33.6625
2020-02-08,35.325
2020-02-09,31.63333333
2020-02-10,28.475
2020-02-11,27.5375
2020-02-12,27.80833333
2020-02-13,30.91666667
2020-02-14,32.08333333
2020-02-15,24.30416667
2020-02-16,17.2625
2020-02-17,17.96190476
2020-02-18,18.48181818
2020-02-19,21.23333333
2020-02-20,28.40833333
2020-02-21,33.32083333
2020-02-22,26.56666667
2020-02-23,22.45416667
2020-02-24,28.0375
2020-02-25,27.39166667
2020-02-26,26.8125
2020-02-27,34.9125
2020-02-28,30.43333333
2020-02-29,42.19583333
2020-03-01,31.07916667
2020-03-02,32.22083333
2020-03-03,27.5875
2020-03-04,38.97916667
2020-03-05,29.19583333
2020-03-06,53.04166667
2020-03-07,53.78333333
2020-03-08,47.2875
2020-03-09,46.59166667
2020-03-10,38.0
2020-03-11,40.62083333
2020-03-12,43.85833333
2020-03-13,38.52727273
2020-03-14,44.00416667
2020-03-15,40.5125
2020-03-16,41.48181818
2020-03-17,60.75833333
2020-03-18,58.77083333
2020-03-19,58.43333333
2020-03-20,45.925
2020-03-21,25.9125
2020-03-22,30.275
2020-03-23,40.50416667
2020-03-24,49.32916667
2020-03-25,46.32083333
2020-03-26,50.9125
2020-03-27,44.04166667
2020-03-28,39.3375
2020-03-29,45.45238095
2020-03-30,45.75416667
2020-03-31,22.51666667
2020-04-01,8.7625
2020-04-02,10.07916667
2020-04-03,16.975
2020-04-04,17.96666667
2020-04-05,13.625
2020-04-06,9.30416667
2020-04-07,7.925
2020-04-08,12.08333333
2020-04-09,9.44166667
2020-04-10,10.42083333
2020-04-11,6.17916667
2020-04-12,9.19583333
2020-04-13,9.775
2020-04-14,13.41904762
2020-04-15,16.52083333
2020-04-16,
2020-04-17,31.96086957
2020-04-18,30.00833333
2020-04-19,13.14583333
2020-04-20,14.5875
2020-04-21,12.5875
2020-04-22,14.4125
2020-04-23,10.18333333
2020-04-24,11.95833333
2020-04-25,16.1375
2020-04-26,14.71666667
2020-04-27,16.90416667
2020-04-28,13.92916667
2020-04-29,17.49583333
2020-04-30,
2020-05-01,14.15
2020-05-02,10.1625
2020-05-03,10.72083333
2020-05-04,11.07916667
2020-05-05,8.96666667
2020-05-06,9.1875
2020-05-07,9.75
2020-05-08,9.15
2020-05-09,7.57916667
2020-05-10,7.6625
2020-05-11,12.74761905
2020-05-12,15.25
2020-05-13,12.14583333
2020-05-14,15.33333333
2020-05-15,14.99583333
2020-05-16,12.05833333
2020-05-17,7.95217391
2020-05-18,7.675
2020-05-19,14.05833333
2020-05-20,14.17727273
2020-05-21,10.26666667
2020-05-22,15.54583333
2020-05-23,13.77083333
2020-05-24,10.87619048
2020-05-25,7.9625
2020-05-26,9.38333333
2020-05-27,10.61666667
2020-05-28,12.14166667
2020-05-29,14.99583333
2020-05-30,13.41666667
2020-05-31,9.55416667
2020-06-01,7.60833333
2020-06-02,14.47083333
2020-06-03,11.79583333
2020-06-04,9.56666667
2020-06-05,13.86666667
2020-06-06,16.0375
2020-06-07,6.25833333
2020-06-08,9.85416667
2020-06-09,14.20833333
2020-06-10,16.0
2020-06-11,16.3875
2020-06-12,12.50416667
2020-06-13,11.27083333
2020-06-14,6.31666667
2020-06-15,8.70833333
2020-06-16,9.24583333
2020-06-17,15.55714286
2020-06-18,14.4625
2020-06-19,16.05
2020-06-20,10.55
2020-06-21,4.91764706
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,25.05416667
2020-06-26,15.95833333
2020-06-27,17.9625
2020-06-28,8.50833333
2020-06-29,9.81304348
2020-06-30,14.20952381
2020-07-01,11.7
2020-07-02,11.27916667
2020-07-03,14.45833333
2020-07-04,13.2
2020-07-05,11.19166667
2020-07-06,15.05
2020-07-07,16.39166667
2020-07-08,9.43043478
2020-07-09,8.00434783
2020-07-10,14.9375
2020-07-11,11.63333333
2020-07-12,12.75416667
2020-07-13,8.60434783
2020-07-14,7.30416667
2020-07-15,
2020-07-16,13.02916667
2020-07-17,10.20833333
2020-07-18,8.34583333
2020-07-19,7.57916667
2020-07-20,11.15833333
2020-07-21,15.11666667
2020-07-22,14.20416667
2020-07-23,13.35416667
2020-07-24,9.3125
2020-07-25,10.225
2020-07-26,7.59583333
2020-07-27,11.29583333
2020-07-28,9.37083333
2020-07-29,9.7625
2020-07-30,11.69047619
2020-07-31,15.43636364
2020-08-01,12.03333333
2020-08-02,9.1625
2020-08-03,
2020-08-04,18.335
2020-08-05,20.4625
2020-08-06,27.0125
2020-08-07,15.59166667
2020-08-08,10.45
2020-08-09,11.9125
2020-08-10,19.83333333
2020-08-11,25.64166667
2020-08-12,9.425
2020-08-13,11.85416667
2020-08-14,11.83333333
2020-08-15,9.9
2020-08-16,10.28333333
2020-08-17,7.38695652
2020-08-18,14.45416667
2020-08-19,7.725
2020-08-20,10.75416667
2020-08-21,12.37083333
2020-08-22,12.7
2020-08-23,8.79166667
2020-08-24,13.88333333
2020-08-25,13.8625
2020-08-26,14.89583333
2020-08-27,11.3625
2020-08-28,11.45833333
2020-08-29,13.28333333
2020-08-30,6.96666667
2020-08-31,17.13333333
2020-09-01,15.825
2020-09-02,9.85
2020-09-03,16.87083333
2020-09-04,18.41666667
2020-09-05,9.9375
2020-09-06,7.775
2020-09-07,12.99565217
2020-09-08,10.97916667
2020-09-09,16.35833333
2020-09-10,16.22083333
2020-09-11,15.21666667
2020-09-12,14.3625
2020-09-13,10.25833333
2020-09-14,11.95
2020-09-15,17.5875
2020-09-16,11.61666667
2020-09-17,15.41904762
2020-09-18,20.0375
2020-09-19,17.7625
2020-09-20,14.17083333
2020-09-21,16.32916667
2020-09-22,15.54583333
2020-09-23,16.94583333
2020-09-24,10.5875
2020-09-25,12.83333333
2020-09-26,13.66666667
2020-09-27,10.2125
2020-09-28,13.2625
2020-09-29,15.0875
2020-09-30,12.97916667
2020-10-01,12.65652174
2020-10-02,15.13913043
2020-10-03,18.7375
2020-10-04,10.7125
2020-10-05,13.29545455
2020-10-06,15.77826087
2020-10-07,18.12083333
2020-10-08,17.23333333
2020-10-09,14.88181818
2020-10-10,11.1625
2020-10-11,12.54761905
2020-10-12,13.90833333
2020-10-13,10.57083333
2020-10-14,17.0
2020-10-15,17.94583333
2020-10-16,16.975
2020-10-17,16.64583333
2020-10-18,15.96086957
2020-10-19,12.4875
2020-10-20,13.14166667
2020-10-21,16.78333333
2020-10-22,14.41904762
2020-10-23,14.6625
2020-10-24,18.2125
2020-10-25,9.47391304
2020-10-26,16.33333333
2020-10-27,15.92916667
2020-10-28,12.38333333
2020-10-29,10.825
2020-10-30,10.6625
2020-10-31,10.7375
2020-11-01,5.99166667
2020-11-02,7.70416667
2020-11-03,12.30833333
2020-11-04,11.675
2020-11-05,10.53913043
2020-11-06,13.66
2020-11-07,15.36666667
2020-11-08,14.0125
2020-11-09,13.77083333
2020-11-10,15.2625
2020-11-11,17.87916667
2020-11-12,21.69166667
2020-11-13,9.7
2020-11-14,5.6875
2020-11-15,6.26086957
2020-11-16,12.825
2020-11-17,12.5125
2020-11-18,14.58333333
2020-11-19,12.11
2020-11-20,12.99166667
2020-11-21,7.52272727
2020-11-22,12.32916667
2020-11-23,13.1125
