Fecha,PM10
2008-01-01,51.12165591
2008-01-02,57.5457875
2008-01-03,57.37281417
2008-01-04,55.33869739
2008-01-05,64.35286875
2008-01-06,52.13268417
2008-01-07,58.16646667
2008-01-08,61.43264292
2008-01-09,43.1278
2008-01-10,59.69271542
2008-01-11,44.56247625
2008-01-12,61.36141833
2008-01-13,48.68335625
2008-01-14,80.7041075
2008-01-15,72.99145375
2008-01-16,64.62759333
2008-01-17,73.01667
2008-01-18,85.50671125
2008-01-19,70.88881765
2008-01-20,
2008-01-21,
2008-01-22,
2008-01-23,
2008-01-24,
2008-01-25,
2008-01-26,
2008-01-27,
2008-01-28,
2008-01-29,
2008-01-30,
2008-01-31,
2008-02-01,
2008-02-02,
2008-02-03,
2008-02-04,
2008-02-05,
2008-02-06,
2008-02-07,
2008-02-08,
2008-02-09,
2008-02-10,
2008-02-11,
2008-02-12,
2008-02-13,
2008-02-14,
2008-02-15,
2008-02-16,
2008-02-17,
2008-02-18,
2008-02-19,
2008-02-20,
2008-02-21,
2008-02-22,
2008-02-23,
2008-02-24,
2008-02-25,
2008-02-26,
2008-02-27,
2008-02-28,
2008-02-29,
2008-03-01,
2008-03-02,
2008-03-03,
2008-03-04,
2008-03-05,
2008-03-06,
2008-03-07,
2008-03-08,
2008-03-09,
2008-03-10,
2008-03-11,
2008-03-12,
2008-03-13,
2008-03-14,
2008-03-15,
2008-03-16,
2008-03-17,
2008-03-18,
2008-03-19,
2008-03-20,
2008-03-21,
2008-03-22,
2008-03-23,
2008-03-24,
2008-03-25,
2008-03-26,
2008-03-27,
2008-03-28,
2008-03-29,
2008-03-30,
2008-03-31,
2008-04-01,
2008-04-02,
2008-04-03,
2008-04-04,
2008-04-05,
2008-04-06,
2008-04-07,
2008-04-08,
2008-04-09,
2008-04-10,
2008-04-11,
2008-04-12,
2008-04-13,
2008-04-14,
2008-04-15,
2008-04-16,
2008-04-17,
2008-04-18,
2008-04-19,
2008-04-20,
2008-04-21,
2008-04-22,
2008-04-23,
2008-04-24,
2008-04-25,
2008-04-26,
2008-04-27,
2008-04-28,
2008-04-29,
2008-04-30,
2008-05-01,
2008-05-02,
2008-05-03,
2008-05-04,
2008-05-05,
2008-05-06,
2008-05-07,
2008-05-08,
2008-05-09,
2008-05-10,
2008-05-11,
2008-05-12,
2008-05-13,
2008-05-14,
2008-05-15,
2008-05-16,
2008-05-17,
2008-05-18,
2008-05-19,
2008-05-20,
2008-05-21,
2008-05-22,
2008-05-23,
2008-05-24,
2008-05-25,
2008-05-26,
2008-05-27,
2008-05-28,
2008-05-29,
2008-05-30,
2008-05-31,
2008-06-01,
2008-06-02,
2008-06-03,
2008-06-04,
2008-06-05,
2008-06-06,104.125
2008-06-07,51.625
2008-06-08,41.16666667
2008-06-09,77.69565217
2008-06-10,48.91666667
2008-06-11,74.61945625
2008-06-12,74.66237261
2008-06-13,82.61701125
2008-06-14,81.19251708
2008-06-15,43.41270167
2008-06-16,65.65526792
2008-06-17,54.36101
2008-06-18,51.72568417
2008-06-19,72.50306
2008-06-20,76.10500708
2008-06-21,66.99660478
2008-06-22,45.0305275
2008-06-23,53.05860958
2008-06-24,52.30566033
2008-06-25,37.48066892
2008-06-26,66.84574875
2008-06-27,94.96947458
2008-06-28,96.31257792
2008-06-29,51.3593825
2008-06-30,60.27269167
2008-07-01,67.51729917
2008-07-02,73.87668125
2008-07-03,49.05983292
2008-07-04,51.98005917
2008-07-05,62.58242
2008-07-06,59.21449083
2008-07-07,54.09646
2008-07-08,66.52847636
2008-07-09,88.77289111
2008-07-10,83.92959333
2008-07-11,71.17012875
2008-07-12,64.1575135
2008-07-13,38.99674667
2008-07-14,61.33089
2008-07-15,53.37403696
2008-07-16,47.22832958
2008-07-17,38.48799683
2008-07-18,57.89174125
2008-07-19,66.58120042
2008-07-20,46.750105
2008-07-21,71.86203292
2008-07-22,76.78673542
2008-07-23,92.90394417
2008-07-24,106.05006792
2008-07-25,69.73589435
2008-07-26,66.4184
2008-07-27,45.25437875
2008-07-28,53.58771042
2008-07-29,71.70940167
2008-07-30,55.44487043
2008-07-31,59.52991542
2008-08-01,60.669515
2008-08-02,55.002035
2008-08-03,45.98697917
2008-08-04,49.26332917
2008-08-05,51.23728375
2008-08-06,59.73341292
2008-08-07,46.28206
2008-08-08,62.21877174
2008-08-09,72.88970458
2008-08-10,60.4456675
2008-08-11,37.00244375
2008-08-12,64.26129458
2008-08-13,63.48799583
2008-08-14,44.65405208
2008-08-15,51.4509575
2008-08-16,41.11314917
2008-08-17,49.12088083
2008-08-18,46.90273042
2008-08-19,58.18681167
2008-08-20,69.78632333
2008-08-21,61.54456583
2008-08-22,56.50793958
2008-08-23,46.48555317
2008-08-24,47.02482958
2008-08-25,56.17216208
2008-08-26,44.74252957
2008-08-27,67.85660826
2008-08-28,43.12779958
2008-08-29,41.27595
2008-08-30,45.42735125
2008-08-31,46.47538
2008-09-01,41.30647417
2008-09-02,39.66829592
2008-09-03,28.56736125
2008-09-04,56.58933792
2008-09-05,83.2518413
2008-09-06,62.48066792
2008-09-07,31.14164
2008-09-08,83.29767211
2008-09-09,79.24908042
2008-09-10,83.13593875
2008-09-11,97.05535375
2008-09-12,93.15832292
2008-09-13,88.81359375
2008-09-14,60.32356708
2008-09-15,66.50627136
2008-09-16,76.87078391
2008-09-17,72.46235375
2008-09-18,69.97965125
2008-09-19,69.26872565
2008-09-20,65.787545
2008-09-21,39.19007167
2008-09-22,58.38013833
2008-09-23,53.882784
2008-09-24,82.189665
2008-09-25,78.8562387
2008-09-26,52.99755917
2008-09-27,54.55433583
2008-09-28,48.02198125
2008-09-29,68.90109958
2008-09-30,53.46560917
2008-10-01,47.2588525
2008-10-02,67.82254875
2008-10-03,50.09768083
2008-10-04,45.8547025
2008-10-05,
2008-10-06,
2008-10-07,
2008-10-08,
2008-10-09,
2008-10-10,98.63247
2008-10-11,52.80423792
2008-10-12,31.95563854
2008-10-13,44.9084275
2008-10-14,34.7334165
2008-10-15,45.30526
2008-10-16,48.577536
2008-10-17,48.96826
2008-10-18,54.15751
2008-10-19,30.64306208
2008-10-20,53.07895833
2008-10-21,69.15547542
2008-10-22,60.23331913
2008-10-23,62.24000565
2008-10-24,50.01628292
2008-10-25,65.67562333
2008-10-26,46.33514
2008-10-27,60.51689375
2008-10-28,51.15588167
2008-10-29,66.79487083
2008-10-30,58.53276458
2008-10-31,66.45910083
2008-11-01,34.86569167
2008-11-02,25.10785583
