Fecha,CO,DViento,HAire2,O3,PLiquida,PM10,PM2.5,RGlobal,TAire2,VViento
2008-05-07,1.21146127,,,18.15485755,,61.95833333,28.79166667,,,
2008-05-08,1.0799475,,,17.64448068,,72.0,23.54166667,,,
2008-05-09,1.4345665,,,20.26552579,,63.375,35.95833333,,,
2008-05-10,,,,,,67.66666667,,,,
2008-05-11,1.25857945,,,15.675645,,46.25,35.66666667,,,
2008-05-12,1.078312,,,20.63440789,,50.58333333,24.54166667,,,
2008-05-13,,,,,,61.56521739,,,,
2008-05-14,,,,,,63.79166667,,,,
2008-05-15,,,,,,60.5,,,,
2008-05-16,,,,,,55.29166667,,,,
2008-05-17,,,,,,39.33333333,,,,
2008-05-18,,,,,,34.16666667,,,,
2008-05-19,,,,,,60.375,,,,
2008-05-20,,,,,,39.25,,,,
2008-05-21,,,,,,49.33333333,,,,
2008-05-22,,,,,,63.04166667,,,,
2008-05-23,,,,,,45.5,,,,
2008-05-24,,,,,,53.83333333,,,,
2008-05-25,,,,,,16.29166667,,,,
2008-05-26,,,,,,32.29166667,,,,
2008-05-27,,,,,,34.5,,,,
2008-05-28,,,,,,17.0,,,,
2008-05-29,,,,,,48.33333333,,,,
2008-05-30,,,,,,57.91666667,,,,
2008-05-31,,,,,,64.75,,,,
2008-06-01,,,,,,35.66666667,,,,
2008-06-02,,,,5.09641183,,26.95652174,35.71428571,,,
2008-06-03,,,,9.41293679,,50.7826087,37.08333333,,,
2008-06-04,,,,18.678319,,60.04166667,36.25,,,
2008-06-05,1.112343,,,23.25448975,,54.41666667,31.29166667,,,
2008-06-06,1.23384933,,,22.51416155,,67.54166708,43.95833333,,,
2008-06-07,1.15486662,,,12.72097524,,46.16666667,21.54166667,,,
2008-06-08,1.1714018,,,12.48545005,,34.16666667,24.04166667,,,
2008-06-09,1.01291,,,27.07532493,,63.18181818,29.45833333,,,
2008-06-10,,,,,,,,,,
2008-06-11,1.3083109,,,20.74383957,,45.5,33.66666667,,,
2008-06-12,1.08074,,,18.817755,,50.18181818,26.375,,,
2008-06-13,,,,,,61.875,,,,
2008-06-14,,,,,,50.625,,,,
2008-06-15,,,,,,36.5,,,,
2008-06-16,,,,,,46.82608696,,,,
2008-06-17,,,,,,43.54166667,,,,
2008-06-18,,,,,,43.33333333,,,,
2008-06-19,,,,,,43.375,,,,
2008-06-20,,,,,,48.83333333,,,,
2008-06-21,,,,,,50.29166667,,,,
2008-06-22,,,,,,31.66666667,,,,
2008-06-23,,,,,,44.20833333,,,,
2008-06-24,,,,,,41.33333333,,,,
2008-06-25,,,,,,35.2173913,,,,
2008-06-26,,,,,,48.875,,,,
2008-06-27,,,,,,57.95833375,,,,
2008-06-28,,,,,,43.45833333,,,,
