Fecha,PM2.5
2019-01-01,14.70909091
2019-01-02,10.855
2019-01-03,8.79130435
2019-01-04,11.9375
2019-01-05,21.26666667
2019-01-06,22.1
2019-01-07,18.65217391
2019-01-08,18.7
2019-01-09,9.07916667
2019-01-10,16.41538462
2019-01-11,14.63333333
2019-01-12,15.32272727
2019-01-13,16.0
2019-01-14,19.8
2019-01-15,19.175
2019-01-16,18.32083333
2019-01-17,19.81666667
2019-01-18,19.92916667
2019-01-19,19.0625
2019-01-20,15.24166667
2019-01-21,15.33043478
2019-01-22,14.18333333
2019-01-23,12.9625
2019-01-24,14.59565217
2019-01-25,16.59166667
2019-01-26,17.9875
2019-01-27,20.93913043
2019-01-28,23.575
2019-01-29,18.0
2019-01-30,18.58333333
2019-01-31,23.38333333
2019-02-01,23.63
2019-02-02,22.42916667
2019-02-03,17.55416667
2019-02-04,25.5125
2019-02-05,28.56666667
2019-02-06,31.45833333
2019-02-07,35.52916667
2019-02-08,38.6375
2019-02-09,30.97916667
2019-02-10,28.61666667
2019-02-11,28.78333333
2019-02-12,39.34583333
2019-02-13,32.0125
2019-02-14,23.88095238
2019-02-15,28.33333333
2019-02-16,35.1125
2019-02-17,31.81666667
2019-02-18,27.81666667
2019-02-19,35.05
2019-02-20,16.725
2019-02-21,21.37083333
2019-02-22,16.13333333
2019-02-23,16.42083333
2019-02-24,23.24583333
2019-02-25,25.55416667
2019-02-26,45.92083333
2019-02-27,33.5375
2019-02-28,25.35416667
2019-03-01,29.4625
2019-03-02,22.32916667
2019-03-03,25.36666667
2019-03-04,24.19166667
2019-03-05,44.0
2019-03-06,37.25217391
2019-03-07,37.64583333
2019-03-08,33.625
2019-03-09,25.00833333
2019-03-10,20.23333333
2019-03-11,21.74545455
2019-03-12,22.58333333
2019-03-13,24.01666667
2019-03-14,41.95416667
2019-03-15,41.99583333
2019-03-16,49.25454545
2019-03-17,49.45416667
2019-03-18,33.04583333
2019-03-19,17.78333333
2019-03-20,19.975
2019-03-21,25.94782609
2019-03-22,27.89166667
2019-03-23,27.52916667
2019-03-24,24.275
2019-03-25,19.52916667
2019-03-26,36.9375
2019-03-27,41.75
2019-03-28,39.625
2019-03-29,20.61666667
2019-03-30,22.07916667
2019-03-31,22.46666667
2019-04-01,12.83913043
2019-04-02,13.30833333
2019-04-03,20.64285714
2019-04-04,18.79583333
2019-04-05,17.72083333
2019-04-06,16.2
2019-04-07,30.98333333
2019-04-08,32.07083333
2019-04-09,30.51666667
2019-04-10,23.3375
2019-04-11,18.56956522
2019-04-12,21.20833333
2019-04-13,26.67916667
2019-04-14,17.30833333
2019-04-15,15.72083333
2019-04-16,21.7875
2019-04-17,24.32
2019-04-18,8.36521739
2019-04-19,9.45909091
2019-04-20,9.37083333
2019-04-21,11.97083333
2019-04-22,11.77272727
2019-04-23,11.46521739
2019-04-24,14.84
2019-04-25,21.14090909
2019-04-26,13.8
2019-04-27,19.2
2019-04-28,11.9125
2019-04-29,17.7
2019-04-30,19.00416667
2019-05-01,16.475
2019-05-02,20.73333333
2019-05-03,21.69545455
2019-05-04,24.37916667
2019-05-05,16.60833333
2019-05-06,13.9
2019-05-07,14.57142857
2019-05-08,16.25
2019-05-09,19.83333333
2019-05-10,9.1375
2019-05-11,15.74583333
2019-05-12,8.01666667
2019-05-13,15.07391304
2019-05-14,8.68333333
2019-05-15,15.68333333
2019-05-16,22.7125
2019-05-17,15.21428571
2019-05-18,13.16666667
2019-05-19,10.98636364
2019-05-20,7.0875
2019-05-21,17.45
2019-05-22,14.47142857
2019-05-23,14.35
2019-05-24,16.0875
2019-05-25,16.46666667
2019-05-26,7.4
2019-05-27,14.825
2019-05-28,11.54583333
2019-05-29,14.42916667
2019-05-30,16.3375
2019-05-31,18.95
2019-06-01,9.00869565
2019-06-02,12.5
2019-06-03,10.19166667
2019-06-04,11.44166667
2019-06-05,12.8125
2019-06-06,16.4
2019-06-07,10.57391304
2019-06-08,13.3826087
2019-06-09,9.65217391
2019-06-10,13.6
2019-06-11,12.79166667
2019-06-12,14.6875
2019-06-13,15.8875
2019-06-14,14.55
2019-06-15,13.125
2019-06-16,10.13478261
2019-06-17,10.26190476
2019-06-18,7.96818182
2019-06-19,10.83478261
2019-06-20,12.30833333
2019-06-21,9.32727273
2019-06-22,8.23478261
2019-06-23,8.7125
2019-06-24,9.86666667
2019-06-25,15.59565217
2019-06-26,13.31666667
2019-06-27,15.525
2019-06-28,13.32083333
2019-06-29,10.67083333
2019-06-30,8.35416667
2019-07-01,8.89583333
2019-07-02,13.96666667
2019-07-03,14.22083333
2019-07-04,15.03333333
2019-07-05,13.30869565
2019-07-06,11.85833333
2019-07-07,7.26363636
2019-07-08,12.57083333
2019-07-09,12.43333333
2019-07-10,10.4625
2019-07-11,11.15
2019-07-12,11.72916667
2019-07-13,13.6875
2019-07-14,8.16666667
2019-07-15,13.1875
2019-07-16,10.68695652
2019-07-17,10.3625
2019-07-18,7.64166667
2019-07-19,7.49166667
2019-07-20,8.2125
2019-07-21,8.09565217
2019-07-22,15.025
2019-07-23,9.04347826
2019-07-24,13.67083333
2019-07-25,14.04166667
2019-07-26,11.24583333
2019-07-27,12.225
2019-07-28,11.73913043
2019-07-29,14.33478261
2019-07-30,12.7875
2019-07-31,10.63043478
2019-08-01,16.95416667
2019-08-02,16.23333333
2019-08-03,17.25
2019-08-04,12.8826087
2019-08-05,14.35833333
2019-08-06,27.975
2019-08-07,24.775
2019-08-08,15.07083333
2019-08-09,11.54347826
2019-08-10,11.39583333
2019-08-11,11.88695652
2019-08-12,12.52916667
2019-08-13,14.89130435
2019-08-14,14.69166667
2019-08-15,23.85416667
2019-08-16,42.20416667
2019-08-17,29.7
2019-08-18,19.10416667
2019-08-19,13.06842105
2019-08-20,12.88333333
2019-08-21,15.93333333
2019-08-22,16.8625
2019-08-23,19.45
2019-08-24,13.75833333
2019-08-25,11.11304348
2019-08-26,12.95416667
2019-08-27,13.09166667
2019-08-28,21.01666667
2019-08-29,16.51363636
2019-08-30,20.35
