Fecha,CO,DViento,HAire10,NO,NO2,O3,P,PLiquida,PM10,PM2.5,SO2,TMPR_AIR_10CM,VViento
2021-02-06,432.26910198,103.17794714,80.07217361,8.09899947,15.21331731,29.74796008,21.93154861,0.0525,33.0952381,17.875,24.85508348,21.93154861,1.73280406
2021-02-07,383.65482765,128.24560538,78.06240278,6.01600144,13.86792254,31.95514591,22.42808333,0.01541667,31.52380952,16.625,25.65158089,22.42808333,1.6022881
2021-02-08,408.86994647,99.47125918,83.00400694,8.1912501,17.86178953,26.08566656,21.67525694,0.01416667,41.65217391,17.79166667,33.94388267,21.67525694,1.36750909
2021-02-09,517.24771219,104.84109787,85.72346237,13.72900161,19.03308858,22.74218877,20.68485396,0.22086957,38.04347826,15.125,39.48663175,20.68485396,1.24543134
2021-02-10,380.34772766,131.8313183,80.84531645,7.73518897,15.4245827,30.13217391,20.1238517,0.03086957,30.16666667,14.20833333,18.07940006,20.1238517,1.5856279
2021-02-11,404.78192759,126.90991308,76.44925072,8.41958728,14.44192913,28.27756913,20.90411542,0.0,37.36363636,16.09090909,18.75160782,20.90411542,1.82248465
2021-02-12,425.23679986,127.57152597,78.80435417,17.26821257,20.24364927,24.11554884,20.56228472,0.005,46.95833333,17.79166667,40.50134762,20.56228472,1.18809234
2021-02-13,421.80074237,142.16628974,81.28200933,13.97569489,18.15163304,21.67946967,20.34576935,0.00209302,42.65217391,18.04166667,33.2128508,20.34576935,1.11400693
2021-02-14,373.79732644,131.5697686,83.84479476,8.41239202,15.84162107,22.51329543,20.62383241,0.00666667,29.0,16.625,32.31815508,20.62383241,1.41705294
2021-02-15,353.98997075,145.42240717,75.47184309,8.04004737,13.52968168,31.95514591,21.84708837,0.0,44.6,17.20833333,20.92715106,21.84708837,1.86186591
2021-02-16,334.52130458,133.50276873,71.76760305,6.93949916,15.17530929,36.8600033,21.39798989,0.0,43.47826087,20.33333333,26.93906985,21.39798989,1.91883749
2021-02-17,332.33684316,105.57173307,73.99277111,8.80127861,15.20450284,35.9689542,20.59529743,0.00103448,48.69565217,20.875,29.36129484,20.59529743,1.84988324
2021-02-18,391.73189677,211.21834076,82.51471384,6.41014651,21.60969734,38.64210148,20.23837657,0.79219512,45.7,20.625,26.78631692,20.23837657,1.11807975
2021-02-19,350.97280379,153.36056283,83.88662788,6.05053666,18.0880121,31.5218835,19.4855811,0.07375,29.13636364,12.58333333,19.12684871,19.4855811,1.45889981
2021-02-20,354.9711178,124.01907303,78.00726389,6.61095976,16.23611789,34.29312793,20.05653472,0.02,27.75,14.25,20.91624014,20.05653472,1.85189725
2021-02-21,360.6437849,100.74120394,82.51366667,4.99697229,15.12995195,32.12681591,19.91316667,0.06291667,23.34782609,13.04166667,26.05528506,19.91316667,1.68443069
2021-02-22,398.17449263,92.00543716,79.76022655,8.60284164,16.46527862,33.3448555,20.67257958,0.06790698,35.30434783,16.625,28.6411739,20.67257958,1.86120062
2021-02-23,416.16478986,82.01128267,85.38591589,12.28217715,31.39776739,28.82421194,20.06575964,0.05521739,40.63636364,18.0,35.14408424,20.06575964,1.37360257
2021-02-24,273.33488246,107.85800691,83.01102168,9.100135,27.94537108,33.14048644,21.28495159,0.00190476,42.75,20.125,25.59702627,21.28495159,1.57255086
2021-02-25,283.66639597,83.91582459,84.81781736,9.23110769,26.7795942,32.03689353,21.41394625,0.03146341,36.04545455,18.29166667,29.63596548,21.41394625,1.18419992
2021-02-26,279.36349453,101.50967792,85.96422173,14.28236286,25.77584188,29.86240675,20.9476025,0.17157895,29.15,14.125,,20.9476025,1.35475894
2021-02-27,225.67851907,142.49708265,85.28337023,9.63747099,11.06053342,27.46720139,20.49210001,0.13860465,28.7826087,15.08333333,,20.49210001,1.54330214
2021-02-28,212.35280042,135.2940874,78.84770474,6.9682678,11.95351349,30.71066879,21.45158989,0.0,26.95121951,12.29787234,,21.45158989,2.23335385
2021-03-01,275.99140314,178.0,76.95390845,7.00470577,15.27952953,32.82167071,21.2218256,0.04833333,33.08333333,15.125,,21.2218256,1.34176471
2021-03-02,400.64855761,142.26315789,75.44666462,5.53166195,17.91629248,53.20135317,21.06335515,0.0,54.91666667,29.70833333,,21.06335515,1.78684211
2021-03-03,271.7458785,172.5,75.18942095,5.27492139,16.32734328,46.77598999,20.74388266,0.0,62.41666667,35.16666667,,20.74388266,1.33333333
2021-03-04,275.40502628,84.5,81.79577936,5.57366578,16.87418865,39.34513104,20.39770909,0.16208333,57.125,34.16666667,,20.39770909,1.47722222
2021-03-05,260.01927295,132.70588235,82.16990914,5.37308055,12.65442097,44.6914256,19.48231942,0.03875,49.18181818,26.20833333,,19.48231942,1.57058824
2021-03-06,444.22680826,70.53846154,84.8029578,7.30923622,16.48810224,41.1762778,20.85071014,0.02458333,68.75,,,20.85071014,1.98461538
2021-03-07,303.53326255,117.82352941,86.67199232,2.8916434,8.15393191,44.39713415,20.6469706,0.2325,42.34782609,27.79166667,,20.6469706,1.60647059
2021-03-08,371.89463963,130.64705882,87.80999933,8.17873411,12.87314523,26.77234659,20.04865987,0.29291667,26.31818182,13.41666667,,20.04865987,1.10411765
2021-03-09,312.2358028,118.68421053,81.85540114,10.92339066,11.80593262,26.5761523,20.77558811,0.0,44.90909091,16.79166667,,20.77558811,1.66578947
2021-03-10,445.48859734,141.68181818,83.8350869,7.83320399,14.42632946,29.41208398,19.70256663,0.27625,43.05,16.66666667,2.35675945,19.70256663,1.38636364
2021-03-11,344.60936371,178.33333333,89.28270903,8.95452035,15.06991948,27.84324046,18.91567528,0.2,43.34782609,18.75,21.36047059,18.91567528,0.74066667
2021-03-12,310.33047721,170.46666667,91.96032507,6.83497412,12.55541379,28.08030857,17.68490462,0.24833333,31.125,14.125,16.80052499,17.68490462,1.188
2021-03-13,315.99089416,60.375,83.28927607,9.12027869,9.33846068,33.61462266,19.68893111,0.00791667,35.0,17.41666667,24.97042753,19.68893111,1.783125
2021-03-14,292.18756984,120.29411765,82.16040965,6.41601445,12.62736871,30.9578249,19.89214338,0.00208333,36.20833333,17.45833333,46.34960256,19.89214338,1.65411765
2021-03-15,407.12498788,137.05,80.81240586,14.85851689,18.20992925,25.21096699,20.00403053,0.14,43.66666667,19.29166667,,20.00403053,1.377
2021-03-16,417.7907888,161.31818182,83.96925814,11.31863371,16.40014328,27.67974521,19.98020263,0.03416667,41.0,20.0,,19.98020263,1.94863636
2021-03-17,236.22589894,181.875,85.61038194,8.33933046,18.4214814,29.81335818,19.49917361,0.71833333,27.66666667,13.75,,19.49917361,1.46833333
2021-03-18,479.24437094,194.38095238,88.57254874,13.4951249,25.62799973,29.67438722,18.97416704,0.25833333,26.86956522,12.58333333,,18.97416704,1.40333333
2021-03-19,533.71312981,148.73913043,82.64563648,11.5786502,24.88267329,23.6904612,20.27017575,0.08875,34.0,12.16666667,,20.27017575,1.70347826
2021-03-20,570.21614825,211.41666667,87.38377578,10.39873435,27.39256626,30.92512586,18.94136029,0.24458333,35.14285714,16.0,,18.94136029,1.58666667
2021-03-21,577.38311638,171.20833333,83.4161413,11.28423209,18.71523462,33.85986553,20.3025246,0.12333333,31.39130435,15.16666667,,20.3025246,1.86125
2021-03-22,362.70036285,165.33333333,90.7721818,3.71118927,13.66052057,33.55739932,18.53204446,0.27625,22.4,10.33333333,,18.53204446,1.58666667
2021-03-23,509.69259311,135.20833333,87.91254455,13.77394134,24.60277251,22.34980018,19.33282958,0.18791667,36.59090909,16.04545455,,19.33282958,1.35708333
2021-03-24,236.68324806,177.45454545,87.32439161,6.65667115,18.76620188,29.34739672,19.38082242,0.49708333,29.0,13.66666667,,19.38082242,1.21272727
2021-03-25,325.68809883,113.95833333,85.59759701,10.39267357,15.56781599,30.07743854,20.44645115,0.25333333,41.81818182,20.04166667,,20.44645115,1.53916667
2021-03-26,311.05517384,153.45833333,88.62605556,8.40558513,24.21614212,25.14556889,19.89842361,0.03458333,41.16666667,20.41666667,,19.89842361,1.35666667
2021-03-27,317.59821344,133.875,86.35084722,12.10828391,21.41644483,28.59531859,19.98641667,0.03416667,38.63636364,14.75,,19.98641667,1.49375
2021-03-28,191.23071426,90.91666667,82.84998611,8.0792496,18.24046729,28.97953242,21.15864583,0.00625,30.29166667,11.125,,21.15864583,1.60375
2021-03-29,183.11947197,91.95833333,82.93723611,6.8969477,13.9950227,28.65254193,21.79170833,0.025,33.90909091,15.625,,21.79170833,1.89875
2021-03-30,217.76808741,114.91666667,79.20669444,9.81761487,17.12437974,27.35275472,21.81426389,0.01916667,33.0,12.45833333,,21.81426389,1.85583333
2021-03-31,251.62645359,129.52173913,79.69286956,8.12586061,14.94565767,29.14302767,22.58657971,0.04043478,39.86956522,13.83333333,,22.58657971,1.84173913
