Fecha,PM10
2018-09-02,24.2
2018-09-03,
2018-09-04,
2018-09-05,33.8
2018-09-06,
2018-09-07,
2018-09-08,23.5
2018-09-09,
2018-09-10,
2018-09-11,47.8
2018-09-12,
2018-09-13,
2018-09-14,30.7
2018-09-15,
2018-09-16,
2018-09-17,37.3
2018-09-18,
2018-09-19,
2018-09-20,30.8
2018-09-21,
2018-09-22,
2018-09-23,29.6
2018-09-24,
2018-09-25,
2018-09-26,18.1
2018-09-27,
2018-09-28,
2018-09-29,36.2
2018-09-30,
2018-10-01,
2018-10-02,40.1
2018-10-03,
2018-10-04,
2018-10-05,33.5
2018-10-06,
2018-10-07,
2018-10-08,28.1
2018-10-09,
2018-10-10,
2018-10-11,24.4
2018-10-12,
2018-10-13,
2018-10-14,
2018-10-15,
2018-10-16,
2018-10-17,30.9
2018-10-18,
2018-10-19,
2018-10-20,21.0
2018-10-21,
2018-10-22,
2018-10-23,17.8
2018-10-24,
2018-10-25,
2018-10-26,35.0
2018-10-27,
2018-10-28,
2018-10-29,42.5
2018-10-30,
2018-10-31,
2018-11-01,36.0
2018-11-02,
2018-11-03,
2018-11-04,23.0
2018-11-05,
2018-11-06,
2018-11-07,40.3
2018-11-08,
2018-11-09,
2018-11-10,54.9
2018-11-11,
2018-11-12,
2018-11-13,
2018-11-14,38.4
2018-11-15,
2018-11-16,49.7
2018-11-17,
2018-11-18,
2018-11-19,
2018-11-20,
2018-11-21,
2018-11-22,40.6
2018-11-23,
2018-11-24,
2018-11-25,17.1
2018-11-26,
2018-11-27,
2018-11-28,25.9
2018-11-29,
2018-11-30,
2018-12-01,25.0
2018-12-02,
2018-12-03,
2018-12-04,31.7
2018-12-05,
2018-12-06,33.1
2018-12-07,
2018-12-08,
2018-12-09,
2018-12-10,37.6
2018-12-11,
2018-12-12,39.3
2018-12-13,
2018-12-14,
2018-12-15,
2018-12-16,31.9
2018-12-17,
2018-12-18,
2018-12-19,37.1
2018-12-20,
2018-12-21,
2018-12-22,42.5
2018-12-23,
2018-12-24,
2018-12-25,37.1
2018-12-26,
2018-12-27,41.1
2018-12-28,
2018-12-29,
2018-12-30,
2018-12-31,38.0
2019-01-01,
2019-01-02,
2019-01-03,22.0
2019-01-04,
2019-01-05,
2019-01-06,30.8
2019-01-07,
2019-01-08,
2019-01-09,20.0
2019-01-10,
2019-01-11,
2019-01-12,36.4
2019-01-13,
2019-01-14,
2019-01-15,49.2
2019-01-16,
2019-01-17,
2019-01-18,47.0
2019-01-19,
2019-01-20,
2019-01-21,26.2
2019-01-22,
2019-01-23,
2019-01-24,45.0
2019-01-25,
2019-01-26,
