Fecha,CO,DViento,HAire10,HAire2,NO,NO2,NOx,P,PLiquida,PM10,PM2.5,RGlobal,SO2,TAire10,TAire2,VViento
2012-06-15,,,,66.37083333,41.16666667,22.625,63.70833333,,0.03636364,,,141.1625,,,21.86333333,
2012-06-16,,,,68.69583333,43.16666667,19.91666667,63.125,,,,,99.75,,,20.91625,
2012-06-17,,,,67.57916667,34.16666667,18.41666667,52.625,,,,,123.7375,,,20.61125,
2012-06-18,,,,64.47916667,30.25,15.08333333,45.29166667,,,,,184.775,,,22.90625,
2012-06-19,,,,62.82083333,31.45833333,17.25,48.54166667,,,,,199.99166667,,,24.32666667,
2012-06-20,,,,62.00833333,33.45833333,17.125,50.66666667,,,,,145.13333333,,,24.18958333,
2012-06-21,,,,63.78333333,20.79166667,26.0,46.83333333,,,,,115.725,,,21.54541667,
2012-06-22,,,,54.6,42.875,24.20833333,67.0,,0.0,,,195.50416667,,,23.135,
2012-06-23,,,,54.25833333,41.45833333,23.16666667,64.58333333,,0.0,,,167.5875,,,23.28291667,
2012-06-24,,,,58.11666667,17.375,15.58333333,32.79166667,,0.0,,,142.34583333,,,23.39333333,
2012-06-25,,,,61.65833333,25.95833333,19.20833333,44.91666667,,0.0,,,135.24166667,,,22.73208333,
2012-06-26,,,,57.79166667,27.45833333,19.45833333,46.83333333,,0.0,,,157.35416667,,,23.1525,
2012-06-27,,,,60.4625,19.95833333,21.16666667,41.125,,0.03333333,,,162.90833333,,,22.63458333,
2012-06-28,,,,57.25833333,29.625,18.58333333,48.0,,0.03333333,,,192.75,,,23.42125,
2012-06-29,,,,63.55,29.16666667,18.04166667,47.33333333,,0.05833333,,,155.3125,,,21.77083333,
2012-06-30,,,,81.1,30.16666667,19.5,49.5,,1.0,,,11.94285714,,,17.92142857,
2012-07-01,,,,60.9625,,12.125,,,0.4,,,205.95416667,,,22.38791667,
2012-07-02,,,,54.9625,,9.41666667,,,0.0,,,199.62916667,,,23.84,
2012-07-03,,,,64.9625,,14.70833333,,,0.225,,,118.25833333,,,22.30208333,
2012-07-04,,,,63.73333333,,13.95833333,,,0.13181818,,,162.47083333,,,22.8525,
2012-07-05,,,,67.2875,,15.08333333,,,0.48333333,,,156.64166667,,,22.1675,
2012-07-06,,,,63.39166667,,13.625,,,0.125,,,175.17916667,,,22.88416667,
2012-07-07,,,,59.23333333,,14.33333333,,,0.0,,,158.1625,,,23.54041667,
2012-07-08,,,,51.25,,10.54166667,,,0.0,,,180.28333333,,,24.1725,
2012-07-09,,,,49.8375,,15.875,,,0.0,,,155.57916667,,,24.31375,
2012-07-10,,,,58.44583333,,14.08333333,,,0.0,,,142.1625,,,23.78041667,
2012-07-11,,,,71.24583333,,19.04166667,,,1.17083333,,,104.25833333,,,21.30333333,
2012-07-12,,,,70.53333333,,25.5,,,0.38333333,,,105.55,,,21.24625,
2012-07-13,,,,78.91666667,,26.0,,,0.62916667,,,66.17916667,,,19.44291667,
2012-07-14,,,,64.17083333,,28.58333333,,,0.04166667,,,178.29583333,,,22.47875,
2012-07-15,,,,60.05,,16.95833333,,,0.0,,,152.775,,,23.13208333,
2012-07-16,,,,55.15,,17.41666667,,,0.0,,,156.33333333,,,23.49791667,
2012-07-17,,,,58.28333333,,21.08333333,,,0.0,,,139.89166667,,,23.8475,
2012-07-18,,,,52.875,,15.79166667,,,0.00833333,,,162.27083333,,,24.46583333,
2012-07-19,,,,49.60416667,,13.16666667,,,0.0,,,173.84166667,,,24.87375,
2012-07-20,,,,53.43333333,,12.625,,,0.0,,,141.625,,,23.80166667,
2012-07-21,,,,50.67916667,,15.41666667,,,0.0,,,170.14583333,,,23.7425,
2012-07-22,,,,51.2875,,10.20833333,,,0.0,,,165.09166667,,,24.25583333,
2012-07-23,,,,47.37916667,,13.33333333,,,0.02916667,,,152.12916667,,,24.4575,
2012-07-24,,,,54.30416667,,18.45833333,,,0.00416667,,,145.59583333,,,23.57375,
2012-07-25,,,,48.63333333,,14.58333333,,,0.00416667,,,163.39583333,,,23.73333333,
2012-07-26,,,,47.8,,14.33333333,,,0.0,,,169.4625,,,23.88583333,
2012-07-27,,,,48.19166667,,15.41666667,,,0.0125,,,122.93333333,,,24.52791667,
2012-07-28,,,,71.4,,13.28571429,,,0.0,,,8.88571429,,,20.40428571,
2012-07-29,,,,,,,,,0.0,,,,,,,
2012-07-30,,,,58.66875,,19.0,,,0.04166667,,,142.84375,,,23.356875,
2012-07-31,,,,63.57916667,,12.0,,,0.0,,,121.00833333,,,22.82625,
2012-08-01,,,,57.08333333,38.04166667,16.25,,,0.05,,,96.0625,,,23.58291667,
2012-08-02,,,,64.51666667,22.875,16.45833333,,,0.27083333,,,132.77083333,,,22.92458333,
2012-08-03,,,,68.65833333,24.04166667,16.125,,,0.29583333,,,101.93333333,,,21.9075,
2012-08-04,,,,68.3,41.88235294,16.70588235,,,0.01666667,,,182.00588235,,,22.04058824,
2012-08-05,,,,,,,,,0.125,,,,,,,
2012-08-06,,,,55.0125,22.8125,20.0,,,0.19166667,,,186.35,,,24.52375,
2012-08-07,,,,68.2625,18.66666667,10.625,,,0.0,,,102.35416667,,,22.0925,
2012-08-08,,,,69.94583333,47.54166667,17.08333333,,,0.25833333,,,91.03333333,,,21.42916667,
2012-08-09,,,,60.85,64.5,13.79166667,,,0.0,,,138.82083333,,,23.10541667,
2012-08-10,,,,50.26666667,42.375,15.20833333,,,0.0,,,150.60833333,,,24.12041667,
2012-08-11,,,,58.22083333,29.16666667,16.20833333,,,0.0,,,152.1875,,,23.74875,
2012-08-12,,,,81.38571429,20.57142857,10.85714286,,,0.2125,,,9.95714286,,,19.21714286,
2012-08-13,,,,,,,,,0.50416667,,,,,,,
2012-08-14,,,,76.85714286,54.71428571,14.0,,,0.25,,,13.12857143,,,20.13857143,
2012-08-15,,,,60.70416667,38.58333333,13.04166667,,,0.0,,,137.55833333,,,22.7025,
2012-08-16,,,,61.71666667,38.95833333,14.875,,,0.22083333,,,133.92083333,,,23.09333333,
2012-08-17,,,,67.70833333,31.70833333,18.91666667,,,0.66666667,,,135.7,,,21.66458333,
2012-08-18,,,,62.575,31.08333333,15.45833333,,,0.20416667,,,155.89166667,,,22.54,
2012-08-19,,,,59.93333333,15.83333333,11.875,,,0.01666667,,,172.44166667,,,23.33583333,
2012-08-20,,,,66.3625,9.58333333,10.91666667,,,0.51666667,,,169.25,,,22.29666667,
2012-08-21,,,,64.1952381,37.28571429,15.66666667,,,0.02083333,,,176.3,,,22.86714286,
2012-08-22,,,,74.52222222,44.0,17.0,,,0.26666667,,,11.82222222,,,20.29444444,
2012-08-23,,,,69.71666667,41.58333333,21.79166667,,,0.655,,,125.175,,,21.11291667,
2012-08-24,,,,74.36666667,58.125,19.91666667,,,0.29583333,,,80.12083333,,,20.75791667,
2012-08-25,,,,70.24583333,65.45833333,19.70833333,,,0.10833333,,,97.60416667,,,21.78625,
2012-08-26,,,,59.15,15.875,12.33333333,,,0.13333333,,,171.84583333,,,22.9475,
2012-08-27,,,,51.49583333,41.91666667,17.45833333,,,0.0125,,,124.10833333,,,23.34333333,
2012-08-28,,,,43.54583333,25.29166667,17.83333333,,,0.0,,,175.11666667,,,24.57583333,
2012-08-29,,,,46.96190476,36.47619048,19.80952381,,,0.0,,,99.28095238,,,23.62047619,
2012-08-30,,,,45.5125,38.41666667,23.95833333,,,0.0,,,148.84583333,,,23.82,
2012-08-31,,,,49.84583333,31.75,20.70833333,,,0.0,,,159.3625,,,23.65416667,
2012-09-01,,,,50.85,25.83333333,21.08333333,46.91666667,,0.0,,,,,,23.57,
2012-09-02,,,,49.97083333,18.5,15.91666667,34.33333333,,0.0,,,,,,23.81875,
2012-09-03,,,,50.26666667,27.875,18.29166667,46.29166667,,0.0,,,,,,23.90208333,
2012-09-04,,,,49.77083333,24.16666667,21.75,45.91666667,,0.0,,,,,,24.15416667,
2012-09-05,,,,67.10588235,24.94117647,19.64705882,44.58823529,,0.1125,,,,,,21.89411765,
2012-09-06,,,,,,,,,0.0,,,,,,,
2012-09-07,,,,,,,,,0.0,,,,,,,
2012-09-08,,,,43.83333333,16.86666667,20.33333333,37.26666667,,0.04166667,,,,,,25.86533333,
2012-09-09,,,,48.12916667,18.0,15.25,33.25,,0.35833333,,,,,,24.18875,
2012-09-10,,,,55.4875,28.375,22.70833333,50.95833333,,0.12916667,,,,,,23.07,
2012-09-11,,,,53.97083333,20.0,22.95833333,42.95833333,,0.0125,,,,,,24.0225,
2012-09-12,,,,52.55416667,23.25,17.08333333,40.41666667,,0.0,,,,,,24.23333333,
2012-09-13,,,,70.3,13.66666667,13.33333333,26.66666667,,0.0,,,,,,21.53666667,
2012-09-14,,,,36.15,19.25,25.875,45.0625,,0.0,,,,,,26.26375,
2012-09-15,,,,44.42083333,33.29166667,28.375,61.625,,0.0,,,,,,23.98833333,
2012-09-16,,,,46.925,14.5,21.0,35.45833333,,0.0,,,,,,24.15875,
2012-09-17,,,,56.33333333,26.45833333,22.95833333,49.29166667,,0.01666667,,,,,,22.98375,
2012-09-18,,,,62.45833333,32.75,21.58333333,54.41666667,,0.02916667,,,,,,22.70541667,
2012-09-19,,,,64.22083333,26.66666667,20.83333333,47.54166667,,0.02083333,,,,,,22.69416667,
2012-09-20,,,,67.98095238,28.9047619,22.80952381,51.80952381,,0.20416667,,,,,,22.13857143,
2012-09-21,,,,62.89166667,22.70833333,18.79166667,41.91666667,,0.2875,,,171.55833333,,,22.70708333,
2012-09-22,,,,66.56666667,27.70833333,19.66666667,47.41666667,,0.2875,,,168.0125,,,21.98875,
2012-09-23,,,,63.98235294,13.25,14.04166667,27.33333333,,0.06190476,,,183.55,,,22.91166667,
2012-09-24,,,,75.7375,40.875,17.54166667,58.33333333,,0.44166667,,,99.80833333,,,20.13791667,
2012-09-25,,,,69.49583333,57.5,22.625,80.125,,0.0,,,126.075,,,20.90458333,
2012-09-26,,,,60.27083333,32.45833333,19.0,51.41666667,,0.0,,,190.775,,,23.1425,
2012-09-27,,,,59.3125,26.54166667,18.125,44.66666667,,0.0,,,175.43333333,,,23.52666667,
2012-09-28,,,,65.62916667,34.91666667,19.41666667,54.33333333,,0.3625,,,183.90833333,,,22.28833333,
2012-09-29,,,,58.88333333,30.70833333,19.91666667,50.66666667,,0.01304348,,,195.53333333,,,23.92083333,
2012-09-30,,,,49.6,11.75,13.375,25.125,,0.0,,,193.27916667,,,24.47875,
2012-10-01,,,,,23.75862069,17.58333333,40.4137931,,0.0,,,168.42083333,,,23.44291667,
2012-10-02,,,,,27.66666667,18.875,46.625,,0.0,,,147.84583333,,,22.69166667,
2012-10-03,,,,,28.70833333,18.33333333,47.04166667,,0.0,,,231.92916667,,,23.86083333,
