"Estacion","Fecha inicial","Fecha final","NOx"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-30","","133.35833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-29","","111.44166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-28","","126.50416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-27","","135.55833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-26","","153.49090909"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-25","","96.7625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-24","","137.22916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-23","","131.61666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-22","","94.6875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-21","","120.99166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-20","","102.68333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-19","","88.275"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-18","","59.2375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-17","","99.10833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-16","","146.2125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-15","","139.32083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-14","","114.06666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-13","","116.17916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-12","","61.1"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-11","","80.51304348"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-10","","82.2875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-09","","98.73181818"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-08","","72.12608696"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-07","","77.60833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-06","","96.49583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-05","","81.41428571"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-04","","59.04166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-03","","116.95833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-02","","95.86086957"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-01","","157.36190476"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-30","","117.27142857"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-29","","84.23181818"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-28","","86.95263158"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-27","","51.14285714"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-26","","82.00416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-25","","76.51333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-24","","75.92727273"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-23","","90.13333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-22","","92.03333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-21","","130.225"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-20","","98.89166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-19","","110.42916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-18","","141.57083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-17","","105.43333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-16","","80.12083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-15","","84.41666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-14","","102.85"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-13","","67.45833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-12","","86.22916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-11","","139.6125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-10","","106.1125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-09","","88.77083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-08","","77.49"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-07","","79.87083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-06","","63.27916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-05","","63.77916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-04","","71.32916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-03","","85.21666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-02","","77.50416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-01","","73.6826087"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-31","","64.5"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-30","","75.6375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-29","","79.12916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-28","","88.97083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-27","","98.91666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-26","","122.82916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-25","","82.6"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-24","","105.04583333"
