"Estacion","Fecha inicial","Fecha final","PST"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-07-02","","67.23733689"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-06-29","","97.13594157"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-06-26","","101.52702252"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-06-23","","103.86301176"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-06-20","","85.9597965"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-06-17","","68.8631793"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-06-14","","93.00550411"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-06-11","","61.04055271"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-06-08","","110.30908476"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-06-05","","142.85751045"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-06-02","","114.55642623"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-05-30","","126.75103164"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-05-27","","104.54662322"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-05-24","","137.62892447"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-05-21","","58.48770612"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-05-18","","88.20499392"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-05-15","","128.15935961"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-05-12","","133.64154964"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-05-09","","149.98390918"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-05-06","","83.73534098"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-05-03","","113.41947232"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-04-30","","142.69025858"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-04-27","","156.66941479"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-04-24","","87.81396815"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-04-21","","108.6215041"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-04-18","","120.03279744"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-04-15","","103.80786899"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-04-12","","129.94988045"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-04-09","","102.61052217"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-04-06","","45.31163619"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-04-03","","91.72110107"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-03-31","","115.09999176"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-03-28","","156.79256913"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-03-25","","89.46837929"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-03-22","","114.80759985"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-03-19","","81.17195512"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-03-16","","168.96309154"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-03-13","","155.88387245"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-03-10","","105.72881594"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-03-07","","146.31779712"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-03-04","","140.00335745"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-03-01","","168.71984628"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-02-26","","136.10116973"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-02-23","","135.64832227"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-02-20","","113.93734674"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-02-17","","122.75781945"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-02-14","","145.68899032"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-02-11","","94.02048174"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-02-08","","123.43723234"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-02-05","","134.55115617"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-02-02","","91.8785542"
