"Estacion","Fecha inicial","Fecha final","NO"
"ESTACIÓN TRÁFICO SUR","2022-10-02","","24.32070597"
"ESTACIÓN TRÁFICO SUR","2022-10-01","","45.16635331"
"ESTACIÓN TRÁFICO SUR","2022-09-30","","33.07275461"
"ESTACIÓN TRÁFICO SUR","2022-09-28","","30.80269167"
"ESTACIÓN TRÁFICO SUR","2022-09-27","","53.98358415"
"ESTACIÓN TRÁFICO SUR","2022-09-26","","47.49991802"
"ESTACIÓN TRÁFICO SUR","2022-09-25","","24.21286648"
"ESTACIÓN TRÁFICO SUR","2022-09-24","","43.10706899"
"ESTACIÓN TRÁFICO SUR","2022-09-23","","53.01616493"
"ESTACIÓN TRÁFICO SUR","2022-09-22","","37.38080107"
"ESTACIÓN TRÁFICO SUR","2022-09-21","","43.39953957"
"ESTACIÓN TRÁFICO SUR","2022-09-20","","58.64297391"
"ESTACIÓN TRÁFICO SUR","2022-09-19","","41.67635783"
"ESTACIÓN TRÁFICO SUR","2022-09-18","","20.0485661"
"ESTACIÓN TRÁFICO SUR","2022-09-17","","35.07515717"
"ESTACIÓN TRÁFICO SUR","2022-09-16","","46.85751202"
"ESTACIÓN TRÁFICO SUR","2022-09-15","","50.58119562"
"ESTACIÓN TRÁFICO SUR","2022-09-14","","47.97016799"
"ESTACIÓN TRÁFICO SUR","2022-09-13","","43.65673804"
"ESTACIÓN TRÁFICO SUR","2022-09-12","","38.47230921"
"ESTACIÓN TRÁFICO SUR","2022-09-11","","24.44985157"
"ESTACIÓN TRÁFICO SUR","2022-09-10","","31.05544113"
"ESTACIÓN TRÁFICO SUR","2022-09-09","","30.41844826"
"ESTACIÓN TRÁFICO SUR","2022-09-08","","26.59124332"
"ESTACIÓN TRÁFICO SUR","2022-09-07","","23.19044825"
"ESTACIÓN TRÁFICO SUR","2022-09-06","","29.39773375"
"ESTACIÓN TRÁFICO SUR","2022-09-05","","38.9744471"
"ESTACIÓN TRÁFICO SUR","2022-09-04","","15.30909785"
"ESTACIÓN TRÁFICO SUR","2022-09-03","","36.63648125"
"ESTACIÓN TRÁFICO SUR","2022-09-02","","36.27175908"
"ESTACIÓN TRÁFICO SUR","2022-09-01","","50.89477126"
"ESTACIÓN TRÁFICO SUR","2022-08-31","","32.06108841"
"ESTACIÓN TRÁFICO SUR","2022-08-30","","33.60591509"
"ESTACIÓN TRÁFICO SUR","2022-08-29","","38.3499325"
"ESTACIÓN TRÁFICO SUR","2022-08-28","","17.31395461"
"ESTACIÓN TRÁFICO SUR","2022-08-27","","46.6478212"
"ESTACIÓN TRÁFICO SUR","2022-08-26","","46.68993366"
"ESTACIÓN TRÁFICO SUR","2022-08-25","","28.7347066"
"ESTACIÓN TRÁFICO SUR","2022-08-24","","31.22793479"
"ESTACIÓN TRÁFICO SUR","2022-08-23","","47.30736519"
"ESTACIÓN TRÁFICO SUR","2022-08-22","","44.9431913"
"ESTACIÓN TRÁFICO SUR","2022-08-21","","11.75048792"
"ESTACIÓN TRÁFICO SUR","2022-08-20","","19.53065167"
"ESTACIÓN TRÁFICO SUR","2022-08-19","","59.47492469"
"ESTACIÓN TRÁFICO SUR","2022-08-18","","58.73327753"
"ESTACIÓN TRÁFICO SUR","2022-08-17","","50.91276234"
"ESTACIÓN TRÁFICO SUR","2022-08-16","","39.45042551"
"ESTACIÓN TRÁFICO SUR","2022-08-15","","15.66796662"
"ESTACIÓN TRÁFICO SUR","2022-08-14","","15.52553005"
"ESTACIÓN TRÁFICO SUR","2022-08-13","","42.44821424"
"ESTACIÓN TRÁFICO SUR","2022-08-12","","46.14362846"
"ESTACIÓN TRÁFICO SUR","2022-08-11","","48.06863016"
"ESTACIÓN TRÁFICO SUR","2022-08-10","","48.74546373"
"ESTACIÓN TRÁFICO SUR","2022-08-09","","37.80503082"
"ESTACIÓN TRÁFICO SUR","2022-08-08","","34.03438688"
"ESTACIÓN TRÁFICO SUR","2022-08-07","","31.45831803"
"ESTACIÓN TRÁFICO SUR","2022-08-06","","49.33653715"
"ESTACIÓN TRÁFICO SUR","2022-08-05","","44.01218928"
"ESTACIÓN TRÁFICO SUR","2022-08-04","","40.32321758"
"ESTACIÓN TRÁFICO SUR","2022-08-03","","42.15246964"
"ESTACIÓN TRÁFICO SUR","2022-08-02","","42.3267013"
"ESTACIÓN TRÁFICO SUR","2022-08-01","","38.58399544"
"ESTACIÓN TRÁFICO SUR","2022-07-31","","26.35957738"
"ESTACIÓN TRÁFICO SUR","2022-07-30","","33.70268577"
"ESTACIÓN TRÁFICO SUR","2022-07-29","","47.29788154"
"ESTACIÓN TRÁFICO SUR","2022-07-28","","26.84225339"
"ESTACIÓN TRÁFICO SUR","2022-07-27","","38.97644164"
"ESTACIÓN TRÁFICO SUR","2022-07-26","","37.89406147"
"ESTACIÓN TRÁFICO SUR","2022-07-25","","35.3196377"
"ESTACIÓN TRÁFICO SUR","2022-07-24","","19.7342168"
"ESTACIÓN TRÁFICO SUR","2022-07-23","","33.74866084"
"ESTACIÓN TRÁFICO SUR","2022-07-22","","35.13746723"
"ESTACIÓN TRÁFICO SUR","2022-07-21","","45.45279497"
"ESTACIÓN TRÁFICO SUR","2022-07-20","","17.17474959"
"ESTACIÓN TRÁFICO SUR","2022-07-19","","28.64824606"
"ESTACIÓN TRÁFICO SUR","2022-07-18","","26.15674841"
"ESTACIÓN TRÁFICO SUR","2022-07-17","","17.52965329"
"ESTACIÓN TRÁFICO SUR","2022-07-16","","38.74546654"
"ESTACIÓN TRÁFICO SUR","2022-07-15","","37.8336785"
"ESTACIÓN TRÁFICO SUR","2022-07-14","","44.75844117"
"ESTACIÓN TRÁFICO SUR","2022-07-13","","43.29298292"
"ESTACIÓN TRÁFICO SUR","2022-07-12","","41.57186965"
"ESTACIÓN TRÁFICO SUR","2022-07-11","","42.11297848"
"ESTACIÓN TRÁFICO SUR","2022-07-08","","26.95740319"
"ESTACIÓN TRÁFICO SUR","2022-07-07","","39.42654334"
"ESTACIÓN TRÁFICO SUR","2022-07-06","","41.88672615"
"ESTACIÓN TRÁFICO SUR","2022-07-05","","50.73924962"
"ESTACIÓN TRÁFICO SUR","2022-07-04","","27.3710177"
"ESTACIÓN TRÁFICO SUR","2022-07-03","","32.54644326"
"ESTACIÓN TRÁFICO SUR","2022-07-02","","47.72219408"
"ESTACIÓN TRÁFICO SUR","2022-07-01","","64.84855775"
"ESTACIÓN TRÁFICO SUR","2022-06-30","","42.8718085"
"ESTACIÓN TRÁFICO SUR","2022-06-29","","34.04173444"
"ESTACIÓN TRÁFICO SUR","2022-06-28","","49.11289974"
"ESTACIÓN TRÁFICO SUR","2022-06-27","","17.28666298"
